stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ADES,"1. XL: 37 lot (57.67M) [Retail] | Avg Buy: 15,587
2. AZ: 32 lot (50.08M) [Retail] | Avg Buy: 15,650
3. CC: 7 lot (10.88M) [Mix] | Avg Buy: 15,536
4. PG: 6 lot (9.26M) [Mix] | Avg Buy: 15,425
5. OD: 3 lot (4.52M) [Bandar] | Avg Buy: 15,346 | Avg Sell: 15,488","1. CP: 42 lot (64.97M) [Mix] | Avg Sell: 15,468
2. YJ: 29 lot (45.21M) [Retail] | Avg Sell: 15,590
3. DH: 18 lot (27.99M) [Bandar] | Avg Sell: 15,551
4. DR: 13 lot (20.26M) [Retail] | Avg Sell: 15,586
5. AG: 7 lot (10.73M) [Bandar] | Avg Sell: 15,325",-24,"Buyer: Retail 81%, Seller: Mix 39% | Avg Buy Price: 15,509 | Avg Sell Price: 15,504",15508.8,15488.0,,15504.0
ALKA,"1. NI: 1,018 lot (58.89M) [Bandar] | Avg Buy: 578","1. MG: 125 lot (7.35M) [Mix] | Avg Sell: 588
2. AZ: 70 lot (4.03M) [Retail] | Avg Sell: 575",823,"Buyer: Bandar 100%, Seller: Mix 64% | Avg Buy Price: 578 | Avg Sell Price: 582",578.0,,,581.5
ASGR,"1. YP: 18,474 lot (2.94B) [Mix] | Avg Buy: 1,590
2. TP: 3,883 lot (629.05M) [Bandar] | Avg Buy: 1,620
3. ZP: 3,724 lot (606.79M) [Bandar] | Avg Buy: 1,629
4. EP: 2,084 lot (338.78M) [Mix] | Avg Buy: 1,625 | Avg Sell: 1,608
5. LG: 912 lot (144.60M) [Bandar] | Avg Buy: 1,587 | Avg Sell: 1,632","1. CC: 18,634 lot (2.99B) [Mix] | Avg Sell: 1,605
2. SQ: 7,084 lot (1.14B) [Bandar] | Avg Buy: 1,642 | Avg Sell: 1,606
3. DH: 3,557 lot (570.90M) [Bandar] | Avg Sell: 1,605
4. XC: 1,043 lot (167.59M) [Retail] | Avg Sell: 1,607
5. AK: 890 lot (146.32M) [Bandar] | Avg Buy: 1,609 | Avg Sell: 1,637",-2131,"Buyer: Mix 71%, Seller: Mix 60% | Avg Buy Price: 1,610 | Avg Sell Price: 1,612",1610.2,1620.0,1625.5,1612.0
ASSA,"1. AZ: 17,813 lot (2.16B) [Retail] | Avg Buy: 1,215
2. AK: 14,178 lot (1.71B) [Bandar] | Avg Buy: 1,205
3. LG: 4,867 lot (589.14M) [Bandar] | Avg Buy: 1,214 | Avg Sell: 1,250
4. XL: 1,364 lot (162.60M) [Retail] | Avg Buy: 1,213 | Avg Sell: 1,228
5. CP: 1,143 lot (140.98M) [Mix] | Avg Buy: 1,234 | Avg Sell: 1,242","1. MG: 15,122 lot (1.82B) [Mix] | Avg Sell: 1,205
2. PD: 9,350 lot (1.13B) [Mix] | Avg Sell: 1,211
3. BB: 4,740 lot (574.01M) [Mix] | Avg Sell: 1,211
4. CC: 4,022 lot (492.49M) [Mix] | Avg Sell: 1,224
5. ES: 1,499 lot (183.63M) [Mix] | Avg Sell: 1,225",4632,"Buyer: Retail 49%, Seller: Mix 100% | Avg Buy Price: 1,216 | Avg Sell Price: 1,215",1216.2,1240.0,,1215.2
AUTO,"1. XL: 8,080 lot (2.20B) [Retail] | Avg Buy: 2,728 | Avg Sell: 2,747
2. ZP: 7,703 lot (2.11B) [Bandar] | Avg Buy: 2,736
3. XC: 7,708 lot (2.10B) [Retail] | Avg Buy: 2,724
4. AK: 6,824 lot (1.86B) [Bandar] | Avg Buy: 2,730 | Avg Sell: 2,749
5. TP: 5,252 lot (1.44B) [Bandar] | Avg Buy: 2,747","1. PD: 14,972 lot (4.06B) [Mix] | Avg Sell: 2,713
2. CC: 12,200 lot (3.35B) [Mix] | Avg Sell: 2,747
3. BB: 5,890 lot (1.61B) [Mix] | Avg Sell: 2,727
4. YU: 5,820 lot (1.58B) [Bandar] | Avg Sell: 2,720
5. NI: 4,102 lot (1.12B) [Bandar] | Avg Sell: 2,733",-7417,"Buyer: Bandar 56%, Seller: Mix 77% | Avg Buy Price: 2,733 | Avg Sell Price: 2,728",2733.0,2748.0,,2728.0
BIPP,"1. XL: 55,104 lot (515.09M) [Retail] | Avg Buy: 93
2. YP: 13,212 lot (128.64M) [Mix] | Avg Buy: 96 | Avg Sell: 93
3. YB: 13,837 lot (127.30M) [Retail] | Avg Buy: 92
4. EP: 5,650 lot (52.77M) [Mix] | Avg Buy: 93
5. MG: 5,357 lot (48.52M) [Mix] | Avg Buy: 92 | Avg Sell: 95","1. AI: 69,973 lot (654.83M) [Bandar] | Avg Sell: 94
2. KI: 10,000 lot (91.00M) [Bandar] | Avg Sell: 91
3. FZ: 9,352 lot (89.92M) [Bandar] | Avg Buy: 92 | Avg Sell: 96
4. SQ: 4,205 lot (40.37M) [Bandar] | Avg Sell: 96
5. CP: 3,581 lot (34.38M) [Mix] | Avg Sell: 96",-3951,"Buyer: Retail 74%, Seller: Bandar 96% | Avg Buy Price: 93 | Avg Sell Price: 95",93.2,94.0,92.0,94.6
BNGA,"1. DH: 8,663 lot (1.63B) [Bandar] | Avg Buy: 1,880
2. SQ: 4,312 lot (811.91M) [Bandar] | Avg Buy: 1,883
3. TP: 3,376 lot (636.71M) [Bandar] | Avg Buy: 1,886 | Avg Sell: 1,895
4. XA: 1,300 lot (244.91M) [Bandar] | Avg Buy: 1,885 | Avg Sell: 1,892
5. YP: 1,114 lot (209.75M) [Mix] | Avg Buy: 1,883 | Avg Sell: 1,884","1. KK: 5,251 lot (987.94M) [Bandar] | Avg Buy: 1,885 | Avg Sell: 1,882
2. CC: 4,535 lot (855.52M) [Mix] | Avg Sell: 1,886
3. AK: 3,570 lot (669.73M) [Bandar] | Avg Buy: 1,886 | Avg Sell: 1,881
4. SF: 2,221 lot (418.66M) [Bandar] | Avg Sell: 1,885
5. AI: 2,059 lot (387.26M) [Bandar] | Avg Sell: 1,881",1129,"Buyer: Bandar 94%, Seller: Bandar 74% | Avg Buy Price: 1,883 | Avg Sell Price: 1,883",1883.4,1890.3333333333333,1885.5,1883.0
BNII,"1. CC: 10,369 lot (224.16M) [Mix] | Avg Buy: 216
2. NI: 4,592 lot (99.19M) [Bandar] | Avg Buy: 216
3. KI: 2,000 lot (43.20M) [Bandar] | Avg Buy: 216
4. GI: 2 lot (43,800) [Bandar] | Avg Buy: 219","1. XL: 6,957 lot (149.81M) [Retail] | Avg Buy: 219 | Avg Sell: 216
2. YP: 4,046 lot (87.55M) [Mix] | Avg Sell: 216
3. TP: 3,528 lot (76.43M) [Bandar] | Avg Sell: 217
4. EP: 1,000 lot (21.80M) [Mix] | Avg Sell: 218
5. DR: 475 lot (10.45M) [Retail] | Avg Sell: 220",957,"Buyer: Mix 61%, Seller: Retail 46% | Avg Buy Price: 217 | Avg Sell Price: 217",216.75,,219.0,217.4
BULL,"1. AZ: 345,626 lot (18.68B) [Retail] | Avg Buy: 541
2. KK: 262,841 lot (14.54B) [Bandar] | Avg Buy: 551 | Avg Sell: 527
3. PD: 189,001 lot (10.16B) [Mix] | Avg Buy: 537
4. XL: 178,386 lot (10.08B) [Retail] | Avg Buy: 546 | Avg Sell: 527
5. LG: 179,913 lot (9.76B) [Bandar] | Avg Buy: 542","1. DH: 655,672 lot (35.82B) [Bandar] | Avg Sell: 546
2. YJ: 425,994 lot (23.17B) [Retail] | Avg Buy: 534 | Avg Sell: 543
3. KZ: 326,500 lot (16.98B) [Mix] | Avg Sell: 520
4. AK: 251,178 lot (13.53B) [Bandar] | Avg Sell: 539
5. FS: 188,552 lot (10.31B) [Bandar] | Avg Buy: 548 | Avg Sell: 547",-692129,"Buyer: Retail 45%, Seller: Bandar 59% | Avg Buy Price: 543 | Avg Sell Price: 539",543.4,527.0,541.0,539.0
CLPI,"1. NI: 331 lot (52.53M) [Bandar] | Avg Buy: 1,587
2. CC: 278 lot (44.39M) [Mix] | Avg Buy: 1,595 | Avg Sell: 1,590
3. KI: 200 lot (31.80M) [Bandar] | Avg Buy: 1,590
4. YU: 90 lot (14.46M) [Bandar] | Avg Buy: 1,607
5. XL: 18 lot (3.31M) [Retail] | Avg Buy: 1,611 | Avg Sell: 1,596","1. MG: 659 lot (105.20M) [Mix] | Avg Sell: 1,596
2. XC: 347 lot (55.07M) [Retail] | Avg Sell: 1,587
3. DH: 167 lot (26.97M) [Bandar] | Avg Sell: 1,615
4. SQ: 166 lot (26.66M) [Bandar] | Avg Sell: 1,606
5. AZ: 68 lot (10.93M) [Retail] | Avg Sell: 1,607",-490,"Buyer: Bandar 68%, Seller: Mix 47% | Avg Buy Price: 1,598 | Avg Sell Price: 1,602",1598.0,1593.0,,1602.2
