stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ALKA,"1. NI: 1,187 lot (67.42M) [Bandar] | Avg Buy: 568
2. BQ: 757 lot (44.74M) [Bandar] | Avg Buy: 591
3. CC: 280 lot (15.63M) [Mix] | Avg Buy: 579 | Avg Sell: 595","1. MG: 625 lot (35.00M) [Mix] | Avg Sell: 560
2. YB: 525 lot (29.84M) [Retail] | Avg Sell: 568
3. XL: 486 lot (29.24M) [Retail] | Avg Buy: 565 | Avg Sell: 579",588,"Buyer: Bandar 87%, Seller: Retail 62% | Avg Buy Price: 579 | Avg Sell Price: 569",579.3333333333334,595.0,565.0,569.0
ANTM,"1. AK: 281,194 lot (117.86B) [Bandar] | Avg Buy: 4,191
2. PD: 193,165 lot (80.29B) [Mix] | Avg Buy: 4,157
3. BK: 35,391 lot (15.10B) [Bandar] | Avg Buy: 4,197 | Avg Sell: 4,038
4. FS: 29,781 lot (12.38B) [Bandar] | Avg Buy: 4,158
5. ZP: 24,592 lot (10.48B) [Bandar] | Avg Buy: 4,189 | Avg Sell: 4,047","1. XL: 120,532 lot (50.35B) [Retail] | Avg Sell: 4,177
2. YU: 84,573 lot (35.04B) [Bandar] | Avg Sell: 4,143
3. CC: 60,401 lot (25.10B) [Mix] | Avg Sell: 4,156
4. NI: 51,566 lot (21.31B) [Bandar] | Avg Sell: 4,133
5. XC: 48,788 lot (20.34B) [Retail] | Avg Sell: 4,168",198263,"Buyer: Bandar 66%, Seller: Retail 46% | Avg Buy Price: 4,178 | Avg Sell Price: 4,155",4178.4,4042.5,,4155.4
BIPI,"1. AK: 3,844,970 lot (79.63B) [Bandar] | Avg Buy: 207
2. MG: 1,921,211 lot (39.58B) [Mix] | Avg Buy: 210 | Avg Sell: 233
3. YP: 1,266,888 lot (27.52B) [Mix] | Avg Buy: 217
4. ZP: 407,497 lot (8.61B) [Bandar] | Avg Buy: 211
5. YB: 307,329 lot (6.60B) [Retail] | Avg Buy: 215","1. IF: 1,844,294 lot (42.93B) [Mix] | Avg Sell: 233
2. MU: 1,738,559 lot (36.82B) [Bandar] | Avg Sell: 212
3. XL: 1,287,150 lot (24.97B) [Retail] | Avg Buy: 230 | Avg Sell: 201
4. II: 517,142 lot (11.35B) [Mix] | Avg Sell: 219
5. SQ: 511,784 lot (10.95B) [Bandar] | Avg Sell: 214",1848966,"Buyer: Bandar 55%, Seller: Mix 40% | Avg Buy Price: 212 | Avg Sell Price: 216",212.0,233.0,230.0,215.8
BNGA,"1. SQ: 11,905 lot (2.23B) [Bandar] | Avg Buy: 1,874
2. PD: 6,479 lot (1.21B) [Mix] | Avg Buy: 1,874
3. TP: 4,699 lot (879.18M) [Bandar] | Avg Buy: 1,871
4. SS: 1,860 lot (349.68M) [Bandar] | Avg Buy: 1,880
5. YJ: 1,500 lot (281.00M) [Retail] | Avg Buy: 1,873","1. AK: 7,221 lot (1.36B) [Bandar] | Avg Sell: 1,877
2. XC: 6,044 lot (1.13B) [Retail] | Avg Sell: 1,870
3. BK: 5,113 lot (958.03M) [Bandar] | Avg Buy: 1,880 | Avg Sell: 1,874
4. YB: 2,450 lot (459.25M) [Retail] | Avg Sell: 1,874
5. YP: 2,432 lot (456.97M) [Mix] | Avg Sell: 1,879",3183,"Buyer: Bandar 70%, Seller: Bandar 53% | Avg Buy Price: 1,874 | Avg Sell Price: 1,875",1874.4,,1880.0,1874.8
BNII,"1. SQ: 5,792 lot (124.95M) [Bandar] | Avg Buy: 216
2. ZP: 2,878 lot (62.16M) [Bandar] | Avg Buy: 216
3. IU: 2,386 lot (51.33M) [Bandar] | Avg Buy: 215
4. DR: 1,115 lot (24.31M) [Retail] | Avg Buy: 218","1. XL: 6,496 lot (140.43M) [Retail] | Avg Sell: 216
2. DH: 2,269 lot (49.01M) [Bandar] | Avg Sell: 216
3. RS: 1,600 lot (34.24M) [Bandar] | Avg Sell: 214
4. GR: 1,000 lot (21.80M) [Bandar] | Avg Sell: 218
5. FZ: 1,000 lot (21.40M) [Bandar] | Avg Sell: 214",-194,"Buyer: Bandar 91%, Seller: Retail 53% | Avg Buy Price: 216 | Avg Sell Price: 216",216.25,,,215.6
CLPI,"1. CP: 632 lot (99.79M) [Mix] | Avg Buy: 1,579
2. KK: 390 lot (62.01M) [Bandar] | Avg Buy: 1,590
3. SQ: 254 lot (39.88M) [Bandar] | Avg Buy: 1,570
4. AI: 207 lot (32.40M) [Bandar] | Avg Buy: 1,565
5. CC: 108 lot (16.89M) [Mix] | Avg Buy: 1,564","1. AZ: 904 lot (142.03M) [Retail] | Avg Sell: 1,571
2. GR: 290 lot (45.88M) [Bandar] | Avg Sell: 1,582
3. YB: 155 lot (24.40M) [Retail] | Avg Sell: 1,574
4. YP: 97 lot (14.88M) [Mix] | Avg Buy: 1,570 | Avg Sell: 1,563
5. YU: 10 lot (1.59M) [Bandar] | Avg Sell: 1,595",135,"Buyer: Bandar 53%, Seller: Retail 73% | Avg Buy Price: 1,574 | Avg Sell Price: 1,577",1573.6,,1570.0,1577.0
ELSA,"1. DX: 254,725 lot (20.77B) [Bandar] | Avg Buy: 815 | Avg Sell: 753
2. CC: 169,849 lot (13.16B) [Mix] | Avg Buy: 775
3. BS: 102,021 lot (7.99B) [Mix] | Avg Buy: 783
4. AK: 60,766 lot (4.98B) [Bandar] | Avg Buy: 812 | Avg Sell: 750
5. PD: 33,120 lot (2.57B) [Mix] | Avg Buy: 776","1. GR: 226,088 lot (18.06B) [Bandar] | Avg Sell: 799
2. ZP: 153,323 lot (11.79B) [Bandar] | Avg Sell: 769
3. AI: 126,321 lot (10.14B) [Bandar] | Avg Sell: 803
4. CD: 61,757 lot (4.93B) [Bandar] | Avg Sell: 798
5. DR: 27,528 lot (2.26B) [Retail] | Avg Buy: 794 | Avg Sell: 814",25464,"Buyer: Bandar 51%, Seller: Bandar 95% | Avg Buy Price: 792 | Avg Sell Price: 797",792.2,751.5,794.0,796.6
GGRM,"1. YP: 5,281 lot (8.93B) [Mix] | Avg Buy: 16,917
2. PD: 1,511 lot (2.61B) [Mix] | Avg Buy: 17,243 | Avg Sell: 16,925
3. AK: 1,116 lot (1.87B) [Bandar] | Avg Buy: 16,757
4. KZ: 822 lot (1.38B) [Mix] | Avg Buy: 16,785
5. BQ: 754 lot (1.27B) [Bandar] | Avg Buy: 16,879 | Avg Sell: 16,986","1. NI: 5,272 lot (8.66B) [Bandar] | Avg Sell: 16,429
2. BK: 2,518 lot (4.26B) [Bandar] | Avg Sell: 16,901
3. CC: 1,719 lot (3.02B) [Mix] | Avg Buy: 16,487 | Avg Sell: 17,137
4. SQ: 899 lot (1.52B) [Bandar] | Avg Sell: 16,957
5. DR: 523 lot (881.06M) [Retail] | Avg Buy: 17,228 | Avg Sell: 16,879",-1447,"Buyer: Mix 80%, Seller: Bandar 79% | Avg Buy Price: 16,916 | Avg Sell Price: 16,861",16916.2,16955.5,16857.5,16860.6
INCI,"1. DR: 2,000 lot (151.00M) [Retail] | Avg Buy: 755","1. XL: 2,011 lot (151.83M) [Retail] | Avg Sell: 755",-11,"Buyer: Retail 100%, Seller: Retail 100% | Avg Buy Price: 755 | Avg Sell Price: 755",755.0,,,755.0
INDY,"1. BK: 57,801 lot (21.67B) [Bandar] | Avg Buy: 3,749
2. CC: 40,186 lot (15.21B) [Mix] | Avg Buy: 3,785
3. MG: 13,297 lot (5.00B) [Mix] | Avg Buy: 3,764 | Avg Sell: 3,869
4. BQ: 9,406 lot (3.49B) [Bandar] | Avg Buy: 3,711
5. XA: 8,648 lot (3.40B) [Bandar] | Avg Buy: 3,847 | Avg Sell: 3,639","1. NI: 31,497 lot (11.86B) [Bandar] | Avg Sell: 3,765
2. ZP: 22,682 lot (8.00B) [Bandar] | Avg Buy: 3,870 | Avg Sell: 3,651
3. PD: 20,209 lot (7.65B) [Mix] | Avg Sell: 3,786
4. AK: 16,694 lot (6.74B) [Bandar] | Avg Buy: 3,704 | Avg Sell: 3,874
5. BS: 16,887 lot (6.37B) [Mix] | Avg Sell: 3,774",21369,"Buyer: Bandar 59%, Seller: Bandar 66% | Avg Buy Price: 3,771 | Avg Sell Price: 3,770",3771.2,3754.0,3787.0,3770.0
