stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ASJT,"1. CC: 736 lot (15.16M) [Mix] | Avg Buy: 206
2. YP: 364 lot (7.85M) [Mix] | Avg Buy: 208 | Avg Sell: 204","1. XA: 1,704 lot (35.42M) [Bandar] | Avg Buy: 201 | Avg Sell: 207
2. GR: 1,512 lot (31.45M) [Bandar] | Avg Sell: 208
3. KI: 315 lot (6.36M) [Bandar] | Avg Sell: 202
4. EP: 255 lot (5.10M) [Mix] | Avg Sell: 200",-2686,"Buyer: Mix 100%, Seller: Bandar 93% | Avg Buy Price: 207 | Avg Sell Price: 204",207.0,204.0,201.0,204.25
INCI,"1. CC: 806 lot (60.02M) [Mix] | Avg Buy: 745
2. RO: 1 lot (76,000) [Bandar] | Avg Buy: 760","1. NI: 562 lot (41.64M) [Bandar] | Avg Sell: 741
2. KI: 50 lot (3.77M) [Bandar] | Avg Sell: 755
3. PG: 2 lot (155,000) [Mix] | Avg Sell: 775",193,"Buyer: Mix 100%, Seller: Bandar 100% | Avg Buy Price: 752 | Avg Sell Price: 757",752.5,,,757.0
INDY,"1. YU: 17,909 lot (6.50B) [Bandar] | Avg Buy: 3,630
2. NI: 17,150 lot (6.26B) [Bandar] | Avg Buy: 3,649
3. ZP: 13,762 lot (5.00B) [Bandar] | Avg Buy: 3,636
4. TP: 6,394 lot (2.33B) [Bandar] | Avg Buy: 3,644
5. AI: 6,208 lot (2.29B) [Bandar] | Avg Buy: 3,683","1. CC: 22,429 lot (8.14B) [Mix] | Avg Sell: 3,629
2. MG: 11,696 lot (4.25B) [Mix] | Avg Buy: 3,612 | Avg Sell: 3,631
3. BK: 9,096 lot (3.31B) [Bandar] | Avg Sell: 3,641
4. LG: 7,620 lot (2.79B) [Bandar] | Avg Buy: 3,606 | Avg Sell: 3,651
5. AZ: 6,362 lot (2.30B) [Retail] | Avg Sell: 3,615",4220,"Buyer: Bandar 100%, Seller: Mix 60% | Avg Buy Price: 3,648 | Avg Sell Price: 3,633",3648.4,,3609.0,3633.4
INTD,1. DX: 100 lot (2.95M) [Bandar] | Avg Buy: 295,"1. QA: 4 lot (122,400) [Bandar] | Avg Sell: 306
2. GI: 1 lot (30,600) [Bandar] | Avg Sell: 306",95,"Buyer: Bandar 100%, Seller: Bandar 100% | Avg Buy Price: 295 | Avg Sell Price: 306",295.0,,,306.0
JSMR,"1. AK: 17,288 lot (6.55B) [Bandar] | Avg Buy: 3,788
2. KZ: 14,000 lot (5.27B) [Mix] | Avg Buy: 3,764
3. YU: 10,793 lot (4.09B) [Bandar] | Avg Buy: 3,790
4. NI: 8,957 lot (3.37B) [Bandar] | Avg Buy: 3,764 | Avg Sell: 3,805
5. BK: 8,750 lot (3.30B) [Bandar] | Avg Buy: 3,777","1. PD: 23,750 lot (8.98B) [Mix] | Avg Sell: 3,779
2. YP: 12,168 lot (4.61B) [Mix] | Avg Sell: 3,786
3. CC: 9,213 lot (3.49B) [Mix] | Avg Sell: 3,786
4. DX: 8,465 lot (3.20B) [Bandar] | Avg Sell: 3,784
5. SQ: 6,424 lot (2.44B) [Bandar] | Avg Buy: 3,797 | Avg Sell: 3,791",-232,"Buyer: Bandar 77%, Seller: Mix 75% | Avg Buy Price: 3,777 | Avg Sell Price: 3,785",3776.6,3805.0,3797.0,3785.2
LPCK,"1. KK: 4,659 lot (383.77M) [Bandar] | Avg Buy: 824
2. PD: 4,495 lot (366.33M) [Mix] | Avg Buy: 815
3. XL: 4,078 lot (350.87M) [Retail] | Avg Buy: 836 | Avg Sell: 807
4. NI: 2,932 lot (241.90M) [Bandar] | Avg Buy: 825
5. MG: 2,092 lot (175.13M) [Mix] | Avg Buy: 837","1. LG: 5,952 lot (492.23M) [Bandar] | Avg Sell: 827
2. AZ: 3,978 lot (333.77M) [Retail] | Avg Buy: 812 | Avg Sell: 836
3. CC: 4,027 lot (333.13M) [Mix] | Avg Sell: 827
4. GR: 2,101 lot (172.71M) [Bandar] | Avg Sell: 822
5. OD: 1,939 lot (159.97M) [Bandar] | Avg Sell: 825",259,"Buyer: Bandar 42%, Seller: Bandar 56% | Avg Buy Price: 827 | Avg Sell Price: 827",827.4,807.0,812.0,827.4
MAPI,"1. ZP: 139,570 lot (18.28B) [Bandar] | Avg Buy: 1,310
2. OD: 24,836 lot (3.23B) [Bandar] | Avg Buy: 1,306 | Avg Sell: 1,317
3. BK: 23,801 lot (3.12B) [Bandar] | Avg Buy: 1,309
4. LG: 13,743 lot (1.83B) [Bandar] | Avg Buy: 1,323 | Avg Sell: 1,298
5. RX: 10,000 lot (1.32B) [Bandar] | Avg Buy: 1,320","1. CC: 82,619 lot (10.83B) [Mix] | Avg Sell: 1,311
2. TP: 36,776 lot (4.80B) [Bandar] | Avg Sell: 1,306
3. BB: 33,150 lot (4.36B) [Mix] | Avg Sell: 1,315
4. NI: 13,661 lot (1.80B) [Bandar] | Avg Sell: 1,315
5. AK: 13,369 lot (1.75B) [Bandar] | Avg Sell: 1,307",32375,"Buyer: Bandar 100%, Seller: Mix 64% | Avg Buy Price: 1,314 | Avg Sell Price: 1,311",1313.6,1307.5,,1310.8
SSMS,"1. ZP: 7,520 lot (1.27B) [Bandar] | Avg Buy: 1,688
2. BB: 6,906 lot (1.15B) [Mix] | Avg Buy: 1,661
3. XA: 2,825 lot (465.86M) [Bandar] | Avg Buy: 1,649
4. TP: 2,151 lot (356.74M) [Bandar] | Avg Buy: 1,658
5. AI: 400 lot (68.00M) [Bandar] | Avg Buy: 1,700","1. CC: 6,779 lot (1.14B) [Mix] | Avg Sell: 1,681
2. PD: 3,685 lot (616.19M) [Mix] | Avg Sell: 1,672
3. AK: 3,662 lot (615.58M) [Bandar] | Avg Sell: 1,681
4. YU: 1,865 lot (308.84M) [Bandar] | Avg Sell: 1,656
5. XL: 1,821 lot (301.04M) [Retail] | Avg Sell: 1,653",1990,"Buyer: Bandar 65%, Seller: Mix 59% | Avg Buy Price: 1,671 | Avg Sell Price: 1,669",1671.2,,,1668.6
STAR,"1. FS: 18,956 lot (1.32B) [Bandar] | Avg Buy: 696
2. KK: 758 lot (51.54M) [Bandar] | Avg Buy: 680
3. GR: 173 lot (11.30M) [Bandar] | Avg Buy: 700 | Avg Sell: 726
4. RB: 3 lot (216,000) [Retail] | Avg Buy: 720
5. IU: 1 lot (70,000) [Bandar] | Avg Buy: 700","1. PD: 5,655 lot (392.46M) [Mix] | Avg Sell: 694
2. MG: 3,313 lot (229.90M) [Mix] | Avg Buy: 730 | Avg Sell: 695
3. OD: 3,226 lot (225.82M) [Bandar] | Avg Sell: 700
4. XL: 2,926 lot (198.95M) [Retail] | Avg Buy: 722 | Avg Sell: 688
5. CP: 971 lot (67.97M) [Mix] | Avg Sell: 700",3800,"Buyer: Bandar 100%, Seller: Mix 62% | Avg Buy Price: 699 | Avg Sell Price: 695",699.2,726.0,726.0,695.4
HRTA,"1. PD: 111,185 lot (29.27B) [Mix] | Avg Buy: 2,632 | Avg Sell: 2,584
2. BB: 28,778 lot (7.44B) [Mix] | Avg Buy: 2,584
3. CP: 11,677 lot (3.01B) [Mix] | Avg Buy: 2,574
4. ZP: 8,881 lot (2.28B) [Bandar] | Avg Buy: 2,582 | Avg Sell: 2,598
5. AI: 7,450 lot (1.94B) [Bandar] | Avg Buy: 2,600","1. XL: 58,290 lot (15.06B) [Retail] | Avg Sell: 2,584
2. YP: 24,297 lot (6.31B) [Mix] | Avg Sell: 2,598
3. SQ: 17,403 lot (4.51B) [Bandar] | Avg Sell: 2,592
4. EP: 16,936 lot (4.43B) [Mix] | Avg Buy: 2,583 | Avg Sell: 2,603
5. KK: 15,670 lot (4.02B) [Bandar] | Avg Sell: 2,566",35375,"Buyer: Mix 90%, Seller: Retail 44% | Avg Buy Price: 2,594 | Avg Sell Price: 2,589",2594.4,2591.0,2583.0,2588.6
