stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ANTM,"1. PD: 140,112 lot (59.22B) [Mix] | Avg Buy: 4,227
2. TP: 85,045 lot (36.07B) [Bandar] | Avg Buy: 4,237 | Avg Sell: 4,191
3. AK: 58,091 lot (22.84B) [Bandar] | Avg Buy: 4,193 | Avg Sell: 4,262
4. FS: 39,780 lot (16.60B) [Bandar] | Avg Buy: 4,172
5. ZP: 27,848 lot (11.62B) [Bandar] | Avg Buy: 4,189 | Avg Sell: 4,238","1. CC: 100,962 lot (42.67B) [Mix] | Avg Sell: 4,226
2. YU: 41,112 lot (17.14B) [Bandar] | Avg Buy: 4,235 | Avg Sell: 4,188
3. XL: 38,269 lot (15.71B) [Retail] | Avg Buy: 4,253 | Avg Sell: 4,199
4. BB: 35,895 lot (15.06B) [Mix] | Avg Sell: 4,197
5. AZ: 34,538 lot (14.54B) [Retail] | Avg Sell: 4,209",100100,"Buyer: Bandar 60%, Seller: Mix 55% | Avg Buy Price: 4,204 | Avg Sell Price: 4,204",4203.6,4230.333333333333,4244.0,4203.8
ASSA,"1. BK: 20,627 lot (2.58B) [Bandar] | Avg Buy: 1,250
2. YU: 20,202 lot (2.53B) [Bandar] | Avg Buy: 1,252
3. SQ: 15,322 lot (1.90B) [Bandar] | Avg Buy: 1,241
4. AZ: 6,554 lot (811.03M) [Retail] | Avg Buy: 1,237
5. ZP: 5,948 lot (745.60M) [Bandar] | Avg Buy: 1,248 | Avg Sell: 1,224","1. MG: 21,105 lot (2.60B) [Mix] | Avg Sell: 1,231
2. CC: 12,629 lot (1.60B) [Mix] | Avg Buy: 1,229 | Avg Sell: 1,260
3. LG: 5,723 lot (716.83M) [Bandar] | Avg Sell: 1,253
4. YP: 5,118 lot (644.87M) [Mix] | Avg Sell: 1,260
5. IF: 4,853 lot (610.51M) [Mix] | Avg Sell: 1,258",19225,"Buyer: Bandar 90%, Seller: Mix 88% | Avg Buy Price: 1,246 | Avg Sell Price: 1,252",1245.6,1224.0,1229.0,1252.4
BKDP,"1. YB: 4,176 lot (28.81M) [Retail] | Avg Buy: 69
2. MG: 2,155 lot (15.52M) [Mix] | Avg Buy: 72","1. GR: 2,500 lot (17.75M) [Bandar] | Avg Sell: 71
2. YP: 598 lot (4.31M) [Mix] | Avg Sell: 72
3. DX: 500 lot (3.60M) [Bandar] | Avg Sell: 72
4. PF: 321 lot (2.33M) [Retail] | Avg Buy: 69 | Avg Sell: 72
5. XA: 100 lot (720,000) [Bandar] | Avg Sell: 72",2312,"Buyer: Retail 66%, Seller: Bandar 77% | Avg Buy Price: 70 | Avg Sell Price: 72",70.5,,69.0,71.8
BMSR,"1. CC: 1,997 lot (68.07M) [Mix] | Avg Buy: 341","1. PD: 1,000 lot (33.90M) [Mix] | Avg Sell: 339",997,"Buyer: Mix 100%, Seller: Mix 100% | Avg Buy Price: 341 | Avg Sell Price: 339",341.0,,,339.0
CLPI,"1. NI: 513 lot (81.67M) [Bandar] | Avg Buy: 1,592
2. KK: 390 lot (62.01M) [Bandar] | Avg Buy: 1,590
3. AI: 207 lot (32.40M) [Bandar] | Avg Buy: 1,565
4. CP: 126 lot (19.84M) [Mix] | Avg Buy: 1,575","1. YP: 623 lot (97.62M) [Mix] | Avg Sell: 1,567
2. AZ: 324 lot (50.97M) [Retail] | Avg Sell: 1,573
3. GR: 200 lot (31.90M) [Bandar] | Avg Sell: 1,595
4. YB: 135 lot (21.25M) [Retail] | Avg Sell: 1,574
5. XC: 113 lot (18.00M) [Retail] | Avg Sell: 1,593",-159,"Buyer: Bandar 90%, Seller: Mix 45% | Avg Buy Price: 1,580 | Avg Sell Price: 1,580",1580.5,,,1580.4
DSFI,"1. XL: 83,583 lot (997.85M) [Retail] | Avg Buy: 118 | Avg Sell: 113
2. PD: 30,812 lot (367.09M) [Mix] | Avg Buy: 118 | Avg Sell: 112
3. BQ: 20,655 lot (240.53M) [Bandar] | Avg Buy: 116
4. MU: 20,000 lot (227.30M) [Bandar] | Avg Buy: 114
5. KK: 17,839 lot (210.50M) [Bandar] | Avg Buy: 118","1. CC: 154,211 lot (1.79B) [Mix] | Avg Sell: 116
2. XC: 23,582 lot (279.42M) [Retail] | Avg Buy: 113 | Avg Sell: 117
3. ES: 18,000 lot (215.10M) [Mix] | Avg Buy: 110 | Avg Sell: 119
4. EP: 15,024 lot (178.46M) [Mix] | Avg Buy: 113 | Avg Sell: 117
5. AK: 9,538 lot (111.59M) [Bandar] | Avg Sell: 117",-47466,"Buyer: Retail 48%, Seller: Mix 85% | Avg Buy Price: 117 | Avg Sell Price: 117",116.8,112.5,112.0,117.2
ELSA,"1. DX: 255,730 lot (20.84B) [Bandar] | Avg Buy: 815
2. XL: 139,113 lot (11.37B) [Retail] | Avg Buy: 817
3. PD: 91,043 lot (7.42B) [Mix] | Avg Buy: 815
4. XC: 45,340 lot (3.70B) [Retail] | Avg Buy: 816
5. YU: 33,081 lot (2.67B) [Bandar] | Avg Buy: 807 | Avg Sell: 827","1. ZP: 118,791 lot (9.68B) [Bandar] | Avg Sell: 815
2. AI: 112,580 lot (9.10B) [Bandar] | Avg Sell: 808
3. GR: 92,585 lot (7.64B) [Bandar] | Avg Sell: 826
4. KI: 73,662 lot (5.89B) [Bandar] | Avg Sell: 800
5. CD: 61,746 lot (4.93B) [Bandar] | Avg Sell: 798",104943,"Buyer: Bandar 51%, Seller: Bandar 100% | Avg Buy Price: 814 | Avg Sell Price: 809",814.0,827.0,,809.4
GGRM,"1. YP: 3,014 lot (5.09B) [Mix] | Avg Buy: 16,885
2. BQ: 1,859 lot (3.09B) [Bandar] | Avg Buy: 16,609
3. PD: 922 lot (1.65B) [Mix] | Avg Buy: 17,243 | Avg Sell: 16,471
4. ZP: 808 lot (1.32B) [Bandar] | Avg Buy: 16,514 | Avg Sell: 17,097
5. TP: 634 lot (1.03B) [Bandar] | Avg Buy: 16,426 | Avg Sell: 16,937","1. BK: 2,870 lot (4.80B) [Bandar] | Avg Sell: 16,719
2. AK: 2,556 lot (4.20B) [Bandar] | Avg Buy: 16,992 | Avg Sell: 16,465
3. CC: 2,328 lot (4.02B) [Mix] | Avg Buy: 16,542 | Avg Sell: 17,137
4. AI: 1,231 lot (2.04B) [Bandar] | Avg Sell: 16,586
5. SQ: 574 lot (984.05M) [Bandar] | Avg Buy: 16,363 | Avg Sell: 16,988",-2322,"Buyer: Mix 54%, Seller: Bandar 76% | Avg Buy Price: 16,735 | Avg Sell Price: 16,779",16735.4,16835.0,16632.333333333332,16779.0
INDY,"1. CC: 26,423 lot (10.13B) [Mix] | Avg Buy: 3,834
2. ZP: 21,993 lot (8.41B) [Bandar] | Avg Buy: 3,822
3. XA: 13,676 lot (5.25B) [Bandar] | Avg Buy: 3,842
4. XL: 9,764 lot (3.74B) [Retail] | Avg Buy: 3,827
5. XC: 7,121 lot (2.74B) [Retail] | Avg Buy: 3,853","1. AK: 44,253 lot (17.06B) [Bandar] | Avg Sell: 3,855
2. YP: 34,996 lot (13.33B) [Mix] | Avg Sell: 3,810
3. NI: 8,656 lot (3.39B) [Bandar] | Avg Buy: 3,783 | Avg Sell: 3,867
4. PD: 6,409 lot (2.47B) [Mix] | Avg Sell: 3,854
5. FS: 6,282 lot (2.42B) [Bandar] | Avg Sell: 3,849",-21619,"Buyer: Bandar 45%, Seller: Bandar 59% | Avg Buy Price: 3,836 | Avg Sell Price: 3,847",3835.6,,3783.0,3847.0
INTD,"1. CC: 519 lot (15.83M) [Mix] | Avg Buy: 305
2. BR: 4 lot (121,600) [Bandar] | Avg Buy: 304","1. RF: 64 lot (1.97M) [Bandar] | Avg Sell: 308
2. YU: 1 lot (29,400) [Bandar] | Avg Sell: 294",458,"Buyer: Mix 99%, Seller: Bandar 100% | Avg Buy Price: 304 | Avg Sell Price: 301",304.5,,,301.0
