stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
EPMT,"1. SQ: 96 lot (22.38M) [Bandar] | Avg Buy: 2,331
2. CC: 85 lot (19.55M) [Mix] | Avg Buy: 2,300","1. PD: 87 lot (20.01M) [Mix] | Avg Sell: 2,300",94,"Buyer: Bandar 53%, Seller: Mix 100% | Avg Buy Price: 2,316 | Avg Sell Price: 2,300",2315.5,,,2300.0
ESSA,"1. ZP: 180,931 lot (13.10B) [Bandar] | Avg Buy: 724
2. BB: 95,004 lot (6.94B) [Mix] | Avg Buy: 730
3. KK: 68,707 lot (4.97B) [Bandar] | Avg Buy: 723
4. BK: 62,104 lot (4.50B) [Bandar] | Avg Buy: 724
5. CP: 60,479 lot (4.35B) [Mix] | Avg Buy: 719","1. PD: 114,580 lot (8.27B) [Mix] | Avg Sell: 721
2. RX: 70,000 lot (5.06B) [Bandar] | Avg Sell: 723
3. BQ: 68,408 lot (4.99B) [Bandar] | Avg Sell: 730
4. AT: 68,784 lot (4.99B) [Bandar] | Avg Sell: 726
5. AZ: 52,089 lot (3.79B) [Retail] | Avg Sell: 727",93364,"Buyer: Bandar 67%, Seller: Bandar 55% | Avg Buy Price: 724 | Avg Sell Price: 725",724.0,,,725.4
LSIP,"1. ZP: 24,824 lot (3.22B) [Bandar] | Avg Buy: 1,298
2. YU: 18,772 lot (2.46B) [Bandar] | Avg Buy: 1,309 | Avg Sell: 1,275
3. YP: 9,834 lot (1.28B) [Mix] | Avg Buy: 1,302
4. OD: 7,853 lot (1.03B) [Bandar] | Avg Buy: 1,316
5. DH: 6,573 lot (849.95M) [Bandar] | Avg Buy: 1,293","1. CC: 30,521 lot (4.00B) [Mix] | Avg Sell: 1,312
2. NI: 22,002 lot (2.88B) [Bandar] | Avg Buy: 1,276 | Avg Sell: 1,307
3. AK: 6,108 lot (810.56M) [Bandar] | Avg Buy: 1,296 | Avg Sell: 1,310
4. TP: 4,676 lot (595.37M) [Bandar] | Avg Buy: 1,330 | Avg Sell: 1,287
5. YB: 3,747 lot (488.52M) [Retail] | Avg Sell: 1,304",802,"Buyer: Bandar 86%, Seller: Bandar 49% | Avg Buy Price: 1,304 | Avg Sell Price: 1,304",1303.6,1275.0,1300.6666666666667,1304.0
MBAP,"1. DX: 2,475 lot (441.85M) [Bandar] | Avg Buy: 1,785
2. XL: 461 lot (80.16M) [Retail] | Avg Buy: 1,739 | Avg Sell: 1,740
3. YP: 209 lot (37.01M) [Mix] | Avg Buy: 1,771
4. YB: 90 lot (15.81M) [Retail] | Avg Buy: 1,757
5. OD: 62 lot (10.83M) [Bandar] | Avg Buy: 1,747","1. CC: 1,194 lot (211.37M) [Mix] | Avg Sell: 1,770
2. RG: 450 lot (79.33M) [Bandar] | Avg Sell: 1,763
3. KK: 431 lot (76.50M) [Bandar] | Avg Sell: 1,775
4. AZ: 325 lot (54.18M) [Retail] | Avg Sell: 1,667
5. XC: 274 lot (48.68M) [Retail] | Avg Sell: 1,776",623,"Buyer: Bandar 77%, Seller: Mix 45% | Avg Buy Price: 1,760 | Avg Sell Price: 1,750",1759.8,1740.0,,1750.2
PANS,"1. GR: 525 lot (88.76M) [Bandar] | Avg Buy: 1,691
2. SQ: 232 lot (38.80M) [Bandar] | Avg Buy: 1,675 | Avg Sell: 1,690
3. YJ: 200 lot (33.84M) [Retail] | Avg Buy: 1,692
4. PD: 111 lot (18.85M) [Mix] | Avg Buy: 1,698
5. CD: 4 lot (680,000) [Bandar] | Avg Buy: 1,700","1. NI: 390 lot (65.36M) [Bandar] | Avg Sell: 1,676
2. LG: 239 lot (40.49M) [Bandar] | Avg Sell: 1,694
3. OD: 146 lot (24.67M) [Bandar] | Avg Sell: 1,690
4. XL: 100 lot (16.95M) [Retail] | Avg Sell: 1,695
5. DH: 57 lot (9.63M) [Bandar] | Avg Sell: 1,690",140,"Buyer: Bandar 71%, Seller: Bandar 89% | Avg Buy Price: 1,691 | Avg Sell Price: 1,689",1691.2,1690.0,,1689.0
PTBA,"1. BB: 60,056 lot (17.51B) [Mix] | Avg Buy: 2,916
2. ZP: 52,756 lot (15.38B) [Bandar] | Avg Buy: 2,915
3. YU: 25,120 lot (7.40B) [Bandar] | Avg Buy: 2,947
4. CC: 14,019 lot (4.04B) [Mix] | Avg Buy: 2,890 | Avg Sell: 2,926
5. SQ: 10,233 lot (2.98B) [Bandar] | Avg Buy: 2,913 | Avg Sell: 2,912","1. XL: 27,980 lot (8.16B) [Retail] | Avg Sell: 2,916
2. YP: 19,755 lot (5.75B) [Mix] | Avg Sell: 2,911
3. PD: 17,824 lot (5.20B) [Mix] | Avg Sell: 2,916
4. KK: 17,713 lot (5.19B) [Bandar] | Avg Sell: 2,932
5. LG: 17,856 lot (5.18B) [Bandar] | Avg Sell: 2,899",61056,"Buyer: Bandar 54%, Seller: Mix 37% | Avg Buy Price: 2,916 | Avg Sell Price: 2,915",2916.2,2919.0,,2914.8
WIIM,"1. BB: 45,061 lot (9.37B) [Mix] | Avg Buy: 2,080
2. PD: 9,827 lot (2.02B) [Mix] | Avg Buy: 2,051
3. BS: 2,389 lot (499.30M) [Mix] | Avg Buy: 2,090
4. XL: 768 lot (172.07M) [Retail] | Avg Buy: 2,097 | Avg Sell: 2,049
5. AK: 820 lot (165.04M) [Bandar] | Avg Buy: 2,046 | Avg Sell: 2,090","1. CC: 23,416 lot (4.86B) [Mix] | Avg Sell: 2,076
2. DR: 7,155 lot (1.49B) [Retail] | Avg Sell: 2,088
3. YP: 6,379 lot (1.32B) [Mix] | Avg Buy: 2,093 | Avg Sell: 2,075
4. AZ: 5,218 lot (1.06B) [Retail] | Avg Buy: 2,050 | Avg Sell: 2,037
5. CD: 5,000 lot (1.05B) [Bandar] | Avg Sell: 2,100",11697,"Buyer: Mix 97%, Seller: Mix 63% | Avg Buy Price: 2,073 | Avg Sell Price: 2,075",2072.8,2069.5,2071.5,2075.2
IDPR,"1. IN: 1,094 lot (33.14M) [Bandar] | Avg Buy: 303
2. CD: 280 lot (8.51M) [Bandar] | Avg Buy: 304
3. PC: 225 lot (6.83M) [Bandar] | Avg Buy: 303
4. PI: 100 lot (3.02M) [Retail] | Avg Buy: 302
5. SH: 50 lot (1.52M) [Bandar] | Avg Buy: 304","1. XA: 833 lot (25.32M) [Bandar] | Avg Sell: 304
2. XC: 305 lot (9.21M) [Retail] | Avg Sell: 302
3. SF: 298 lot (9.06M) [Bandar] | Avg Sell: 304
4. QA: 22 lot (668,800) [Bandar] | Avg Sell: 304",291,"Buyer: Bandar 94%, Seller: Bandar 79% | Avg Buy Price: 303 | Avg Sell Price: 304",303.2,,,303.5
JGLE,"1. MG: 1,157,616 lot (6.74B) [Mix] | Avg Buy: 58
2. YP: 290,191 lot (1.82B) [Mix] | Avg Buy: 62 | Avg Sell: 58
3. FZ: 100,149 lot (610.90M) [Bandar] | Avg Buy: 61
4. EP: 50,338 lot (296.21M) [Mix] | Avg Buy: 59
5. IF: 3,250 lot (19.82M) [Mix] | Avg Buy: 61","1. XL: 439,703 lot (2.61B) [Retail] | Avg Sell: 59
2. CP: 168,298 lot (996.47M) [Mix] | Avg Sell: 59
3. YB: 159,594 lot (964.59M) [Retail] | Avg Sell: 60
4. CC: 100,043 lot (583.87M) [Mix] | Avg Sell: 58
5. BQ: 100,766 lot (579.38M) [Bandar] | Avg Buy: 59 | Avg Sell: 58",633140,"Buyer: Mix 94%, Seller: Retail 62% | Avg Buy Price: 60 | Avg Sell Price: 59",60.2,58.0,59.0,58.8
PRDA,"1. BQ: 300 lot (73.80M) [Bandar] | Avg Buy: 2,460
2. CC: 265 lot (62.88M) [Mix] | Avg Buy: 2,423 | Avg Sell: 2,488
3. PD: 230 lot (57.16M) [Mix] | Avg Buy: 2,485
4. DX: 118 lot (28.58M) [Bandar] | Avg Buy: 2,422
5. NI: 105 lot (26.29M) [Bandar] | Avg Buy: 2,472 | Avg Sell: 2,434","1. BK: 425 lot (105.10M) [Bandar] | Avg Sell: 2,473
2. CP: 307 lot (74.42M) [Mix] | Avg Sell: 2,424
3. XL: 224 lot (55.02M) [Retail] | Avg Sell: 2,456
4. HP: 62 lot (15.14M) [Bandar] | Avg Sell: 2,442
5. GR: 58 lot (14.13M) [Bandar] | Avg Sell: 2,436",-58,"Buyer: Bandar 51%, Seller: Bandar 51% | Avg Buy Price: 2,452 | Avg Sell Price: 2,446",2452.4,2461.0,,2446.2
