stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers,buyers_detail,sellers_detail
BIPI,"1. XL: 4,534,567 lot (68.05B) [Retail] | Avg Buy: 150
2. XC: 747,458 lot (11.09B) [Retail] | Avg Buy: 148
3. MG: 607,946 lot (8.45B) [Mix] | Avg Buy: 137 | Avg Sell: 149
4. YP: 529,233 lot (8.12B) [Mix] | Avg Buy: 153
5. CP: 439,560 lot (6.22B) [Mix] | Avg Buy: 142","1. AK: 3,358,284 lot (50.14B) [Bandar] | Avg Sell: 149
2. BK: 1,554,291 lot (22.58B) [Bandar] | Avg Sell: 145
3. ZP: 1,121,701 lot (16.90B) [Bandar] | Avg Sell: 151
4. BB: 823,200 lot (11.01B) [Mix] | Avg Buy: 161 | Avg Sell: 137
5. LG: 625,578 lot (8.90B) [Bandar] | Avg Sell: 142",-624290,"Buyer: Retail 77%, Seller: Bandar 89% | Avg Buy Price: 146 | Avg Sell Price: 145",146.0,149.0,161.0,144.8,"[{'broker': 'XL', 'net_lot': 4534567, 'net_value': 68051481400, 'avg_buy_price': 150, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'XC', 'net_lot': 747458, 'net_value': 11086870200, 'avg_buy_price': 148, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'MG', 'net_lot': 607946, 'net_value': 8452156600, 'avg_buy_price': 137, 'avg_sell_price': 149, 'category': 'Mix'}, {'broker': 'YP', 'net_lot': 529233, 'net_value': 8121183000, 'avg_buy_price': 153, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'CP', 'net_lot': 439560, 'net_value': 6222217600, 'avg_buy_price': 142, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'AK', 'net_lot': 3358284, 'net_value': 50142688800, 'avg_buy_price': None, 'avg_sell_price': 149, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 1554291, 'net_value': 22584549000, 'avg_buy_price': None, 'avg_sell_price': 145, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 1121701, 'net_value': 16904477000, 'avg_buy_price': None, 'avg_sell_price': 151, 'category': 'Bandar'}, {'broker': 'BB', 'net_lot': 823200, 'net_value': 11006640000, 'avg_buy_price': 161, 'avg_sell_price': 137, 'category': 'Mix'}, {'broker': 'LG', 'net_lot': 625578, 'net_value': 8901818000, 'avg_buy_price': None, 'avg_sell_price': 142, 'category': 'Bandar'}]"
ELSA,"1. CC: 108,861 lot (7.62B) [Mix] | Avg Buy: 702 | Avg Sell: 727
2. KZ: 71,882 lot (5.00B) [Mix] | Avg Buy: 696
3. YB: 42,091 lot (3.03B) [Retail] | Avg Buy: 719
4. XC: 34,849 lot (2.51B) [Retail] | Avg Buy: 717 | Avg Sell: 699
5. MG: 29,627 lot (2.09B) [Mix] | Avg Buy: 706","1. ZP: 210,152 lot (14.87B) [Bandar] | Avg Sell: 707
2. GR: 121,416 lot (8.66B) [Bandar] | Avg Sell: 713
3. BK: 82,548 lot (5.84B) [Bandar] | Avg Sell: 708
4. KK: 31,687 lot (2.22B) [Bandar] | Avg Buy: 724 | Avg Sell: 709
5. YP: 23,420 lot (1.72B) [Mix] | Avg Buy: 704 | Avg Sell: 716",-181913,"Buyer: Mix 73%, Seller: Bandar 95% | Avg Buy Price: 708 | Avg Sell Price: 711",708.0,713.0,714.0,710.6,"[{'broker': 'CC', 'net_lot': 108861, 'net_value': 7616379700, 'avg_buy_price': 702, 'avg_sell_price': 727, 'category': 'Mix'}, {'broker': 'KZ', 'net_lot': 71882, 'net_value': 5002987200, 'avg_buy_price': 696, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'YB', 'net_lot': 42091, 'net_value': 3026840300, 'avg_buy_price': 719, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'XC', 'net_lot': 34849, 'net_value': 2505923700, 'avg_buy_price': 717, 'avg_sell_price': 699, 'category': 'Retail'}, {'broker': 'MG', 'net_lot': 29627, 'net_value': 2092826300, 'avg_buy_price': 706, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'ZP', 'net_lot': 210152, 'net_value': 14866420600, 'avg_buy_price': None, 'avg_sell_price': 707, 'category': 'Bandar'}, {'broker': 'GR', 'net_lot': 121416, 'net_value': 8657544000, 'avg_buy_price': None, 'avg_sell_price': 713, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 82548, 'net_value': 5842319100, 'avg_buy_price': None, 'avg_sell_price': 708, 'category': 'Bandar'}, {'broker': 'KK', 'net_lot': 31687, 'net_value': 2215909300, 'avg_buy_price': 724, 'avg_sell_price': 709, 'category': 'Bandar'}, {'broker': 'YP', 'net_lot': 23420, 'net_value': 1723013200, 'avg_buy_price': 704, 'avg_sell_price': 716, 'category': 'Mix'}]"
ESTI,"1. XL: 51,023 lot (1.07B) [Retail] | Avg Buy: 210
2. YP: 11,389 lot (238.65M) [Mix] | Avg Buy: 210
3. XC: 4,081 lot (85.69M) [Retail] | Avg Buy: 210
4. GR: 1,761 lot (35.34M) [Bandar] | Avg Buy: 203 | Avg Sell: 204
5. DX: 1,560 lot (32.76M) [Bandar] | Avg Buy: 210","1. XA: 23,214 lot (515.35M) [Bandar] | Avg Sell: 222
2. AK: 9,685 lot (205.32M) [Bandar] | Avg Sell: 212
3. SH: 9,000 lot (201.60M) [Bandar] | Avg Sell: 224
4. PD: 5,569 lot (118.17M) [Mix] | Avg Sell: 212
5. NI: 5,529 lot (117.73M) [Bandar] | Avg Sell: 213",16817,"Buyer: Retail 79%, Seller: Bandar 89% | Avg Buy Price: 209 | Avg Sell Price: 217",208.6,204.0,,216.6,"[{'broker': 'XL', 'net_lot': 51023, 'net_value': 1073704300, 'avg_buy_price': 210, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'YP', 'net_lot': 11389, 'net_value': 238647900, 'avg_buy_price': 210, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'XC', 'net_lot': 4081, 'net_value': 85693700, 'avg_buy_price': 210, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'GR', 'net_lot': 1761, 'net_value': 35344000, 'avg_buy_price': 203, 'avg_sell_price': 204, 'category': 'Bandar'}, {'broker': 'DX', 'net_lot': 1560, 'net_value': 32760000, 'avg_buy_price': 210, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'XA', 'net_lot': 23214, 'net_value': 515350800, 'avg_buy_price': None, 'avg_sell_price': 222, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 9685, 'net_value': 205322000, 'avg_buy_price': None, 'avg_sell_price': 212, 'category': 'Bandar'}, {'broker': 'SH', 'net_lot': 9000, 'net_value': 201600000, 'avg_buy_price': None, 'avg_sell_price': 224, 'category': 'Bandar'}, {'broker': 'PD', 'net_lot': 5569, 'net_value': 118174100, 'avg_buy_price': None, 'avg_sell_price': 212, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 5529, 'net_value': 117731000, 'avg_buy_price': None, 'avg_sell_price': 213, 'category': 'Bandar'}]"
GGRM,"1. RX: 9,162 lot (15.26B) [Bandar] | Avg Buy: 16,661
2. AK: 3,764 lot (6.06B) [Bandar] | Avg Buy: 16,093
3. MG: 1,645 lot (2.76B) [Mix] | Avg Buy: 16,756
4. ZP: 1,057 lot (1.67B) [Bandar] | Avg Buy: 15,954 | Avg Sell: 16,826
5. DR: 1,005 lot (1.65B) [Retail] | Avg Buy: 16,395","1. YP: 3,609 lot (5.76B) [Mix] | Avg Buy: 16,835 | Avg Sell: 15,983
2. NI: 2,766 lot (4.63B) [Bandar] | Avg Sell: 16,739
3. CC: 2,216 lot (3.68B) [Mix] | Avg Sell: 16,585
4. XL: 1,548 lot (2.59B) [Retail] | Avg Sell: 16,709
5. BK: 1,482 lot (2.56B) [Bandar] | Avg Buy: 16,177 | Avg Sell: 16,899",5012,"Buyer: Bandar 84%, Seller: Mix 50% | Avg Buy Price: 16,372 | Avg Sell Price: 16,583",16371.8,16826.0,16506.0,16583.0,"[{'broker': 'RX', 'net_lot': 9162, 'net_value': 15264935700, 'avg_buy_price': 16661, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 3764, 'net_value': 6057482800, 'avg_buy_price': 16093, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'MG', 'net_lot': 1645, 'net_value': 2756350100, 'avg_buy_price': 16756, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'ZP', 'net_lot': 1057, 'net_value': 1666194600, 'avg_buy_price': 15954, 'avg_sell_price': 16826, 'category': 'Bandar'}, {'broker': 'DR', 'net_lot': 1005, 'net_value': 1647729000, 'avg_buy_price': 16395, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'YP', 'net_lot': 3609, 'net_value': 5762471100, 'avg_buy_price': 16835, 'avg_sell_price': 15983, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 2766, 'net_value': 4630137800, 'avg_buy_price': None, 'avg_sell_price': 16739, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 2216, 'net_value': 3675137200, 'avg_buy_price': None, 'avg_sell_price': 16585, 'category': 'Mix'}, {'broker': 'XL', 'net_lot': 1548, 'net_value': 2586613500, 'avg_buy_price': None, 'avg_sell_price': 16709, 'category': 'Retail'}, {'broker': 'BK', 'net_lot': 1482, 'net_value': 2562336200, 'avg_buy_price': 16177, 'avg_sell_price': 16899, 'category': 'Bandar'}]"
INDY,"1. PD: 64,235 lot (20.76B) [Mix] | Avg Buy: 3,232
2. NI: 39,269 lot (12.93B) [Bandar] | Avg Buy: 3,291
3. BB: 37,067 lot (11.26B) [Mix] | Avg Buy: 3,039
4. AI: 35,026 lot (10.66B) [Bandar] | Avg Buy: 3,043
5. ZP: 32,161 lot (10.53B) [Bandar] | Avg Buy: 3,275","1. CC: 166,729 lot (51.21B) [Mix] | Avg Sell: 3,071
2. LG: 26,535 lot (9.23B) [Bandar] | Avg Buy: 3,041 | Avg Sell: 3,302
3. AK: 23,229 lot (7.94B) [Bandar] | Avg Buy: 3,009 | Avg Sell: 3,275
4. CP: 25,066 lot (7.37B) [Mix] | Avg Sell: 2,939
5. IF: 11,786 lot (3.51B) [Mix] | Avg Sell: 2,982",-45587,"Buyer: Bandar 51%, Seller: Mix 80% | Avg Buy Price: 3,176 | Avg Sell Price: 3,114",3176.0,,3025.0,3113.8,"[{'broker': 'PD', 'net_lot': 64235, 'net_value': 20762680300, 'avg_buy_price': 3232, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 39269, 'net_value': 12925170400, 'avg_buy_price': 3291, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'BB', 'net_lot': 37067, 'net_value': 11264168600, 'avg_buy_price': 3039, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'AI', 'net_lot': 35026, 'net_value': 10658447600, 'avg_buy_price': 3043, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 32161, 'net_value': 10531753200, 'avg_buy_price': 3275, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'CC', 'net_lot': 166729, 'net_value': 51209129300, 'avg_buy_price': None, 'avg_sell_price': 3071, 'category': 'Mix'}, {'broker': 'LG', 'net_lot': 26535, 'net_value': 9225471300, 'avg_buy_price': 3041, 'avg_sell_price': 3302, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 23229, 'net_value': 7938321700, 'avg_buy_price': 3009, 'avg_sell_price': 3275, 'category': 'Bandar'}, {'broker': 'CP', 'net_lot': 25066, 'net_value': 7367205200, 'avg_buy_price': None, 'avg_sell_price': 2939, 'category': 'Mix'}, {'broker': 'IF', 'net_lot': 11786, 'net_value': 3514489500, 'avg_buy_price': None, 'avg_sell_price': 2982, 'category': 'Mix'}]"
LPCK,"1. DH: 3,776 lot (308.12M) [Bandar] | Avg Buy: 816
2. LG: 3,115 lot (251.09M) [Bandar] | Avg Buy: 806
3. NI: 3,001 lot (244.26M) [Bandar] | Avg Buy: 814
4. YP: 2,225 lot (179.45M) [Mix] | Avg Buy: 807
5. DR: 1,438 lot (115.24M) [Retail] | Avg Buy: 801","1. XL: 5,865 lot (471.40M) [Retail] | Avg Sell: 804
2. AK: 4,001 lot (320.64M) [Bandar] | Avg Sell: 801
3. SQ: 2,350 lot (189.14M) [Bandar] | Avg Sell: 805
4. XC: 1,909 lot (150.81M) [Retail] | Avg Sell: 790
5. RF: 1,525 lot (120.22M) [Bandar] | Avg Buy: 815 | Avg Sell: 802",-2095,"Buyer: Bandar 73%, Seller: Bandar 50% | Avg Buy Price: 809 | Avg Sell Price: 800",808.8,,815.0,800.4,"[{'broker': 'DH', 'net_lot': 3776, 'net_value': 308121600, 'avg_buy_price': 816, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'LG', 'net_lot': 3115, 'net_value': 251089000, 'avg_buy_price': 806, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'NI', 'net_lot': 3001, 'net_value': 244264300, 'avg_buy_price': 814, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YP', 'net_lot': 2225, 'net_value': 179448800, 'avg_buy_price': 807, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'DR', 'net_lot': 1438, 'net_value': 115243200, 'avg_buy_price': 801, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'XL', 'net_lot': 5865, 'net_value': 471404000, 'avg_buy_price': None, 'avg_sell_price': 804, 'category': 'Retail'}, {'broker': 'AK', 'net_lot': 4001, 'net_value': 320644000, 'avg_buy_price': None, 'avg_sell_price': 801, 'category': 'Bandar'}, {'broker': 'SQ', 'net_lot': 2350, 'net_value': 189135800, 'avg_buy_price': None, 'avg_sell_price': 805, 'category': 'Bandar'}, {'broker': 'XC', 'net_lot': 1909, 'net_value': 150811000, 'avg_buy_price': None, 'avg_sell_price': 790, 'category': 'Retail'}, {'broker': 'RF', 'net_lot': 1525, 'net_value': 120225000, 'avg_buy_price': 815, 'avg_sell_price': 802, 'category': 'Bandar'}]"
LPPF,"1. CC: 5,584 lot (1.02B) [Mix] | Avg Buy: 1,832
2. GR: 3,046 lot (563.81M) [Bandar] | Avg Buy: 1,851
3. BB: 2,454 lot (457.43M) [Mix] | Avg Buy: 1,864
4. XC: 1,748 lot (322.82M) [Retail] | Avg Buy: 1,847
5. KI: 1,677 lot (304.38M) [Bandar] | Avg Buy: 1,815","1. ZP: 10,157 lot (1.86B) [Bandar] | Avg Sell: 1,836
2. XL: 3,347 lot (622.23M) [Retail] | Avg Sell: 1,859
3. SQ: 2,880 lot (536.31M) [Bandar] | Avg Sell: 1,862
4. OD: 1,508 lot (272.64M) [Bandar] | Avg Buy: 1,860 | Avg Sell: 1,823
5. IF: 1,408 lot (256.26M) [Mix] | Avg Sell: 1,820",-4791,"Buyer: Mix 55%, Seller: Bandar 75% | Avg Buy Price: 1,842 | Avg Sell Price: 1,840",1841.8,,1860.0,1840.0,"[{'broker': 'CC', 'net_lot': 5584, 'net_value': 1023126600, 'avg_buy_price': 1832, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'GR', 'net_lot': 3046, 'net_value': 563814600, 'avg_buy_price': 1851, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'BB', 'net_lot': 2454, 'net_value': 457425600, 'avg_buy_price': 1864, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'XC', 'net_lot': 1748, 'net_value': 322822000, 'avg_buy_price': 1847, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'KI', 'net_lot': 1677, 'net_value': 304375500, 'avg_buy_price': 1815, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'ZP', 'net_lot': 10157, 'net_value': 1864913100, 'avg_buy_price': None, 'avg_sell_price': 1836, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 3347, 'net_value': 622233600, 'avg_buy_price': None, 'avg_sell_price': 1859, 'category': 'Retail'}, {'broker': 'SQ', 'net_lot': 2880, 'net_value': 536314400, 'avg_buy_price': None, 'avg_sell_price': 1862, 'category': 'Bandar'}, {'broker': 'OD', 'net_lot': 1508, 'net_value': 272640300, 'avg_buy_price': 1860, 'avg_sell_price': 1823, 'category': 'Bandar'}, {'broker': 'IF', 'net_lot': 1408, 'net_value': 256256000, 'avg_buy_price': None, 'avg_sell_price': 1820, 'category': 'Mix'}]"
MPMX,"1. YB: 3,963 lot (398.28M) [Retail] | Avg Buy: 1,005
2. BK: 2,756 lot (278.02M) [Bandar] | Avg Buy: 1,009
3. IF: 2,025 lot (205.54M) [Mix] | Avg Buy: 1,015
4. NI: 1,214 lot (123.11M) [Bandar] | Avg Buy: 1,014
5. AZ: 1,098 lot (110.35M) [Retail] | Avg Buy: 1,005","1. KK: 4,174 lot (420.00M) [Bandar] | Avg Sell: 1,006
2. AG: 1,300 lot (131.30M) [Bandar] | Avg Sell: 1,010
3. AK: 1,260 lot (126.76M) [Bandar] | Avg Sell: 1,006
4. CC: 1,192 lot (121.51M) [Mix] | Avg Buy: 1,009 | Avg Sell: 1,014
5. DR: 1,173 lot (118.57M) [Retail] | Avg Sell: 1,011",1957,"Buyer: Retail 46%, Seller: Bandar 74% | Avg Buy Price: 1,010 | Avg Sell Price: 1,009",1009.6,,1009.0,1009.4,"[{'broker': 'YB', 'net_lot': 3963, 'net_value': 398281500, 'avg_buy_price': 1005, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'BK', 'net_lot': 2756, 'net_value': 278018800, 'avg_buy_price': 1009, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'IF', 'net_lot': 2025, 'net_value': 205537500, 'avg_buy_price': 1015, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'NI', 'net_lot': 1214, 'net_value': 123114500, 'avg_buy_price': 1014, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AZ', 'net_lot': 1098, 'net_value': 110349000, 'avg_buy_price': 1005, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'KK', 'net_lot': 4174, 'net_value': 420003100, 'avg_buy_price': None, 'avg_sell_price': 1006, 'category': 'Bandar'}, {'broker': 'AG', 'net_lot': 1300, 'net_value': 131300000, 'avg_buy_price': None, 'avg_sell_price': 1010, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 1260, 'net_value': 126756000, 'avg_buy_price': None, 'avg_sell_price': 1006, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 1192, 'net_value': 121507800, 'avg_buy_price': 1009, 'avg_sell_price': 1014, 'category': 'Mix'}, {'broker': 'DR', 'net_lot': 1173, 'net_value': 118565500, 'avg_buy_price': None, 'avg_sell_price': 1011, 'category': 'Retail'}]"
PGAS,"1. AK: 75,160 lot (16.25B) [Bandar] | Avg Buy: 2,162
2. YU: 70,045 lot (15.43B) [Bandar] | Avg Buy: 2,193 | Avg Sell: 2,156
3. ZP: 54,184 lot (11.82B) [Bandar] | Avg Buy: 2,181
4. GR: 40,641 lot (8.93B) [Bandar] | Avg Buy: 2,198 | Avg Sell: 2,201
5. RX: 32,127 lot (7.05B) [Bandar] | Avg Buy: 2,192 | Avg Sell: 2,160","1. HP: 135,077 lot (28.99B) [Bandar] | Avg Buy: 2,199 | Avg Sell: 2,146
2. CC: 92,893 lot (20.33B) [Mix] | Avg Sell: 2,188
3. OD: 37,342 lot (8.17B) [Bandar] | Avg Sell: 2,189
4. RO: 18,660 lot (4.10B) [Bandar] | Avg Sell: 2,195
5. BB: 18,439 lot (4.03B) [Mix] | Avg Sell: 2,183",-30254,"Buyer: Bandar 100%, Seller: Bandar 63% | Avg Buy Price: 2,185 | Avg Sell Price: 2,180",2185.2,2172.3333333333335,2199.0,2180.2,"[{'broker': 'AK', 'net_lot': 75160, 'net_value': 16253276800, 'avg_buy_price': 2162, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YU', 'net_lot': 70045, 'net_value': 15429829100, 'avg_buy_price': 2193, 'avg_sell_price': 2156, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 54184, 'net_value': 11815549200, 'avg_buy_price': 2181, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'GR', 'net_lot': 40641, 'net_value': 8932554300, 'avg_buy_price': 2198, 'avg_sell_price': 2201, 'category': 'Bandar'}, {'broker': 'RX', 'net_lot': 32127, 'net_value': 7048100800, 'avg_buy_price': 2192, 'avg_sell_price': 2160, 'category': 'Bandar'}]","[{'broker': 'HP', 'net_lot': 135077, 'net_value': 28986448300, 'avg_buy_price': 2199, 'avg_sell_price': 2146, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 92893, 'net_value': 20328936900, 'avg_buy_price': None, 'avg_sell_price': 2188, 'category': 'Mix'}, {'broker': 'OD', 'net_lot': 37342, 'net_value': 8173708300, 'avg_buy_price': None, 'avg_sell_price': 2189, 'category': 'Bandar'}, {'broker': 'RO', 'net_lot': 18660, 'net_value': 4096530000, 'avg_buy_price': None, 'avg_sell_price': 2195, 'category': 'Bandar'}, {'broker': 'BB', 'net_lot': 18439, 'net_value': 4025667900, 'avg_buy_price': None, 'avg_sell_price': 2183, 'category': 'Mix'}]"
PTBA,"1. RX: 20,893 lot (5.32B) [Bandar] | Avg Buy: 2,544 | Avg Sell: 2,520
2. ZP: 19,390 lot (4.93B) [Bandar] | Avg Buy: 2,542
3. YU: 13,039 lot (3.30B) [Bandar] | Avg Buy: 2,529
4. AK: 10,657 lot (2.67B) [Bandar] | Avg Buy: 2,513 | Avg Sell: 2,545
5. AZ: 6,467 lot (1.64B) [Retail] | Avg Buy: 2,543","1. GR: 43,026 lot (10.91B) [Bandar] | Avg Sell: 2,536
2. OD: 21,479 lot (5.42B) [Bandar] | Avg Sell: 2,521
3. DX: 5,716 lot (1.45B) [Bandar] | Avg Sell: 2,543
4. AT: 5,679 lot (1.44B) [Bandar] | Avg Buy: 2,518 | Avg Sell: 2,535
5. XL: 4,802 lot (1.24B) [Retail] | Avg Buy: 2,518 | Avg Sell: 2,546",-10256,"Buyer: Bandar 91%, Seller: Bandar 94% | Avg Buy Price: 2,534 | Avg Sell Price: 2,536",2534.2,2532.5,2518.0,2536.2,"[{'broker': 'RX', 'net_lot': 20893, 'net_value': 5316801600, 'avg_buy_price': 2544, 'avg_sell_price': 2520, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 19390, 'net_value': 4927980300, 'avg_buy_price': 2542, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YU', 'net_lot': 13039, 'net_value': 3297050400, 'avg_buy_price': 2529, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 10657, 'net_value': 2672670500, 'avg_buy_price': 2513, 'avg_sell_price': 2545, 'category': 'Bandar'}, {'broker': 'AZ', 'net_lot': 6467, 'net_value': 1644709100, 'avg_buy_price': 2543, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'GR', 'net_lot': 43026, 'net_value': 10913336400, 'avg_buy_price': None, 'avg_sell_price': 2536, 'category': 'Bandar'}, {'broker': 'OD', 'net_lot': 21479, 'net_value': 5415130300, 'avg_buy_price': None, 'avg_sell_price': 2521, 'category': 'Bandar'}, {'broker': 'DX', 'net_lot': 5716, 'net_value': 1453445100, 'avg_buy_price': None, 'avg_sell_price': 2543, 'category': 'Bandar'}, {'broker': 'AT', 'net_lot': 5679, 'net_value': 1439730200, 'avg_buy_price': 2518, 'avg_sell_price': 2535, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 4802, 'net_value': 1236239200, 'avg_buy_price': 2518, 'avg_sell_price': 2546, 'category': 'Retail'}]"
