stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
AADI,"1. PD: 20,630 lot (18.92B) [Mix] | Avg Buy: 9,174 | Avg Sell: 9,197
2. ZP: 17,369 lot (15.93B) [Bandar] | Avg Buy: 9,168 | Avg Sell: 9,149
3. NI: 6,843 lot (6.35B) [Bandar] | Avg Buy: 9,197 | Avg Sell: 9,161
4. DH: 4,715 lot (4.30B) [Bandar] | Avg Buy: 9,123
5. AZ: 4,454 lot (4.09B) [Retail] | Avg Buy: 9,184","1. AK: 21,635 lot (19.79B) [Bandar] | Avg Sell: 9,146
2. OD: 17,147 lot (15.75B) [Bandar] | Avg Sell: 9,184
3. XL: 9,144 lot (8.37B) [Retail] | Avg Sell: 9,159
4. KK: 3,160 lot (2.89B) [Bandar] | Avg Sell: 9,146
5. YU: 3,019 lot (2.76B) [Bandar] | Avg Buy: 9,198 | Avg Sell: 9,146",-94,"Buyer: Bandar 54%, Seller: Bandar 83% | Avg Buy Price: 9,169 | Avg Sell Price: 9,156",9169.2,9169.0,9198.0,9156.2
ADMG,"1. XL: 3,885 lot (84.46M) [Retail] | Avg Buy: 217
2. KK: 1,939 lot (42.27M) [Bandar] | Avg Buy: 218
3. ZP: 1,098 lot (23.28M) [Bandar] | Avg Buy: 212
4. EP: 600 lot (12.84M) [Mix] | Avg Buy: 214
5. PC: 49 lot (1.04M) [Bandar] | Avg Buy: 213","1. PD: 2,282 lot (48.83M) [Mix] | Avg Sell: 214
2. XC: 951 lot (20.64M) [Retail] | Avg Sell: 217
3. YP: 896 lot (19.53M) [Mix] | Avg Sell: 218
4. AO: 505 lot (11.11M) [Bandar] | Avg Sell: 220
5. YU: 496 lot (10.81M) [Bandar] | Avg Sell: 218",2441,"Buyer: Retail 51%, Seller: Mix 62% | Avg Buy Price: 215 | Avg Sell Price: 217",214.8,,,217.4
ADMR,"1. CC: 185,970 lot (39.31B) [Mix] | Avg Buy: 2,114
2. PD: 127,806 lot (26.86B) [Mix] | Avg Buy: 2,101
3. LG: 99,561 lot (20.81B) [Bandar] | Avg Buy: 2,094 | Avg Sell: 2,130
4. BK: 54,397 lot (11.35B) [Bandar] | Avg Buy: 2,086
5. AK: 35,289 lot (8.27B) [Bandar] | Avg Buy: 2,125 | Avg Sell: 2,065","1. YU: 341,457 lot (71.96B) [Bandar] | Avg Sell: 2,107
2. KI: 205,332 lot (43.65B) [Bandar] | Avg Sell: 2,126
3. BQ: 55,806 lot (11.93B) [Bandar] | Avg Buy: 2,073 | Avg Sell: 2,131
4. YP: 21,025 lot (4.37B) [Mix] | Avg Sell: 2,077
5. XA: 19,708 lot (4.08B) [Bandar] | Avg Sell: 2,070",-140305,"Buyer: Mix 62%, Seller: Bandar 97% | Avg Buy Price: 2,104 | Avg Sell Price: 2,102",2104.0,2097.5,2073.0,2102.2
ANTM,"1. YP: 67,053 lot (29.38B) [Mix] | Avg Buy: 4,382
2. ZP: 26,156 lot (11.45B) [Bandar] | Avg Buy: 4,377
3. YU: 24,940 lot (10.86B) [Bandar] | Avg Buy: 4,355
4. PD: 22,125 lot (9.70B) [Mix] | Avg Buy: 4,385
5. DX: 20,853 lot (8.82B) [Bandar] | Avg Buy: 4,320 | Avg Sell: 4,475","1. NI: 53,545 lot (23.22B) [Bandar] | Avg Sell: 4,336
2. KZ: 44,487 lot (19.57B) [Mix] | Avg Sell: 4,398
3. CC: 37,629 lot (16.79B) [Mix] | Avg Buy: 4,347 | Avg Sell: 4,452
4. LG: 36,139 lot (15.92B) [Bandar] | Avg Sell: 4,404
5. SQ: 30,737 lot (13.77B) [Bandar] | Avg Buy: 4,346 | Avg Sell: 4,450",-41410,"Buyer: Mix 55%, Seller: Bandar 59% | Avg Buy Price: 4,364 | Avg Sell Price: 4,408",4363.8,4475.0,4346.5,4408.0
ATAP,"1. BR: 11,465 lot (962.24M) [Bandar] | Avg Buy: 843 | Avg Sell: 886
2. CC: 9,049 lot (789.78M) [Mix] | Avg Buy: 873
3. KK: 7,352 lot (633.03M) [Bandar] | Avg Buy: 861
4. XL: 4,477 lot (378.68M) [Retail] | Avg Buy: 851 | Avg Sell: 867
5. YP: 4,208 lot (357.28M) [Mix] | Avg Buy: 855 | Avg Sell: 877","1. SH: 34,879 lot (3.00B) [Bandar] | Avg Sell: 861
2. XC: 9,631 lot (835.01M) [Retail] | Avg Sell: 867
3. LG: 4,788 lot (412.25M) [Bandar] | Avg Sell: 861
4. AO: 2,904 lot (247.42M) [Bandar] | Avg Sell: 852
5. CP: 2,161 lot (177.99M) [Mix] | Avg Buy: 874 | Avg Sell: 838",-17812,"Buyer: Bandar 51%, Seller: Bandar 78% | Avg Buy Price: 857 | Avg Sell Price: 856",856.6,876.6666666666666,874.0,855.8
BELL,"1. XL: 88,551 lot (2.04B) [Retail] | Avg Buy: 231 | Avg Sell: 239
2. MG: 68,011 lot (1.62B) [Mix] | Avg Buy: 239
3. AK: 24,556 lot (552.51M) [Bandar] | Avg Buy: 225
4. NI: 20,766 lot (481.59M) [Bandar] | Avg Buy: 232
5. XA: 18,731 lot (445.73M) [Bandar] | Avg Buy: 238","1. CC: 48,990 lot (1.14B) [Mix] | Avg Sell: 233
2. YU: 40,341 lot (946.86M) [Bandar] | Avg Sell: 235
3. DX: 38,094 lot (888.38M) [Bandar] | Avg Sell: 233
4. YP: 30,581 lot (712.54M) [Mix] | Avg Sell: 233
5. XC: 27,443 lot (653.14M) [Retail] | Avg Sell: 238",35166,"Buyer: Retail 40%, Seller: Mix 43% | Avg Buy Price: 233 | Avg Sell Price: 234",233.0,239.0,,234.4
BIPP,"1. XL: 39,587 lot (402.99M) [Retail] | Avg Buy: 102
2. RB: 9,500 lot (95.75M) [Retail] | Avg Buy: 101
3. XC: 7,943 lot (82.61M) [Retail] | Avg Buy: 104
4. YB: 4,770 lot (48.18M) [Retail] | Avg Buy: 101
5. OD: 2,242 lot (22.87M) [Bandar] | Avg Buy: 102","1. AI: 20,773 lot (212.81M) [Bandar] | Avg Sell: 102
2. FZ: 15,299 lot (155.52M) [Bandar] | Avg Sell: 102
3. DR: 13,990 lot (140.14M) [Retail] | Avg Sell: 100
4. MG: 7,500 lot (75.75M) [Mix] | Avg Sell: 101
5. CP: 6,469 lot (66.85M) [Mix] | Avg Buy: 101 | Avg Sell: 103",11,"Buyer: Retail 96%, Seller: Bandar 56% | Avg Buy Price: 102 | Avg Sell Price: 102",102.0,,101.0,101.6
BIRD,"1. SQ: 1,696 lot (298.50M) [Bandar] | Avg Buy: 1,760
2. AI: 1,000 lot (176.00M) [Bandar] | Avg Buy: 1,760
3. PD: 435 lot (76.52M) [Mix] | Avg Buy: 1,756 | Avg Sell: 1,752
4. CD: 300 lot (52.65M) [Bandar] | Avg Buy: 1,755
5. BK: 255 lot (44.80M) [Bandar] | Avg Buy: 1,757","1. BQ: 2,290 lot (403.04M) [Bandar] | Avg Sell: 1,760
2. XL: 917 lot (161.18M) [Retail] | Avg Sell: 1,758
3. AK: 263 lot (46.21M) [Bandar] | Avg Sell: 1,757
4. CC: 253 lot (44.42M) [Mix] | Avg Buy: 1,757 | Avg Sell: 1,756
5. NI: 196 lot (34.50M) [Bandar] | Avg Sell: 1,760",-233,"Buyer: Bandar 88%, Seller: Bandar 70% | Avg Buy Price: 1,758 | Avg Sell Price: 1,758",1757.6,1752.0,1757.0,1758.2
BMRI,"1. ZP: 198,981 lot (105.86B) [Bandar] | Avg Buy: 5,320
2. YU: 159,519 lot (84.83B) [Bandar] | Avg Buy: 5,318
3. RX: 59,661 lot (32.47B) [Bandar] | Avg Buy: 5,333 | Avg Sell: 5,283
4. DX: 26,198 lot (13.95B) [Bandar] | Avg Buy: 5,324 | Avg Sell: 5,321
5. NI: 17,788 lot (9.40B) [Bandar] | Avg Buy: 5,287 | Avg Sell: 5,314","1. AK: 153,165 lot (81.81B) [Bandar] | Avg Buy: 5,303 | Avg Sell: 5,324
2. TP: 120,322 lot (64.12B) [Bandar] | Avg Sell: 5,329
3. AG: 106,895 lot (56.85B) [Bandar] | Avg Sell: 5,318
4. LG: 54,974 lot (29.27B) [Bandar] | Avg Sell: 5,324
5. CC: 38,787 lot (20.59B) [Mix] | Avg Sell: 5,310",-11996,"Buyer: Bandar 100%, Seller: Bandar 92% | Avg Buy Price: 5,316 | Avg Sell Price: 5,321",5316.4,5306.0,5303.0,5321.0
BRIS,"1. PD: 69,676 lot (16.52B) [Mix] | Avg Buy: 2,372
2. KZ: 29,824 lot (7.08B) [Mix] | Avg Buy: 2,374
3. YU: 10,830 lot (2.60B) [Bandar] | Avg Buy: 2,383 | Avg Sell: 2,362
4. AZ: 9,557 lot (2.28B) [Retail] | Avg Buy: 2,379 | Avg Sell: 2,352
5. BR: 8,000 lot (1.88B) [Bandar] | Avg Buy: 2,355","1. BB: 32,081 lot (7.63B) [Mix] | Avg Sell: 2,377
2. ZP: 21,088 lot (5.01B) [Bandar] | Avg Buy: 2,378 | Avg Sell: 2,376
3. BK: 18,372 lot (4.33B) [Bandar] | Avg Sell: 2,355
4. AK: 18,155 lot (4.32B) [Bandar] | Avg Sell: 2,380
5. KK: 9,409 lot (2.21B) [Bandar] | Avg Buy: 2,376 | Avg Sell: 2,354",28782,"Buyer: Mix 78%, Seller: Bandar 68% | Avg Buy Price: 2,373 | Avg Sell Price: 2,368",2372.6,2357.0,2377.0,2368.4
