stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers,buyers_detail,sellers_detail
ANTM,"1. BB: 449,386 lot (171.51B) [Mix] | Avg Buy: 3,817
2. RX: 136,784 lot (51.60B) [Bandar] | Avg Buy: 3,773 | Avg Sell: 3,930
3. XL: 101,672 lot (39.13B) [Retail] | Avg Buy: 3,849
4. OD: 98,778 lot (37.59B) [Bandar] | Avg Buy: 3,806
5. NI: 72,606 lot (28.03B) [Bandar] | Avg Buy: 3,861","1. AK: 323,456 lot (124.84B) [Bandar] | Avg Sell: 3,860
2. BK: 219,403 lot (85.23B) [Bandar] | Avg Sell: 3,884
3. LG: 168,125 lot (61.19B) [Bandar] | Avg Buy: 3,936 | Avg Sell: 3,712
4. ZP: 127,023 lot (48.62B) [Bandar] | Avg Sell: 3,828
5. AI: 95,553 lot (35.64B) [Bandar] | Avg Buy: 3,945 | Avg Sell: 3,740",-74334,"Buyer: Mix 52%, Seller: Bandar 100% | Avg Buy Price: 3,821 | Avg Sell Price: 3,805",3821.2,3930.0,3940.5,3804.8,"[{'broker': 'BB', 'net_lot': 449386, 'net_value': 171508628200, 'avg_buy_price': 3817, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'RX', 'net_lot': 136784, 'net_value': 51595949000, 'avg_buy_price': 3773, 'avg_sell_price': 3930, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 101672, 'net_value': 39134348000, 'avg_buy_price': 3849, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'OD', 'net_lot': 98778, 'net_value': 37591538400, 'avg_buy_price': 3806, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'NI', 'net_lot': 72606, 'net_value': 28032226800, 'avg_buy_price': 3861, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'AK', 'net_lot': 323456, 'net_value': 124839272200, 'avg_buy_price': None, 'avg_sell_price': 3860, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 219403, 'net_value': 85225947800, 'avg_buy_price': None, 'avg_sell_price': 3884, 'category': 'Bandar'}, {'broker': 'LG', 'net_lot': 168125, 'net_value': 61185968000, 'avg_buy_price': 3936, 'avg_sell_price': 3712, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 127023, 'net_value': 48623922300, 'avg_buy_price': None, 'avg_sell_price': 3828, 'category': 'Bandar'}, {'broker': 'AI', 'net_lot': 95553, 'net_value': 35636741000, 'avg_buy_price': 3945, 'avg_sell_price': 3740, 'category': 'Bandar'}]"
BBTN,"1. DX: 39,161 lot (4.77B) [Bandar] | Avg Buy: 1,217
2. PD: 35,839 lot (4.37B) [Mix] | Avg Buy: 1,220
3. BB: 31,954 lot (3.90B) [Mix] | Avg Buy: 1,219
4. LG: 31,004 lot (3.78B) [Bandar] | Avg Buy: 1,220
5. RX: 29,573 lot (3.58B) [Bandar] | Avg Buy: 1,211 | Avg Sell: 1,225","1. CC: 94,989 lot (11.57B) [Mix] | Avg Sell: 1,218
2. AK: 74,899 lot (9.18B) [Bandar] | Avg Buy: 1,219 | Avg Sell: 1,225
3. BK: 55,590 lot (6.75B) [Bandar] | Avg Sell: 1,213
4. YP: 28,468 lot (3.48B) [Mix] | Avg Sell: 1,222
5. OD: 9,389 lot (1.15B) [Bandar] | Avg Sell: 1,223",-95804,"Buyer: Bandar 60%, Seller: Bandar 53% | Avg Buy Price: 1,217 | Avg Sell Price: 1,220",1217.4,1225.0,1219.0,1220.2,"[{'broker': 'DX', 'net_lot': 39161, 'net_value': 4766215600, 'avg_buy_price': 1217, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'PD', 'net_lot': 35839, 'net_value': 4371660100, 'avg_buy_price': 1220, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'BB', 'net_lot': 31954, 'net_value': 3895192600, 'avg_buy_price': 1219, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'LG', 'net_lot': 31004, 'net_value': 3783806000, 'avg_buy_price': 1220, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'RX', 'net_lot': 29573, 'net_value': 3580692500, 'avg_buy_price': 1211, 'avg_sell_price': 1225, 'category': 'Bandar'}]","[{'broker': 'CC', 'net_lot': 94989, 'net_value': 11573409700, 'avg_buy_price': None, 'avg_sell_price': 1218, 'category': 'Mix'}, {'broker': 'AK', 'net_lot': 74899, 'net_value': 9176217700, 'avg_buy_price': 1219, 'avg_sell_price': 1225, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 55590, 'net_value': 6745076800, 'avg_buy_price': None, 'avg_sell_price': 1213, 'category': 'Bandar'}, {'broker': 'YP', 'net_lot': 28468, 'net_value': 3478909200, 'avg_buy_price': None, 'avg_sell_price': 1222, 'category': 'Mix'}, {'broker': 'OD', 'net_lot': 9389, 'net_value': 1148236000, 'avg_buy_price': None, 'avg_sell_price': 1223, 'category': 'Bandar'}]"
BIPI,"1. XL: 3,099,163 lot (47.48B) [Retail] | Avg Buy: 154 | Avg Sell: 169
2. II: 660,050 lot (11.02B) [Mix] | Avg Buy: 167
3. YP: 593,744 lot (9.29B) [Mix] | Avg Buy: 156
4. XC: 441,893 lot (6.80B) [Retail] | Avg Buy: 154 | Avg Sell: 170
5. PD: 403,123 lot (6.23B) [Mix] | Avg Buy: 155 | Avg Sell: 170","1. AK: 3,244,275 lot (48.84B) [Bandar] | Avg Sell: 151
2. BK: 1,496,734 lot (22.09B) [Bandar] | Avg Sell: 148
3. ZP: 715,171 lot (11.15B) [Bandar] | Avg Sell: 156
4. GA: 370,339 lot (5.93B) [Bandar] | Avg Sell: 160
5. YB: 381,577 lot (5.77B) [Retail] | Avg Sell: 151",-1010123,"Buyer: Retail 68%, Seller: Bandar 94% | Avg Buy Price: 157 | Avg Sell Price: 153",157.2,169.66666666666666,,153.2,"[{'broker': 'XL', 'net_lot': 3099163, 'net_value': 47482058200, 'avg_buy_price': 154, 'avg_sell_price': 169, 'category': 'Retail'}, {'broker': 'II', 'net_lot': 660050, 'net_value': 11022710000, 'avg_buy_price': 167, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'YP', 'net_lot': 593744, 'net_value': 9288546900, 'avg_buy_price': 156, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'XC', 'net_lot': 441893, 'net_value': 6800800200, 'avg_buy_price': 154, 'avg_sell_price': 170, 'category': 'Retail'}, {'broker': 'PD', 'net_lot': 403123, 'net_value': 6232539500, 'avg_buy_price': 155, 'avg_sell_price': 170, 'category': 'Mix'}]","[{'broker': 'AK', 'net_lot': 3244275, 'net_value': 48844021500, 'avg_buy_price': None, 'avg_sell_price': 151, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 1496734, 'net_value': 22094493900, 'avg_buy_price': None, 'avg_sell_price': 148, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 715171, 'net_value': 11152678400, 'avg_buy_price': None, 'avg_sell_price': 156, 'category': 'Bandar'}, {'broker': 'GA', 'net_lot': 370339, 'net_value': 5929024000, 'avg_buy_price': None, 'avg_sell_price': 160, 'category': 'Bandar'}, {'broker': 'YB', 'net_lot': 381577, 'net_value': 5772488800, 'avg_buy_price': None, 'avg_sell_price': 151, 'category': 'Retail'}]"
HMSP,"1. ZP: 106,460 lot (8.88B) [Bandar] | Avg Buy: 834
2. BK: 86,926 lot (7.10B) [Bandar] | Avg Buy: 817
3. AO: 81,444 lot (6.62B) [Bandar] | Avg Buy: 813
4. MG: 68,330 lot (5.76B) [Mix] | Avg Buy: 842
5. LG: 57,530 lot (4.81B) [Bandar] | Avg Buy: 837","1. CC: 166,990 lot (13.83B) [Mix] | Avg Sell: 828
2. CP: 57,638 lot (4.57B) [Mix] | Avg Buy: 842 | Avg Sell: 800
3. OD: 52,257 lot (4.28B) [Bandar] | Avg Sell: 819
4. YP: 42,802 lot (3.71B) [Mix] | Avg Buy: 807 | Avg Sell: 837
5. XA: 41,114 lot (3.39B) [Bandar] | Avg Sell: 825",39889,"Buyer: Bandar 83%, Seller: Mix 74% | Avg Buy Price: 829 | Avg Sell Price: 822",828.6,,824.5,821.8,"[{'broker': 'ZP', 'net_lot': 106460, 'net_value': 8882967200, 'avg_buy_price': 834, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'BK', 'net_lot': 86926, 'net_value': 7102362000, 'avg_buy_price': 817, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AO', 'net_lot': 81444, 'net_value': 6619541300, 'avg_buy_price': 813, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'MG', 'net_lot': 68330, 'net_value': 5756651500, 'avg_buy_price': 842, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'LG', 'net_lot': 57530, 'net_value': 4814789100, 'avg_buy_price': 837, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'CC', 'net_lot': 166990, 'net_value': 13829407900, 'avg_buy_price': None, 'avg_sell_price': 828, 'category': 'Mix'}, {'broker': 'CP', 'net_lot': 57638, 'net_value': 4568901400, 'avg_buy_price': 842, 'avg_sell_price': 800, 'category': 'Mix'}, {'broker': 'OD', 'net_lot': 52257, 'net_value': 4278877800, 'avg_buy_price': None, 'avg_sell_price': 819, 'category': 'Bandar'}, {'broker': 'YP', 'net_lot': 42802, 'net_value': 3706775400, 'avg_buy_price': 807, 'avg_sell_price': 837, 'category': 'Mix'}, {'broker': 'XA', 'net_lot': 41114, 'net_value': 3392967900, 'avg_buy_price': None, 'avg_sell_price': 825, 'category': 'Bandar'}]"
INCO,"1. AZ: 42,758 lot (25.03B) [Retail] | Avg Buy: 5,853
2. NI: 41,239 lot (24.36B) [Bandar] | Avg Buy: 5,907
3. OD: 41,927 lot (24.24B) [Bandar] | Avg Buy: 5,782
4. ZP: 20,565 lot (12.79B) [Bandar] | Avg Buy: 6,129 | Avg Sell: 5,795
5. AI: 16,089 lot (9.61B) [Bandar] | Avg Buy: 5,975","1. CC: 71,282 lot (40.81B) [Mix] | Avg Sell: 5,725
2. BK: 47,600 lot (29.10B) [Bandar] | Avg Buy: 5,711 | Avg Sell: 6,086
3. DR: 28,161 lot (16.13B) [Retail] | Avg Sell: 5,728
4. TP: 22,761 lot (13.20B) [Bandar] | Avg Sell: 5,799
5. DX: 7,802 lot (4.45B) [Bandar] | Avg Sell: 5,703",-15028,"Buyer: Bandar 74%, Seller: Bandar 44% | Avg Buy Price: 5,929 | Avg Sell Price: 5,808",5929.2,5795.0,5711.0,5808.2,"[{'broker': 'AZ', 'net_lot': 42758, 'net_value': 25026558400, 'avg_buy_price': 5853, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'NI', 'net_lot': 41239, 'net_value': 24360943500, 'avg_buy_price': 5907, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'OD', 'net_lot': 41927, 'net_value': 24242115300, 'avg_buy_price': 5782, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 20565, 'net_value': 12785516900, 'avg_buy_price': 6129, 'avg_sell_price': 5795, 'category': 'Bandar'}, {'broker': 'AI', 'net_lot': 16089, 'net_value': 9613108500, 'avg_buy_price': 5975, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'CC', 'net_lot': 71282, 'net_value': 40806083400, 'avg_buy_price': None, 'avg_sell_price': 5725, 'category': 'Mix'}, {'broker': 'BK', 'net_lot': 47600, 'net_value': 29096072500, 'avg_buy_price': 5711, 'avg_sell_price': 6086, 'category': 'Bandar'}, {'broker': 'DR', 'net_lot': 28161, 'net_value': 16131779400, 'avg_buy_price': None, 'avg_sell_price': 5728, 'category': 'Retail'}, {'broker': 'TP', 'net_lot': 22761, 'net_value': 13199931300, 'avg_buy_price': None, 'avg_sell_price': 5799, 'category': 'Bandar'}, {'broker': 'DX', 'net_lot': 7802, 'net_value': 4449480600, 'avg_buy_price': None, 'avg_sell_price': 5703, 'category': 'Bandar'}]"
INDY,"1. AK: 138,657 lot (39.83B) [Bandar] | Avg Buy: 2,872
2. YU: 40,154 lot (11.85B) [Bandar] | Avg Buy: 2,952
3. BB: 30,005 lot (9.11B) [Mix] | Avg Buy: 3,037 | Avg Sell: 3,038
4. ZP: 29,243 lot (8.67B) [Bandar] | Avg Buy: 2,966
5. LG: 19,751 lot (5.99B) [Bandar] | Avg Buy: 3,031","1. CC: 109,835 lot (34.00B) [Mix] | Avg Buy: 2,851 | Avg Sell: 3,037
2. PD: 50,722 lot (14.48B) [Mix] | Avg Buy: 3,009 | Avg Sell: 2,885
3. CP: 39,859 lot (11.48B) [Mix] | Avg Sell: 2,881
4. IF: 22,719 lot (6.62B) [Mix] | Avg Sell: 2,915
5. AZ: 18,336 lot (5.14B) [Retail] | Avg Buy: 2,985 | Avg Sell: 2,891",16339,"Buyer: Bandar 88%, Seller: Mix 92% | Avg Buy Price: 2,972 | Avg Sell Price: 2,922",2971.6,3038.0,2948.3333333333335,2921.8,"[{'broker': 'AK', 'net_lot': 138657, 'net_value': 39828591300, 'avg_buy_price': 2872, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YU', 'net_lot': 40154, 'net_value': 11854729600, 'avg_buy_price': 2952, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'BB', 'net_lot': 30005, 'net_value': 9111851400, 'avg_buy_price': 3037, 'avg_sell_price': 3038, 'category': 'Mix'}, {'broker': 'ZP', 'net_lot': 29243, 'net_value': 8672496300, 'avg_buy_price': 2966, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'LG', 'net_lot': 19751, 'net_value': 5985802700, 'avg_buy_price': 3031, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'CC', 'net_lot': 109835, 'net_value': 33995129900, 'avg_buy_price': 2851, 'avg_sell_price': 3037, 'category': 'Mix'}, {'broker': 'PD', 'net_lot': 50722, 'net_value': 14476573400, 'avg_buy_price': 3009, 'avg_sell_price': 2885, 'category': 'Mix'}, {'broker': 'CP', 'net_lot': 39859, 'net_value': 11482777700, 'avg_buy_price': None, 'avg_sell_price': 2881, 'category': 'Mix'}, {'broker': 'IF', 'net_lot': 22719, 'net_value': 6622501500, 'avg_buy_price': None, 'avg_sell_price': 2915, 'category': 'Mix'}, {'broker': 'AZ', 'net_lot': 18336, 'net_value': 5141551200, 'avg_buy_price': 2985, 'avg_sell_price': 2891, 'category': 'Retail'}]"
ITMA,"1. TS: 46,360 lot (10.23B) [Bandar] | Avg Buy: 2,207
2. CC: 20,772 lot (3.93B) [Mix] | Avg Buy: 1,884 | Avg Sell: 2,221
3. MU: 998 lot (230.65M) [Bandar]
4. XL: 833 lot (182.08M) [Retail] | Avg Buy: 2,101 | Avg Sell: 1,909
5. NI: 453 lot (88.56M) [Bandar] | Avg Buy: 1,955","1. II: 24,109 lot (6.13B) [Mix]
2. AK: 15,912 lot (3.12B) [Bandar] | Avg Sell: 1,964
3. BR: 12,761 lot (2.44B) [Bandar] | Avg Buy: 1,910 | Avg Sell: 1,910
4. HD: 5,146 lot (955.61M) [Bandar] | Avg Sell: 1,857
5. LG: 5,000 lot (934.50M) [Bandar] | Avg Sell: 1,869",6488,"Buyer: Bandar 69%, Seller: Bandar 62% | Avg Buy Price: 2,037 | Avg Sell Price: 1,900",2036.75,2147.0,2226.0,1900.0,"[{'broker': 'TS', 'net_lot': 46360, 'net_value': 10231854200, 'avg_buy_price': 2207, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 20772, 'net_value': 3927834700, 'avg_buy_price': 1884, 'avg_sell_price': 2221, 'category': 'Mix'}, {'broker': 'MU', 'net_lot': 998, 'net_value': 230651600, 'avg_buy_price': None, 'avg_sell_price': 2311, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 833, 'net_value': 182078900, 'avg_buy_price': 2101, 'avg_sell_price': 1909, 'category': 'Retail'}, {'broker': 'NI', 'net_lot': 453, 'net_value': 88561500, 'avg_buy_price': 1955, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'II', 'net_lot': 24109, 'net_value': 6127327800, 'avg_buy_price': 2542, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'AK', 'net_lot': 15912, 'net_value': 3124719000, 'avg_buy_price': None, 'avg_sell_price': 1964, 'category': 'Bandar'}, {'broker': 'BR', 'net_lot': 12761, 'net_value': 2437351000, 'avg_buy_price': 1910, 'avg_sell_price': 1910, 'category': 'Bandar'}, {'broker': 'HD', 'net_lot': 5146, 'net_value': 955612200, 'avg_buy_price': None, 'avg_sell_price': 1857, 'category': 'Bandar'}, {'broker': 'LG', 'net_lot': 5000, 'net_value': 934500000, 'avg_buy_price': None, 'avg_sell_price': 1869, 'category': 'Bandar'}]"
JSMR,"1. BB: 46,060 lot (16.61B) [Mix] | Avg Buy: 3,605
2. YP: 12,351 lot (4.44B) [Mix] | Avg Buy: 3,597 | Avg Sell: 3,646
3. LG: 6,985 lot (2.55B) [Bandar] | Avg Buy: 3,653 | Avg Sell: 3,611
4. DH: 6,339 lot (2.29B) [Bandar] | Avg Buy: 3,613
5. AK: 3,566 lot (1.28B) [Bandar] | Avg Buy: 3,583","1. CC: 18,931 lot (6.80B) [Mix] | Avg Sell: 3,594
2. DX: 18,591 lot (6.68B) [Bandar] | Avg Buy: 3,618 | Avg Sell: 3,596
3. ZP: 8,782 lot (3.16B) [Bandar] | Avg Sell: 3,595
4. KI: 7,871 lot (2.85B) [Bandar] | Avg Sell: 3,627
5. GR: 4,070 lot (1.47B) [Bandar] | Avg Sell: 3,600",17056,"Buyer: Mix 78%, Seller: Bandar 67% | Avg Buy Price: 3,610 | Avg Sell Price: 3,602",3610.2,3628.5,3618.0,3602.4,"[{'broker': 'BB', 'net_lot': 46060, 'net_value': 16605291500, 'avg_buy_price': 3605, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'YP', 'net_lot': 12351, 'net_value': 4439871500, 'avg_buy_price': 3597, 'avg_sell_price': 3646, 'category': 'Mix'}, {'broker': 'LG', 'net_lot': 6985, 'net_value': 2552401700, 'avg_buy_price': 3653, 'avg_sell_price': 3611, 'category': 'Bandar'}, {'broker': 'DH', 'net_lot': 6339, 'net_value': 2290236300, 'avg_buy_price': 3613, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AK', 'net_lot': 3566, 'net_value': 1277572700, 'avg_buy_price': 3583, 'avg_sell_price': None, 'category': 'Bandar'}]","[{'broker': 'CC', 'net_lot': 18931, 'net_value': 6803959500, 'avg_buy_price': None, 'avg_sell_price': 3594, 'category': 'Mix'}, {'broker': 'DX', 'net_lot': 18591, 'net_value': 6684767000, 'avg_buy_price': 3618, 'avg_sell_price': 3596, 'category': 'Bandar'}, {'broker': 'ZP', 'net_lot': 8782, 'net_value': 3156745000, 'avg_buy_price': None, 'avg_sell_price': 3595, 'category': 'Bandar'}, {'broker': 'KI', 'net_lot': 7871, 'net_value': 2854664000, 'avg_buy_price': None, 'avg_sell_price': 3627, 'category': 'Bandar'}, {'broker': 'GR', 'net_lot': 4070, 'net_value': 1465352000, 'avg_buy_price': None, 'avg_sell_price': 3600, 'category': 'Bandar'}]"
LPCK,"1. NI: 5,404 lot (441.39M) [Bandar] | Avg Buy: 817
2. AO: 4,800 lot (389.28M) [Bandar] | Avg Buy: 811
3. DH: 3,776 lot (308.12M) [Bandar] | Avg Buy: 816
4. EP: 3,026 lot (239.66M) [Mix] | Avg Buy: 792
5. YB: 1,858 lot (155.77M) [Retail] | Avg Buy: 838","1. OD: 7,368 lot (588.77M) [Bandar] | Avg Sell: 799
2. XL: 4,164 lot (340.52M) [Retail] | Avg Sell: 818
3. FS: 2,990 lot (238.30M) [Bandar] | Avg Sell: 797
4. CC: 2,638 lot (215.26M) [Mix] | Avg Sell: 816
5. IF: 2,145 lot (173.49M) [Mix] | Avg Sell: 809",-441,"Buyer: Bandar 74%, Seller: Bandar 54% | Avg Buy Price: 815 | Avg Sell Price: 808",814.8,,,807.8,"[{'broker': 'NI', 'net_lot': 5404, 'net_value': 441393600, 'avg_buy_price': 817, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'AO', 'net_lot': 4800, 'net_value': 389280000, 'avg_buy_price': 811, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'DH', 'net_lot': 3776, 'net_value': 308121600, 'avg_buy_price': 816, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'EP', 'net_lot': 3026, 'net_value': 239659200, 'avg_buy_price': 792, 'avg_sell_price': None, 'category': 'Mix'}, {'broker': 'YB', 'net_lot': 1858, 'net_value': 155768000, 'avg_buy_price': 838, 'avg_sell_price': None, 'category': 'Retail'}]","[{'broker': 'OD', 'net_lot': 7368, 'net_value': 588770700, 'avg_buy_price': None, 'avg_sell_price': 799, 'category': 'Bandar'}, {'broker': 'XL', 'net_lot': 4164, 'net_value': 340515400, 'avg_buy_price': None, 'avg_sell_price': 818, 'category': 'Retail'}, {'broker': 'FS', 'net_lot': 2990, 'net_value': 238303000, 'avg_buy_price': None, 'avg_sell_price': 797, 'category': 'Bandar'}, {'broker': 'CC', 'net_lot': 2638, 'net_value': 215260800, 'avg_buy_price': None, 'avg_sell_price': 816, 'category': 'Mix'}, {'broker': 'IF', 'net_lot': 2145, 'net_value': 173492000, 'avg_buy_price': None, 'avg_sell_price': 809, 'category': 'Mix'}]"
LPPF,"1. XL: 7,629 lot (1.41B) [Retail] | Avg Buy: 1,846 | Avg Sell: 1,848
2. GR: 3,498 lot (646.71M) [Bandar] | Avg Buy: 1,849
3. XC: 3,387 lot (622.62M) [Retail] | Avg Buy: 1,838
4. KI: 2,480 lot (453.97M) [Bandar] | Avg Buy: 1,831
5. YP: 1,260 lot (232.72M) [Mix] | Avg Buy: 1,847","1. ZP: 15,037 lot (2.76B) [Bandar] | Avg Sell: 1,835
2. LG: 1,603 lot (296.19M) [Bandar] | Avg Sell: 1,848
3. IF: 1,408 lot (256.26M) [Mix] | Avg Sell: 1,820
4. PD: 1,130 lot (208.34M) [Mix] | Avg Buy: 1,836 | Avg Sell: 1,842
5. SQ: 671 lot (124.24M) [Bandar] | Avg Sell: 1,852",-1595,"Buyer: Retail 60%, Seller: Bandar 87% | Avg Buy Price: 1,842 | Avg Sell Price: 1,839",1842.2,1848.0,1836.0,1839.4,"[{'broker': 'XL', 'net_lot': 7629, 'net_value': 1408138400, 'avg_buy_price': 1846, 'avg_sell_price': 1848, 'category': 'Retail'}, {'broker': 'GR', 'net_lot': 3498, 'net_value': 646711400, 'avg_buy_price': 1849, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'XC', 'net_lot': 3387, 'net_value': 622622400, 'avg_buy_price': 1838, 'avg_sell_price': None, 'category': 'Retail'}, {'broker': 'KI', 'net_lot': 2480, 'net_value': 453974400, 'avg_buy_price': 1831, 'avg_sell_price': None, 'category': 'Bandar'}, {'broker': 'YP', 'net_lot': 1260, 'net_value': 232722000, 'avg_buy_price': 1847, 'avg_sell_price': None, 'category': 'Mix'}]","[{'broker': 'ZP', 'net_lot': 15037, 'net_value': 2759837100, 'avg_buy_price': None, 'avg_sell_price': 1835, 'category': 'Bandar'}, {'broker': 'LG', 'net_lot': 1603, 'net_value': 296193300, 'avg_buy_price': None, 'avg_sell_price': 1848, 'category': 'Bandar'}, {'broker': 'IF', 'net_lot': 1408, 'net_value': 256256000, 'avg_buy_price': None, 'avg_sell_price': 1820, 'category': 'Mix'}, {'broker': 'PD', 'net_lot': 1130, 'net_value': 208342200, 'avg_buy_price': 1836, 'avg_sell_price': 1842, 'category': 'Mix'}, {'broker': 'SQ', 'net_lot': 671, 'net_value': 124240100, 'avg_buy_price': None, 'avg_sell_price': 1852, 'category': 'Bandar'}]"
