stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
AKRA,"1. XL: 19,731 lot (2.54B) [Retail] | Avg Buy: 1,287
2. DR: 14,503 lot (1.85B) [Retail] | Avg Buy: 1,278
3. YP: 14,018 lot (1.80B) [Mix] | Avg Buy: 1,286
4. LG: 8,108 lot (1.03B) [Bandar] | Avg Buy: 1,266
5. MG: 5,200 lot (661.44M) [Mix] | Avg Buy: 1,272","1. CC: 38,122 lot (4.85B) [Mix] | Avg Sell: 1,273
2. RX: 28,087 lot (3.58B) [Bandar] | Avg Sell: 1,276
3. PD: 16,669 lot (2.13B) [Mix] | Avg Sell: 1,275
4. AK: 14,094 lot (1.80B) [Bandar] | Avg Sell: 1,277
5. IF: 5,527 lot (708.01M) [Mix] | Avg Sell: 1,281",-40939,"Buyer: Retail 56%, Seller: Mix 59% | Avg Buy Price: 1,278 | Avg Sell Price: 1,276",1277.8,,,1276.4
ALKA,"1. XL: 785 lot (44.35M) [Retail] | Avg Buy: 565
2. CC: 643 lot (37.23M) [Mix] | Avg Buy: 579","1. MG: 625 lot (35.00M) [Mix] | Avg Sell: 560
2. YB: 491 lot (27.89M) [Retail] | Avg Sell: 568",312,"Buyer: Retail 55%, Seller: Mix 56% | Avg Buy Price: 572 | Avg Sell Price: 564",572.0,,,564.0
ASJT,"1. XL: 1,277 lot (25.67M) [Retail] | Avg Buy: 201",1. CC: 927 lot (18.54M) [Mix] | Avg Sell: 200,350,"Buyer: Retail 100%, Seller: Mix 100% | Avg Buy Price: 201 | Avg Sell Price: 200",201.0,,,200.0
BBNI,"1. AK: 70,440 lot (31.70B) [Bandar] | Avg Buy: 4,500
2. NI: 39,429 lot (17.74B) [Bandar] | Avg Buy: 4,499
3. OD: 19,824 lot (8.92B) [Bandar] | Avg Buy: 4,502
4. XL: 16,208 lot (7.29B) [Retail] | Avg Buy: 4,498
5. RX: 14,950 lot (6.73B) [Bandar] | Avg Buy: 4,503","1. SS: 89,758 lot (40.40B) [Bandar] | Avg Sell: 4,501
2. CC: 64,541 lot (29.01B) [Mix] | Avg Sell: 4,495
3. ZP: 30,882 lot (13.90B) [Bandar] | Avg Sell: 4,502
4. YU: 27,253 lot (12.26B) [Bandar] | Avg Sell: 4,497
5. AZ: 8,763 lot (3.94B) [Retail] | Avg Sell: 4,495",-60346,"Buyer: Bandar 90%, Seller: Bandar 67% | Avg Buy Price: 4,500 | Avg Sell Price: 4,498",4500.4,,,4498.0
BJBR,"1. NI: 1,868 lot (153.18M) [Bandar] | Avg Buy: 820
2. XC: 1,794 lot (147.11M) [Retail] | Avg Buy: 820
3. ZP: 1,352 lot (111.27M) [Bandar] | Avg Buy: 823
4. AG: 1,209 lot (99.14M) [Bandar] | Avg Buy: 820
5. OD: 1,181 lot (96.84M) [Bandar] | Avg Buy: 820","1. CC: 4,649 lot (381.68M) [Mix] | Avg Sell: 821
2. BB: 1,733 lot (142.28M) [Mix] | Avg Sell: 821
3. AK: 1,047 lot (85.85M) [Bandar] | Avg Sell: 820
4. YP: 859 lot (70.52M) [Mix] | Avg Sell: 821
5. CD: 558 lot (45.76M) [Bandar] | Avg Sell: 820",-1442,"Buyer: Bandar 76%, Seller: Mix 82% | Avg Buy Price: 821 | Avg Sell Price: 821",820.6,,,820.6
BMRI,"1. RX: 519,945 lot (271.05B) [Bandar] | Avg Buy: 5,213
2. AK: 283,076 lot (147.11B) [Bandar] | Avg Buy: 5,197
3. ZP: 221,701 lot (114.82B) [Bandar] | Avg Buy: 5,179
4. BK: 99,868 lot (51.54B) [Bandar] | Avg Buy: 5,161
5. YU: 96,388 lot (50.15B) [Bandar] | Avg Buy: 5,203","1. XL: 184,115 lot (95.33B) [Retail] | Avg Sell: 5,178
2. TP: 148,606 lot (77.02B) [Bandar] | Avg Sell: 5,183
3. CC: 114,656 lot (59.51B) [Mix] | Avg Sell: 5,190
4. PD: 112,699 lot (58.30B) [Mix] | Avg Sell: 5,173
5. YP: 98,105 lot (51.05B) [Mix] | Avg Sell: 5,204",562797,"Buyer: Bandar 100%, Seller: Mix 49% | Avg Buy Price: 5,191 | Avg Sell Price: 5,186",5190.6,,,5185.6
ECII,"1. PD: 5,928 lot (156.50M) [Mix] | Avg Buy: 264
2. XL: 1,536 lot (40.24M) [Retail] | Avg Buy: 262
3. YB: 1,109 lot (28.94M) [Retail] | Avg Buy: 261
4. IU: 1,000 lot (26.40M) [Bandar] | Avg Buy: 264","1. YP: 2,977 lot (78.59M) [Mix] | Avg Sell: 264
2. EP: 2,095 lot (55.94M) [Mix] | Avg Sell: 267
3. AK: 1,322 lot (34.77M) [Bandar] | Avg Sell: 263
4. SQ: 1,003 lot (26.08M) [Bandar] | Avg Sell: 260
5. KK: 853 lot (22.01M) [Bandar] | Avg Sell: 258",1323,"Buyer: Mix 62%, Seller: Mix 61% | Avg Buy Price: 263 | Avg Sell Price: 262",262.75,,,262.4
ELSA,"1. CC: 136,669 lot (10.44B) [Mix] | Avg Buy: 764
2. BS: 102,021 lot (7.99B) [Mix] | Avg Buy: 783
3. BK: 39,839 lot (3.04B) [Bandar] | Avg Buy: 762
4. CP: 37,316 lot (2.91B) [Mix] | Avg Buy: 781
5. KK: 30,758 lot (2.41B) [Bandar] | Avg Buy: 783","1. GR: 149,256 lot (11.72B) [Bandar] | Avg Sell: 785
2. ZP: 150,016 lot (11.52B) [Bandar] | Avg Sell: 768
3. XL: 53,777 lot (4.15B) [Retail] | Avg Sell: 772
4. XC: 20,478 lot (1.58B) [Retail] | Avg Sell: 772
5. OD: 13,797 lot (1.07B) [Bandar] | Avg Sell: 773",-40721,"Buyer: Mix 80%, Seller: Bandar 81% | Avg Buy Price: 775 | Avg Sell Price: 774",774.6,,,774.0
ESTI,"1. CC: 11,543 lot (255.10M) [Mix] | Avg Buy: 221
2. NI: 8,062 lot (177.36M) [Bandar] | Avg Buy: 220
3. AK: 6,562 lot (145.02M) [Bandar] | Avg Buy: 221
4. PD: 3,328 lot (72.88M) [Mix] | Avg Buy: 219
5. DH: 3,045 lot (67.60M) [Bandar] | Avg Buy: 222","1. XL: 21,461 lot (472.14M) [Retail] | Avg Sell: 220
2. XC: 5,566 lot (123.01M) [Retail] | Avg Sell: 221
3. OD: 2,527 lot (55.85M) [Bandar] | Avg Sell: 221
4. YP: 2,425 lot (53.84M) [Mix] | Avg Sell: 222
5. AI: 1,460 lot (32.70M) [Bandar] | Avg Sell: 224",-899,"Buyer: Bandar 54%, Seller: Retail 81% | Avg Buy Price: 221 | Avg Sell Price: 222",220.6,,,221.6
INDY,"1. BK: 53,971 lot (20.19B) [Bandar] | Avg Buy: 3,740
2. CC: 23,424 lot (8.73B) [Mix] | Avg Buy: 3,725
3. AK: 15,830 lot (5.86B) [Bandar] | Avg Buy: 3,704
4. MG: 13,744 lot (5.17B) [Mix] | Avg Buy: 3,764
5. CP: 6,461 lot (2.42B) [Mix] | Avg Buy: 3,749","1. ZP: 35,427 lot (12.93B) [Bandar] | Avg Sell: 3,651
2. NI: 18,313 lot (6.76B) [Bandar] | Avg Sell: 3,692
3. BS: 16,887 lot (6.37B) [Mix] | Avg Sell: 3,774
4. PD: 14,725 lot (5.53B) [Mix] | Avg Sell: 3,754
5. YJ: 12,748 lot (4.78B) [Retail] | Avg Sell: 3,753",15330,"Buyer: Bandar 62%, Seller: Bandar 55% | Avg Buy Price: 3,736 | Avg Sell Price: 3,725",3736.4,,,3724.8
