stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ADRO,"1. DX: 135,100 lot (31.06B) [Bandar] | Avg Buy: 2,299
2. ZP: 83,349 lot (19.47B) [Bandar] | Avg Buy: 2,336
3. LG: 82,395 lot (19.20B) [Bandar] | Avg Buy: 2,330
4. BK: 27,654 lot (6.52B) [Bandar] | Avg Buy: 2,332 | Avg Sell: 2,318
5. YP: 11,366 lot (2.58B) [Mix] | Avg Buy: 2,324 | Avg Sell: 2,340","1. AK: 80,448 lot (18.72B) [Bandar] | Avg Sell: 2,327
2. YU: 56,001 lot (13.08B) [Bandar] | Avg Buy: 2,332 | Avg Sell: 2,335
3. XL: 31,060 lot (7.27B) [Retail] | Avg Buy: 2,317 | Avg Sell: 2,331
4. BB: 30,932 lot (7.13B) [Mix] | Avg Buy: 2,336 | Avg Sell: 2,310
5. CC: 28,415 lot (6.65B) [Mix] | Avg Sell: 2,341",113008,"Buyer: Bandar 97%, Seller: Bandar 60% | Avg Buy Price: 2,324 | Avg Sell Price: 2,329",2324.2,2329.0,2328.3333333333335,2328.8
ALKA,"1. CC: 968 lot (59.14M) [Mix] | Avg Buy: 611
2. YP: 826 lot (51.62M) [Mix] | Avg Buy: 625","1. XL: 1,798 lot (113.09M) [Retail] | Avg Sell: 629
2. CD: 1,042 lot (65.33M) [Bandar] | Avg Sell: 627
3. MG: 204 lot (11.36M) [Mix] | Avg Sell: 557
4. EP: 54 lot (3.23M) [Mix] | Avg Sell: 598",-1304,"Buyer: Mix 100%, Seller: Retail 58% | Avg Buy Price: 618 | Avg Sell Price: 603",618.0,,,602.75
ANTM,"1. AK: 67,321 lot (28.93B) [Bandar] | Avg Buy: 4,331 | Avg Sell: 4,364
2. BB: 60,495 lot (26.31B) [Mix] | Avg Buy: 4,349
3. DX: 41,950 lot (18.16B) [Bandar] | Avg Buy: 4,330
4. CC: 35,873 lot (15.54B) [Mix] | Avg Buy: 4,331
5. YU: 32,345 lot (13.99B) [Bandar] | Avg Buy: 4,326","1. NI: 147,243 lot (63.77B) [Bandar] | Avg Sell: 4,331
2. BK: 120,251 lot (52.09B) [Bandar] | Avg Sell: 4,332
3. LG: 25,450 lot (11.07B) [Bandar] | Avg Sell: 4,351
4. GR: 14,102 lot (6.11B) [Bandar] | Avg Sell: 4,331
5. EP: 12,287 lot (5.34B) [Mix] | Avg Sell: 4,343",-81349,"Buyer: Bandar 60%, Seller: Bandar 96% | Avg Buy Price: 4,333 | Avg Sell Price: 4,338",4333.4,4364.0,,4337.6
BINA,"1. KK: 205 lot (92.72M) [Bandar] | Avg Buy: 4,523
2. RS: 105 lot (48.66M) [Bandar] | Avg Buy: 4,634
3. CP: 73 lot (33.56M) [Mix] | Avg Buy: 4,597
4. XL: 43 lot (19.84M) [Retail] | Avg Buy: 4,614
5. YP: 31 lot (14.33M) [Mix] | Avg Buy: 4,622","1. LG: 500 lot (227.65M) [Bandar] | Avg Sell: 4,553
2. RF: 4 lot (1.86M) [Bandar] | Avg Sell: 4,650",-47,"Buyer: Bandar 68%, Seller: Bandar 100% | Avg Buy Price: 4,598 | Avg Sell Price: 4,602",4598.0,,,4601.5
BNII,"1. YP: 24,461 lot (552.09M) [Mix] | Avg Buy: 226
2. XL: 15,536 lot (350.16M) [Retail] | Avg Buy: 225
3. AI: 10,558 lot (237.48M) [Bandar] | Avg Buy: 225
4. PD: 4,255 lot (96.16M) [Mix] | Avg Buy: 226
5. LS: 2,511 lot (56.25M) [Retail] | Avg Buy: 224","1. SQ: 25,574 lot (576.31M) [Bandar] | Avg Sell: 225
2. CC: 7,183 lot (163.47M) [Mix] | Avg Sell: 228
3. NI: 4,464 lot (99.61M) [Bandar] | Avg Sell: 223
4. AZ: 4,207 lot (96.34M) [Retail] | Avg Sell: 229
5. IU: 3,934 lot (90.48M) [Bandar] | Avg Sell: 230",11959,"Buyer: Mix 50%, Seller: Bandar 75% | Avg Buy Price: 225 | Avg Sell Price: 227",225.2,,,227.0
BULL,"1. PD: 561,652 lot (29.02B) [Mix] | Avg Buy: 517
2. XL: 475,124 lot (23.14B) [Retail] | Avg Buy: 491 | Avg Sell: 552
3. CC: 322,526 lot (16.87B) [Mix] | Avg Buy: 523
4. YU: 241,364 lot (12.68B) [Bandar] | Avg Buy: 525
5. BQ: 231,189 lot (12.29B) [Bandar] | Avg Buy: 532","1. DH: 593,528 lot (33.52B) [Bandar] | Avg Buy: 494 | Avg Sell: 563
2. YJ: 549,380 lot (30.67B) [Retail] | Avg Buy: 492 | Avg Sell: 556
3. HD: 244,715 lot (14.24B) [Bandar] | Avg Buy: 502 | Avg Sell: 577
4. BB: 236,500 lot (11.87B) [Mix] | Avg Sell: 502
5. LG: 259,514 lot (11.64B) [Bandar] | Avg Buy: 558 | Avg Sell: 491",-51782,"Buyer: Mix 48%, Seller: Bandar 58% | Avg Buy Price: 518 | Avg Sell Price: 538",517.6,552.0,511.5,537.8
CLPI,"1. SS: 1,448 lot (231.97M) [Bandar] | Avg Buy: 1,602
2. XL: 358 lot (57.28M) [Retail] | Avg Buy: 1,600","1. YP: 834 lot (133.21M) [Mix] | Avg Sell: 1,597
2. GR: 263 lot (42.10M) [Bandar] | Avg Sell: 1,601
3. CC: 224 lot (35.88M) [Mix] | Avg Sell: 1,602
4. YB: 200 lot (32.12M) [Retail] | Avg Sell: 1,606
5. YU: 58 lot (9.34M) [Bandar] | Avg Sell: 1,610",227,"Buyer: Bandar 80%, Seller: Mix 67% | Avg Buy Price: 1,601 | Avg Sell Price: 1,603",1601.0,,,1603.2
ENRG,"1. IF: 590,095 lot (97.71B) [Mix] | Avg Buy: 1,656
2. AK: 214,929 lot (36.73B) [Bandar] | Avg Buy: 1,709
3. YU: 179,140 lot (28.41B) [Bandar] | Avg Buy: 1,594 | Avg Sell: 1,690
4. PD: 107,597 lot (17.51B) [Mix] | Avg Buy: 1,627
5. MU: 107,719 lot (16.73B) [Bandar] | Avg Buy: 1,554 | Avg Sell: 1,675","1. RX: 187,306 lot (31.80B) [Bandar] | Avg Sell: 1,698
2. XL: 183,730 lot (30.54B) [Retail] | Avg Sell: 1,662
3. OD: 147,228 lot (23.11B) [Bandar] | Avg Sell: 1,570
4. II: 120,900 lot (19.21B) [Mix] | Avg Sell: 1,589
5. BB: 104,959 lot (18.25B) [Mix] | Avg Sell: 1,738",455357,"Buyer: Mix 58%, Seller: Bandar 45% | Avg Buy Price: 1,628 | Avg Sell Price: 1,651",1628.0,1682.5,,1651.4
IKBI,"1. XL: 4,899 lot (291.49M) [Retail] | Avg Buy: 595","1. CC: 2,575 lot (153.23M) [Mix] | Avg Sell: 595
2. KK: 2,487 lot (147.98M) [Bandar] | Avg Sell: 595
3. PD: 316 lot (18.80M) [Mix] | Avg Sell: 595",-479,"Buyer: Retail 100%, Seller: Mix 54% | Avg Buy Price: 595 | Avg Sell Price: 595",595.0,,,595.0
INDY,"1. CC: 32,308 lot (11.73B) [Mix] | Avg Buy: 3,630
2. BK: 21,967 lot (7.75B) [Bandar] | Avg Buy: 3,528
3. NI: 13,984 lot (5.00B) [Bandar] | Avg Buy: 3,573
4. AK: 13,259 lot (4.68B) [Bandar] | Avg Buy: 3,532
5. BQ: 7,561 lot (2.72B) [Bandar] | Avg Buy: 3,593","1. IF: 30,584 lot (10.59B) [Mix] | Avg Buy: 3,606 | Avg Sell: 3,479
2. XL: 19,484 lot (6.92B) [Retail] | Avg Sell: 3,550
3. LG: 19,708 lot (6.70B) [Bandar] | Avg Buy: 3,617 | Avg Sell: 3,482
4. MG: 11,246 lot (3.94B) [Mix] | Avg Buy: 3,529 | Avg Sell: 3,508
5. KK: 9,034 lot (3.23B) [Bandar] | Avg Sell: 3,579",-977,"Buyer: Bandar 64%, Seller: Mix 46% | Avg Buy Price: 3,571 | Avg Sell Price: 3,520",3571.2,,3584.0,3519.6
INKP,"1. PD: 82,033 lot (95.87B) [Mix] | Avg Buy: 11,687
2. LG: 55,010 lot (66.80B) [Bandar] | Avg Buy: 12,118 | Avg Sell: 11,571
3. AK: 35,825 lot (43.02B) [Bandar] | Avg Buy: 12,009
4. RF: 11,197 lot (13.56B) [Bandar] | Avg Buy: 12,112
5. YP: 11,027 lot (13.53B) [Mix] | Avg Buy: 12,257 | Avg Sell: 11,578","1. DP: 191,462 lot (228.24B) [Bandar] | Avg Sell: 11,921
2. CC: 10,562 lot (12.55B) [Mix] | Avg Sell: 11,878
3. YJ: 6,445 lot (7.60B) [Retail] | Avg Sell: 11,795
4. XL: 5,534 lot (6.57B) [Retail] | Avg Sell: 11,878
5. DR: 3,646 lot (4.33B) [Retail] | Avg Sell: 11,880",-22557,"Buyer: Bandar 52%, Seller: Bandar 88% | Avg Buy Price: 12,037 | Avg Sell Price: 11,870",12036.6,11574.5,,11870.4
ITMG,"1. AK: 9,430 lot (21.26B) [Bandar] | Avg Buy: 22,548
2. ZP: 3,368 lot (7.60B) [Bandar] | Avg Buy: 22,551
3. BB: 2,460 lot (5.56B) [Mix] | Avg Buy: 22,584
4. NI: 2,013 lot (4.54B) [Bandar] | Avg Buy: 22,575 | Avg Sell: 22,558
5. YU: 1,392 lot (3.15B) [Bandar] | Avg Buy: 22,612","1. LG: 4,926 lot (11.10B) [Bandar] | Avg Sell: 22,530
2. XL: 3,348 lot (7.55B) [Retail] | Avg Sell: 22,555
3. DX: 2,296 lot (5.17B) [Bandar] | Avg Sell: 22,501
4. BQ: 1,777 lot (4.02B) [Bandar] | Avg Sell: 22,595
5. PD: 1,665 lot (3.75B) [Mix] | Avg Sell: 22,545",4651,"Buyer: Bandar 87%, Seller: Bandar 64% | Avg Buy Price: 22,574 | Avg Sell Price: 22,545",22574.0,22558.0,,22545.2
JTPE,"1. AG: 7,190 lot (422.30M) [Bandar] | Avg Buy: 587
2. PD: 3,753 lot (221.76M) [Mix] | Avg Buy: 591
3. AZ: 3,256 lot (190.42M) [Retail] | Avg Buy: 589 | Avg Sell: 597
4. PC: 2,361 lot (139.35M) [Bandar] | Avg Buy: 590
5. SF: 1,996 lot (118.08M) [Bandar] | Avg Buy: 592","1. CC: 10,596 lot (625.92M) [Mix] | Avg Sell: 591
2. AK: 7,914 lot (466.39M) [Bandar] | Avg Sell: 589
3. IN: 4,250 lot (253.16M) [Bandar] | Avg Sell: 596
4. DU: 1,590 lot (93.78M) [Bandar] | Avg Sell: 590
5. SA: 1,460 lot (85.47M) [Bandar] | Avg Sell: 585",-7254,"Buyer: Bandar 62%, Seller: Bandar 59% | Avg Buy Price: 590 | Avg Sell Price: 590",589.8,597.0,,590.2
LPCK,"1. PD: 5,127 lot (418.26M) [Mix] | Avg Buy: 816 | Avg Sell: 818
2. IF: 2,205 lot (180.43M) [Mix] | Avg Buy: 818
3. CC: 2,035 lot (164.22M) [Mix] | Avg Buy: 807
4. DR: 1,382 lot (113.85M) [Retail] | Avg Buy: 820 | Avg Sell: 803
5. AZ: 913 lot (73.13M) [Retail] | Avg Buy: 801","1. XL: 3,470 lot (277.60M) [Retail] | Avg Sell: 800
2. YB: 3,002 lot (246.16M) [Retail] | Avg Sell: 820
3. SQ: 2,479 lot (202.88M) [Bandar] | Avg Sell: 818
4. KK: 1,248 lot (101.97M) [Bandar] | Avg Buy: 811 | Avg Sell: 816
5. TP: 798 lot (65.44M) [Bandar] | Avg Sell: 820",665,"Buyer: Mix 80%, Seller: Retail 59% | Avg Buy Price: 812 | Avg Sell Price: 815",812.4,810.5,811.0,814.8
LPPF,"1. XL: 6,252 lot (1.20B) [Retail] | Avg Buy: 1,912
2. YP: 5,577 lot (1.07B) [Mix] | Avg Buy: 1,915
3. PD: 1,862 lot (355.64M) [Mix] | Avg Buy: 1,910
4. NI: 1,616 lot (308.82M) [Bandar] | Avg Buy: 1,911
5. LG: 516 lot (98.30M) [Bandar] | Avg Buy: 1,905","1. BB: 3,247 lot (620.50M) [Mix] | Avg Sell: 1,911
2. SQ: 2,774 lot (530.39M) [Bandar] | Avg Buy: 1,912 | Avg Sell: 1,912
3. YU: 2,710 lot (518.13M) [Bandar] | Avg Sell: 1,912
4. CC: 2,245 lot (428.92M) [Mix] | Avg Sell: 1,911
5. BK: 2,067 lot (395.25M) [Bandar] | Avg Sell: 1,912",2780,"Buyer: Mix 47%, Seller: Bandar 58% | Avg Buy Price: 1,911 | Avg Sell Price: 1,912",1910.6,,1912.0,1911.6
MEDC,"1. ZP: 244,178 lot (41.96B) [Bandar] | Avg Buy: 1,717 | Avg Sell: 1,675
2. PD: 125,517 lot (21.11B) [Mix] | Avg Buy: 1,681 | Avg Sell: 1,660
3. GR: 41,516 lot (6.91B) [Bandar] | Avg Buy: 1,665 | Avg Sell: 1,662
4. MG: 32,910 lot (5.59B) [Mix] | Avg Buy: 1,699
5. KZ: 32,124 lot (5.42B) [Mix] | Avg Buy: 1,687","1. YU: 133,615 lot (22.16B) [Bandar] | Avg Buy: 1,672 | Avg Sell: 1,663
2. CC: 113,813 lot (19.22B) [Mix] | Avg Sell: 1,688
3. AG: 87,650 lot (14.97B) [Bandar] | Avg Sell: 1,708
4. BK: 83,072 lot (14.23B) [Bandar] | Avg Sell: 1,713
5. NI: 53,905 lot (9.19B) [Bandar] | Avg Buy: 1,679 | Avg Sell: 1,701",4190,"Buyer: Bandar 60%, Seller: Bandar 76% | Avg Buy Price: 1,690 | Avg Sell Price: 1,695",1689.8,1665.6666666666667,1675.5,1694.6
MTFN,"1. HD: 885,783 lot (2.71B) [Bandar] | Avg Buy: 31
2. BQ: 336,536 lot (1.04B) [Bandar] | Avg Buy: 31
3. MG: 269,326 lot (808.60M) [Mix] | Avg Buy: 30
4. GR: 119,074 lot (368.80M) [Bandar] | Avg Buy: 31
5. CP: 79,449 lot (232.74M) [Mix] | Avg Buy: 30 | Avg Sell: 32","1. XL: 699,773 lot (2.05B) [Retail] | Avg Sell: 29
2. CC: 207,466 lot (646.70M) [Mix] | Avg Sell: 31
3. EP: 156,973 lot (470.92M) [Mix] | Avg Sell: 30
4. YP: 114,491 lot (354.60M) [Mix] | Avg Sell: 31
5. XC: 114,284 lot (352.24M) [Retail] | Avg Sell: 31",397181,"Buyer: Bandar 79%, Seller: Retail 63% | Avg Buy Price: 31 | Avg Sell Price: 30",30.6,32.0,,30.4
PTBA,"1. NI: 13,717 lot (3.59B) [Bandar] | Avg Buy: 2,613 | Avg Sell: 2,602
2. SQ: 11,074 lot (2.87B) [Bandar] | Avg Buy: 2,596
3. XL: 7,581 lot (1.98B) [Retail] | Avg Buy: 2,605 | Avg Sell: 2,596
4. IF: 4,147 lot (1.08B) [Mix] | Avg Buy: 2,609
5. XA: 3,798 lot (987.71M) [Bandar] | Avg Buy: 2,601","1. YP: 19,425 lot (5.06B) [Mix] | Avg Sell: 2,605
2. BK: 9,437 lot (2.46B) [Bandar] | Avg Buy: 2,600 | Avg Sell: 2,603
3. ZP: 8,476 lot (2.20B) [Bandar] | Avg Buy: 2,605 | Avg Sell: 2,600
4. DH: 7,051 lot (1.83B) [Bandar] | Avg Buy: 2,591 | Avg Sell: 2,593
5. AK: 1,737 lot (450.85M) [Bandar] | Avg Sell: 2,596",-5809,"Buyer: Bandar 71%, Seller: Bandar 58% | Avg Buy Price: 2,605 | Avg Sell Price: 2,599",2604.8,2599.0,2598.6666666666665,2599.4
SOCI,"1. YU: 108,508 lot (7.22B) [Bandar] | Avg Buy: 665
2. AK: 57,615 lot (3.85B) [Bandar] | Avg Buy: 667
3. BQ: 36,233 lot (2.43B) [Bandar] | Avg Buy: 672
4. BK: 27,796 lot (1.85B) [Bandar] | Avg Buy: 666
5. CC: 15,040 lot (984.91M) [Mix] | Avg Buy: 664 | Avg Sell: 671","1. SQ: 32,724 lot (2.20B) [Bandar] | Avg Sell: 671
2. AZ: 29,900 lot (2.03B) [Retail] | Avg Buy: 662 | Avg Sell: 677
3. XA: 26,901 lot (1.80B) [Bandar] | Avg Sell: 668
4. NI: 21,130 lot (1.42B) [Bandar] | Avg Sell: 673
5. YP: 18,223 lot (1.22B) [Mix] | Avg Sell: 670",116314,"Buyer: Bandar 94%, Seller: Bandar 63% | Avg Buy Price: 667 | Avg Sell Price: 672",666.8,671.0,662.0,671.8
