stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
TAPG,"1. YU: 159,546 lot (27.89B) [Bandar] | Avg Buy: 1,748
2. LG: 99,138 lot (17.20B) [Bandar] | Avg Buy: 1,735
3. ZP: 35,666 lot (6.18B) [Bandar] | Avg Buy: 1,732
4. BB: 22,499 lot (3.88B) [Mix] | Avg Buy: 1,725
5. OD: 7,996 lot (1.39B) [Bandar] | Avg Buy: 1,737","1. AK: 75,900 lot (13.26B) [Bandar] | Avg Sell: 1,747
2. XL: 45,168 lot (7.82B) [Retail] | Avg Sell: 1,732
3. CC: 32,788 lot (5.69B) [Mix] | Avg Sell: 1,734
4. SQ: 30,660 lot (5.29B) [Bandar] | Avg Sell: 1,727
5. XC: 23,737 lot (4.10B) [Retail] | Avg Sell: 1,726",116592,"Buyer: Bandar 93%, Seller: Bandar 51% | Avg Buy Price: 1,735 | Avg Sell Price: 1,733",1735.4,,,1733.2
ABMM,"1. XL: 3,383 lot (1.01B) [Retail] | Avg Buy: 2,976
2. PD: 1,976 lot (581.93M) [Mix] | Avg Buy: 2,945
3. SQ: 1,707 lot (505.27M) [Bandar] | Avg Buy: 2,960
4. YP: 1,683 lot (491.77M) [Mix] | Avg Buy: 2,922
5. YU: 1,031 lot (301.36M) [Bandar] | Avg Buy: 2,923","1. CC: 5,531 lot (1.63B) [Mix] | Avg Sell: 2,951
2. ZP: 960 lot (288.00M) [Bandar] | Avg Sell: 3,000
3. CP: 945 lot (274.90M) [Mix] | Avg Sell: 2,909
4. OD: 918 lot (269.25M) [Bandar] | Avg Sell: 2,933
5. DR: 813 lot (240.49M) [Retail] | Avg Sell: 2,958",613,"Buyer: Mix 37%, Seller: Mix 71% | Avg Buy Price: 2,945 | Avg Sell Price: 2,950",2945.2,,,2950.2
BAYU,"1. PD: 3,437 lot (471.90M) [Mix] | Avg Buy: 1,373
2. YB: 30 lot (4.16M) [Retail] | Avg Buy: 1,385","1. XL: 1,127 lot (154.85M) [Retail] | Avg Sell: 1,374
2. CC: 931 lot (126.99M) [Mix] | Avg Sell: 1,364
3. DH: 674 lot (93.82M) [Bandar] | Avg Sell: 1,392
4. YP: 546 lot (75.18M) [Mix] | Avg Sell: 1,377",189,"Buyer: Mix 99%, Seller: Mix 45% | Avg Buy Price: 1,379 | Avg Sell Price: 1,377",1379.0,,,1376.75
BIPI,"1. XL: 686,911 lot (17.04B) [Retail] | Avg Buy: 248
2. MG: 580,656 lot (14.34B) [Mix] | Avg Buy: 247
3. CC: 333,190 lot (8.23B) [Mix] | Avg Buy: 247
4. DH: 325,281 lot (8.20B) [Bandar] | Avg Buy: 252
5. CP: 255,566 lot (6.26B) [Mix] | Avg Buy: 245","1. YP: 859,190 lot (21.14B) [Mix] | Avg Sell: 246
2. TP: 518,470 lot (12.70B) [Bandar] | Avg Sell: 245
3. LG: 228,483 lot (5.53B) [Bandar] | Avg Sell: 242
4. YU: 197,122 lot (4.95B) [Bandar] | Avg Sell: 251
5. XC: 185,215 lot (4.57B) [Retail] | Avg Sell: 247",193124,"Buyer: Mix 54%, Seller: Bandar 47% | Avg Buy Price: 248 | Avg Sell Price: 246",247.8,,,246.2
BSSR,"1. XL: 2,166 lot (855.79M) [Retail] | Avg Buy: 3,951
2. YP: 1,210 lot (478.31M) [Mix] | Avg Buy: 3,953
3. PD: 663 lot (262.35M) [Mix] | Avg Buy: 3,957
4. AK: 257 lot (101.64M) [Bandar] | Avg Buy: 3,955
5. KI: 157 lot (62.52M) [Bandar] | Avg Buy: 3,982","1. CP: 2,580 lot (1.02B) [Mix] | Avg Sell: 3,949
2. CC: 1,695 lot (671.05M) [Mix] | Avg Sell: 3,959
3. BB: 731 lot (288.16M) [Mix] | Avg Sell: 3,942
4. XC: 278 lot (109.89M) [Retail] | Avg Sell: 3,953
5. XA: 95 lot (37.71M) [Bandar] | Avg Sell: 3,969",-926,"Buyer: Retail 49%, Seller: Mix 93% | Avg Buy Price: 3,960 | Avg Sell Price: 3,954",3959.6,,,3954.4
ELSA,"1. KK: 69,887 lot (6.03B) [Bandar] | Avg Buy: 863
2. GR: 63,178 lot (5.52B) [Bandar] | Avg Buy: 874
3. CC: 51,470 lot (4.48B) [Mix] | Avg Buy: 870
4. PD: 45,211 lot (3.89B) [Mix] | Avg Buy: 860
5. MG: 29,751 lot (2.62B) [Mix] | Avg Buy: 881","1. YB: 173,863 lot (15.02B) [Retail] | Avg Sell: 864
2. SS: 41,000 lot (3.54B) [Bandar] | Avg Sell: 863
3. SQ: 37,001 lot (3.20B) [Bandar] | Avg Sell: 864
4. DX: 23,917 lot (2.04B) [Bandar] | Avg Sell: 854
5. AK: 20,902 lot (1.83B) [Bandar] | Avg Sell: 874",-37186,"Buyer: Bandar 51%, Seller: Retail 59% | Avg Buy Price: 870 | Avg Sell Price: 864",869.6,,,863.8
ESSA,"1. PD: 297,585 lot (23.12B) [Mix] | Avg Buy: 777
2. CC: 295,451 lot (22.75B) [Mix] | Avg Buy: 770
3. XL: 154,464 lot (11.94B) [Retail] | Avg Buy: 773
4. ZP: 113,113 lot (8.70B) [Bandar] | Avg Buy: 769
5. NI: 99,354 lot (7.61B) [Bandar] | Avg Buy: 766","1. DX: 348,566 lot (27.57B) [Bandar] | Avg Sell: 791
2. AK: 301,425 lot (23.30B) [Bandar] | Avg Sell: 773
3. GR: 101,514 lot (7.61B) [Bandar] | Avg Sell: 750
4. YP: 74,325 lot (5.74B) [Mix] | Avg Sell: 772
5. YJ: 72,970 lot (5.63B) [Retail] | Avg Sell: 771",61167,"Buyer: Mix 62%, Seller: Bandar 84% | Avg Buy Price: 771 | Avg Sell Price: 771",771.0,,,771.4
GDYR,"1. DX: 2,000 lot (223.80M) [Bandar] | Avg Buy: 1,119
2. CP: 298 lot (32.78M) [Mix] | Avg Buy: 1,100
3. DR: 250 lot (27.48M) [Retail] | Avg Buy: 1,099","1. PD: 1,151 lot (126.96M) [Mix] | Avg Sell: 1,103
2. XL: 995 lot (110.05M) [Retail] | Avg Sell: 1,106
3. AI: 385 lot (42.47M) [Bandar] | Avg Sell: 1,103
4. CC: 126 lot (13.94M) [Mix] | Avg Sell: 1,106",-109,"Buyer: Bandar 78%, Seller: Mix 48% | Avg Buy Price: 1,106 | Avg Sell Price: 1,104",1106.0,,,1104.5
ICON,"1. XL: 37,901 lot (473.76M) [Retail] | Avg Buy: 125
2. PD: 14,621 lot (181.30M) [Mix] | Avg Buy: 124
3. YP: 9,514 lot (117.97M) [Mix] | Avg Buy: 124
4. BQ: 8,536 lot (103.29M) [Bandar] | Avg Buy: 121
5. XC: 4,172 lot (52.15M) [Retail] | Avg Buy: 125","1. MG: 32,507 lot (396.59M) [Mix] | Avg Sell: 122
2. XA: 21,892 lot (280.22M) [Bandar] | Avg Sell: 128
3. DR: 6,531 lot (83.60M) [Retail] | Avg Sell: 128
4. LG: 4,801 lot (56.65M) [Bandar] | Avg Sell: 118
5. AT: 4,886 lot (55.70M) [Bandar] | Avg Sell: 114",4127,"Buyer: Retail 56%, Seller: Mix 46% | Avg Buy Price: 124 | Avg Sell Price: 122",123.8,,,122.0
INDY,"1. BB: 20,223 lot (7.39B) [Mix] | Avg Buy: 3,655
2. AK: 14,277 lot (5.02B) [Bandar] | Avg Buy: 3,518
3. PD: 10,366 lot (3.76B) [Mix] | Avg Buy: 3,631
4. NI: 6,224 lot (2.24B) [Bandar] | Avg Buy: 3,607
5. YU: 5,316 lot (1.93B) [Bandar] | Avg Buy: 3,623","1. SQ: 10,109 lot (3.64B) [Bandar] | Avg Sell: 3,596
2. XL: 10,258 lot (3.62B) [Retail] | Avg Sell: 3,529
3. CC: 8,632 lot (3.06B) [Mix] | Avg Sell: 3,550
4. MG: 5,912 lot (2.03B) [Mix] | Avg Sell: 3,440
5. GR: 5,117 lot (1.84B) [Bandar] | Avg Sell: 3,604",16378,"Buyer: Mix 54%, Seller: Bandar 38% | Avg Buy Price: 3,607 | Avg Sell Price: 3,544",3606.8,,,3543.8
