stock,top5_buyers,top5_sellers,net_volume,daily_summary
ABMM,"• XL | 2.5k | 715.69mio | Avg: 2.834 | Retail
• KK | 2.0k | 552.00mio | Avg: 2.713 | Bandar
• SQ | 1.7k | 464.06mio | Avg: 2.785 | Bandar
• DH | 904 | 255.83mio | Avg: 2.830 | Bandar
• AK | 361 | 91.17mio | Avg: 2.726 | Bandar","• YP | 1.9k | 515.53mio | Avg: 2.764 | Mix
• NI | 1.5k | 402.99mio | Avg: 2.646 | Bandar
• CC | 1.2k | 341.32mio | Avg: 2.840 | Mix
• PD | 873 | 231.57mio | Avg: 2.730 | Mix
• GR | 615 | 159.11mio | Avg: 2.663 | Bandar",1424,"Buyer: Bandar 66%, Seller: Mix 65%"
AKRA,"• RF | 50.4k | 6.38bio | Avg: 1.266 | Bandar
• YU | 35.4k | 4.47bio | Avg: 1.258 | Bandar
• CD | 21.7k | 2.75bio | Avg: 1.269 | Bandar
• XL | 15.8k | 1.90bio | Avg: 1.199 | Retail
• SQ | 14.2k | 1.69bio | Avg: 1.194 | Bandar","• LG | 71.7k | 9.04bio | Avg: 1.258 | Bandar
• ZP | 66.5k | 8.10bio | Avg: 1.218 | Bandar
• CC | 23.2k | 2.97bio | Avg: 1.261 | Mix
• YB | 11.4k | 1.34bio | Avg: 1.182 | Retail
• BK | 9.5k | 1.16bio | Avg: 1.212 | Bandar",-44698,"Buyer: Bandar 88%, Seller: Bandar 81%"
ANTM,"• KZ | 255.6k | 108.37bio | Avg: 4.240 | Mix
• XL | 136.2k | 56.55bio | Avg: 4.167 | Retail
• AZ | 118.2k | 49.59bio | Avg: 4.194 | Retail
• TP | 99.8k | 42.89bio | Avg: 4.292 | Bandar
• DX | 89.7k | 37.74bio | Avg: 4.206 | Bandar","• ZP | 826.3k | 342.49bio | Avg: 4.167 | Bandar
• AK | 353.4k | 149.13bio | Avg: 4.220 | Bandar
• YP | 96.4k | 40.68bio | Avg: 4.205 | Mix
• EP | 85.2k | 34.29bio | Avg: 4.025 | Mix
• CC | 73.7k | 31.60bio | Avg: 4.215 | Mix",-735380,"Buyer: Mix 37%, Seller: Bandar 82%"
APIC,"• FS | 14.3k | 1.94bio | Avg: 1.361 | Bandar
• BK | 309 | 43.57mio | Avg: 1.410 | Bandar
• YP | 37 | 355.80k | Avg: 1.368 | Mix","• AK | 9.9k | 1.32bio | Avg: 1.365 | Bandar
• ZP | 2.8k | 382.77mio | Avg: 1.344 | Bandar
• CC | 1.4k | 200.63mio | Avg: 1.477 | Mix
• XL | 230 | 35.12mio | Avg: 1.527 | Retail
• PO | 88 | 14.08mio | Avg: 1.600 | Bandar",195,"Buyer: Bandar 100%, Seller: Bandar 89%"
ASDM,"• XL | 1.1k | 60.39mio | Avg: 551 | Retail
• YP | 420 | 27.30mio | Avg: 650 | Mix
• DH | 311 | 16.98mio | Avg: 546 | Bandar","• ZP | 1.5k | 82.00mio | Avg: 547 | Bandar
• YB | 452 | 25.22mio | Avg: 558 | Retail
• PD | 189 | 12.10mio | Avg: 615 | Mix",-313,"Buyer: Retail 60%, Seller: Bandar 70%"
BDMN,"• KK | 16.0k | 4.04bio | Avg: 2.531 | Bandar
• RF | 6.4k | 1.63bio | Avg: 2.541 | Bandar
• YP | 3.1k | 784.61mio | Avg: 2.511 | Mix
• SQ | 3.1k | 784.00mio | Avg: 2.510 | Bandar
• HD | 2.0k | 510.49mio | Avg: 2.511 | Bandar","• YU | 19.9k | 5.11bio | Avg: 2.528 | Bandar
• TP | 5.5k | 1.33bio | Avg: 2.450 | Bandar
• PD | 4.7k | 1.16bio | Avg: 2.458 | Mix
• ZP | 4.0k | 976.20mio | Avg: 2.450 | Bandar
• CC | 2.2k | 542.18mio | Avg: 2.440 | Mix",-5697,"Buyer: Bandar 90%, Seller: Bandar 81%"
BGTG,"• ZP | 118.0k | 1.49bio | Avg: 127 | Bandar
• AZ | 106.2k | 1.29bio | Avg: 124 | Retail
• CC | 70.9k | 916.05mio | Avg: 129 | Mix
• BK | 70.8k | 865.15mio | Avg: 122 | Bandar
• TP | 28.2k | 387.47mio | Avg: 137 | Bandar","• YP | 110.3k | 1.36bio | Avg: 124 | Mix
• PD | 66.2k | 828.38mio | Avg: 126 | Mix
• SQ | 43.1k | 567.14mio | Avg: 132 | Bandar
• LG | 33.7k | 387.97mio | Avg: 116 | Bandar
• DR | 24.7k | 322.90mio | Avg: 131 | Retail",116176,"Buyer: Bandar 55%, Seller: Mix 63%"
BIPI,"• IF | 299.9k | 5.76bio | Avg: 192 | Mix
• YJ | 273.6k | 5.35bio | Avg: 195 | Retail
• CP | 220.2k | 4.31bio | Avg: 196 | Mix
• IN | 200.6k | 3.93bio | Avg: 196 | Bandar
• CC | 89.4k | 1.67bio | Avg: 187 | Mix","• PD | 223.9k | 4.45bio | Avg: 196 | Mix
• LG | 227.6k | 4.37bio | Avg: 192 | Bandar
• AG | 200.6k | 3.93bio | Avg: 196 | Bandar
• AH | 112.0k | 2.20bio | Avg: 196 | Bandar
• SQ | 95.5k | 1.86bio | Avg: 195 | Bandar",224006,"Buyer: Mix 56%, Seller: Bandar 74%"
BKSL,"• IF | 1.2mio | 18.75bio | Avg: 152 | Mix
• YP | 491.0k | 7.78bio | Avg: 158 | Mix
• XL | 378.4k | 6.98bio | Avg: 158 | Retail
• BQ | 429.0k | 5.96bio | Avg: 140 | Bandar
• YB | 304.1k | 4.90bio | Avg: 157 | Retail","• CP | 1.0mio | 15.01bio | Avg: 147 | Mix
• KI | 666.5k | 10.30bio | Avg: 153 | Bandar
• MG | 524.9k | 9.17bio | Avg: 157 | Mix
• CC | 619.0k | 9.15bio | Avg: 148 | Mix
• AK | 372.7k | 5.37bio | Avg: 146 | Bandar",-356500,"Buyer: Mix 61%, Seller: Mix 68%"
BNBA,"• SQ | 3.9k | 370.37mio | Avg: 962 | Bandar
• IF | 2.8k | 232.52mio | Avg: 836 | Mix
• BR | 1.5k | 136.75mio | Avg: 906 | Bandar
• AO | 1.2k | 115.01mio | Avg: 960 | Bandar
• YB | 830 | 80.01mio | Avg: 964 | Retail","• YU | 2.7k | 224.70mio | Avg: 856 | Bandar
• PD | 1.6k | 151.08mio | Avg: 959 | Mix
• XC | 1.3k | 125.81mio | Avg: 959 | Retail
• XL | 1.5k | 125.57mio | Avg: 893 | Retail
• BF | 1.0k | 87.50mio | Avg: 875 | Retail",2099,"Buyer: Bandar 64%, Seller: Retail 47%"
