stock,top5_buyers,top5_sellers,net_volume,daily_summary
ADMR,"1. CC: 160,646 lot (29.21B) [Mix]
2. AK: 103,141 lot (18.60B) [Bandar]
3. OD: 85,757 lot (15.42B) [Bandar]
4. ZP: 82,970 lot (14.90B) [Bandar]
5. BK: 44,437 lot (8.06B) [Bandar]","1. NI: 115,891 lot (20.73B) [Bandar]
2. XL: 71,883 lot (13.07B) [Retail]
3. YB: 57,808 lot (10.38B) [Retail]
4. DX: 49,518 lot (8.82B) [Bandar]
5. YP: 44,267 lot (8.02B) [Mix]",137584,"Buyer: Bandar 66%, Seller: Bandar 49%"
KDTN,"1. YB: 22,563 lot (2.65B) [Retail]
2. BK: 1,356 lot (158.38M) [Bandar]
3. AK: 1,187 lot (139.00M) [Bandar]
4. SQ: 874 lot (103.39M) [Bandar]
5. QA: 410 lot (47.77M) [Bandar]","1. XL: 6,361 lot (724.52M) [Retail]
2. YP: 5,234 lot (591.44M) [Mix]
3. IF: 4,102 lot (488.96M) [Mix]
4. CC: 3,128 lot (365.98M) [Mix]
5. YU: 1,761 lot (201.81M) [Bandar]",5804,"Buyer: Retail 85%, Seller: Mix 61%"
HBAT,"1. AO: 5,488 lot (217.32M) [Bandar]
2. AZ: 3,440 lot (134.85M) [Retail]
3. ZP: 268 lot (9.86M) [Bandar]
4. GI: 1 lot (41,000) [Bandar]","1. XC: 2,480 lot (96.22M) [Retail]
2. CC: 2,157 lot (86.71M) [Mix]
3. XA: 1,230 lot (46.99M) [Bandar]
4. MG: 1,010 lot (39.39M) [Mix]
5. YP: 889 lot (33.16M) [Mix]",1431,"Buyer: Bandar 63%, Seller: Mix 52%"
GRIA,"1. OD: 8,563 lot (111.32M) [Bandar]
2. AO: 6,700 lot (87.77M) [Bandar]
3. AZ: 6,647 lot (85.08M) [Retail]
4. XA: 5,500 lot (72.60M) [Bandar]
5. PC: 5,000 lot (64.00M) [Bandar]","1. YP: 10,667 lot (136.54M) [Mix]
2. PD: 5,961 lot (78.69M) [Mix]
3. KK: 4,561 lot (59.75M) [Bandar]
4. CP: 4,265 lot (55.87M) [Mix]
5. MG: 4,000 lot (52.00M) [Mix]",2956,"Buyer: Bandar 79%, Seller: Mix 85%"
CYBR,"1. AK: 9,956 lot (1.58B) [Bandar]
2. AI: 5,500 lot (867.35M) [Bandar]
3. DP: 5,000 lot (806.00M) [Bandar]
4. YP: 4,062 lot (635.70M) [Mix]
5. XL: 1,785 lot (281.14M) [Retail]","1. CC: 10,278 lot (1.63B) [Mix]
2. TP: 6,258 lot (964.98M) [Bandar]
3. NI: 4,770 lot (739.35M) [Bandar]
4. BK: 4,126 lot (650.26M) [Bandar]
5. PD: 489 lot (75.70M) [Mix]",382,"Buyer: Bandar 78%, Seller: Bandar 58%"
ERAL,"1. CC: 30,840 lot (1.05B) [Mix]
2. BK: 30,170 lot (1.04B) [Bandar]
3. AK: 26,699 lot (913.11M) [Bandar]
4. XL: 23,051 lot (788.34M) [Retail]
5. OD: 12,848 lot (434.26M) [Bandar]","1. YP: 79,454 lot (2.73B) [Mix]
2. SQ: 38,154 lot (1.29B) [Bandar]
3. KK: 7,592 lot (258.89M) [Bandar]
4. TP: 4,227 lot (144.14M) [Bandar]
5. EP: 4,178 lot (142.05M) [Mix]",-9997,"Buyer: Bandar 56%, Seller: Mix 63%"
KAQI,"1. BR: 38,167 lot (312.97M) [Bandar]
2. AK: 37,894 lot (303.15M) [Bandar]
3. SQ: 28,937 lot (231.50M) [Bandar]
4. YB: 12,031 lot (97.45M) [Retail]
5. YU: 10,570 lot (85.62M) [Bandar]","1. XL: 57,578 lot (466.38M) [Retail]
2. CC: 26,311 lot (215.75M) [Mix]
3. KK: 15,411 lot (121.75M) [Bandar]
4. DR: 9,643 lot (74.25M) [Retail]
5. NI: 8,436 lot (65.80M) [Bandar]",10220,"Buyer: Bandar 91%, Seller: Retail 57%"
NCKL,"1. DX: 279,429 lot (36.02B) [Bandar]
2. CC: 175,577 lot (21.93B) [Mix]
3. MG: 134,428 lot (16.86B) [Mix]
4. KI: 90,600 lot (11.45B) [Bandar]
5. AF: 67,200 lot (8.37B) [Retail]","1. SQ: 150,658 lot (18.80B) [Bandar]
2. AZ: 111,991 lot (14.07B) [Retail]
3. YU: 88,078 lot (11.04B) [Bandar]
4. XL: 80,999 lot (10.25B) [Retail]
5. ZP: 76,422 lot (9.72B) [Bandar]",239086,"Buyer: Bandar 50%, Seller: Bandar 62%"
ADRO,"1. BK: 138,214 lot (29.32B) [Bandar]
2. AK: 134,718 lot (28.64B) [Bandar]
3. OD: 78,174 lot (16.53B) [Bandar]
4. XL: 58,762 lot (12.50B) [Retail]
5. CC: 31,229 lot (6.67B) [Mix]","1. NI: 197,786 lot (41.55B) [Bandar]
2. DH: 110,236 lot (23.27B) [Bandar]
3. TP: 81,271 lot (17.04B) [Bandar]
4. YU: 42,289 lot (8.92B) [Bandar]
5. YP: 39,154 lot (8.38B) [Mix]",-29639,"Buyer: Bandar 80%, Seller: Bandar 92%"
HOPE,"1. YB: 74,112 lot (2.01B) [Retail]
2. CC: 18,240 lot (496.13M) [Mix]
3. XA: 12,470 lot (329.21M) [Bandar]
4. BK: 10,929 lot (302.73M) [Bandar]
5. AK: 6,029 lot (162.18M) [Bandar]","1. GR: 20,991 lot (575.15M) [Bandar]
2. BQ: 17,504 lot (472.61M) [Bandar]
3. YP: 17,168 lot (468.69M) [Mix]
4. PD: 15,948 lot (422.62M) [Mix]
5. IU: 15,000 lot (393.00M) [Bandar]",35169,"Buyer: Retail 61%, Seller: Bandar 62%"
GRPM,"1. HD: 10,907 lot (253.04M) [Bandar]
2. GR: 2,914 lot (67.60M) [Bandar]
3. RB: 1,642 lot (38.09M) [Retail]
4. PI: 1,000 lot (23.20M) [Retail]
5. CP: 820 lot (19.02M) [Mix]","1. XL: 7,659 lot (177.69M) [Retail]
2. LG: 5,010 lot (116.23M) [Bandar]
3. EP: 2,000 lot (46.40M) [Mix]
4. PD: 1,605 lot (37.24M) [Mix]
5. XC: 1,312 lot (30.44M) [Retail]",-303,"Buyer: Bandar 80%, Seller: Retail 51%"
