stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ANTM,"1. BK: 151,178 lot (66.32B) [Bandar] | Avg Buy: 4,387
2. AK: 135,400 lot (59.36B) [Bandar] | Avg Buy: 4,384
3. SS: 48,850 lot (21.25B) [Bandar] | Avg Buy: 4,350
4. LG: 40,289 lot (17.67B) [Bandar] | Avg Buy: 4,386
5. YU: 29,307 lot (12.86B) [Bandar] | Avg Buy: 4,388","1. XL: 112,271 lot (49.11B) [Retail] | Avg Sell: 4,374
2. YP: 55,166 lot (24.17B) [Mix] | Avg Sell: 4,381
3. CC: 45,735 lot (20.05B) [Mix] | Avg Sell: 4,385
4. FS: 39,979 lot (17.31B) [Bandar] | Avg Sell: 4,330
5. NI: 36,106 lot (15.81B) [Bandar] | Avg Sell: 4,380",115767,"Buyer: Bandar 100%, Seller: Retail 39% | Avg Buy Price: 4,379 | Avg Sell Price: 4,370",4379.0,,,4370.0
ASJT,1. YP: 501 lot (9.97M) [Mix] | Avg Buy: 199,"1. RS: 1,135 lot (22.70M) [Bandar] | Avg Sell: 200
2. BR: 8 lot (160,000) [Bandar] | Avg Sell: 200",-642,"Buyer: Mix 100%, Seller: Bandar 100% | Avg Buy Price: 199 | Avg Sell Price: 200",199.0,,,200.0
BIPI,"1. AK: 2,030,901 lot (53.01B) [Bandar] | Avg Buy: 261
2. CC: 777,228 lot (20.67B) [Mix] | Avg Buy: 266
3. MG: 760,515 lot (20.08B) [Mix] | Avg Buy: 264
4. LG: 398,377 lot (10.52B) [Bandar] | Avg Buy: 264
5. ZP: 305,795 lot (8.16B) [Bandar] | Avg Buy: 267","1. YJ: 568,934 lot (14.96B) [Retail] | Avg Sell: 263
2. XL: 485,612 lot (12.72B) [Retail] | Avg Sell: 262
3. FS: 456,710 lot (12.33B) [Bandar] | Avg Sell: 270
4. IF: 369,995 lot (9.84B) [Mix] | Avg Sell: 266
5. YP: 297,341 lot (7.82B) [Mix] | Avg Sell: 263",2094224,"Buyer: Bandar 64%, Seller: Retail 48% | Avg Buy Price: 264 | Avg Sell Price: 265",264.4,,,264.8
BJBR,"1. AZ: 12,579 lot (1.04B) [Retail] | Avg Buy: 830
2. FS: 3,650 lot (304.77M) [Bandar] | Avg Buy: 835
3. AK: 1,322 lot (109.86M) [Bandar] | Avg Buy: 831
4. OD: 1,255 lot (104.42M) [Bandar] | Avg Buy: 832
5. XA: 1,250 lot (104.12M) [Bandar] | Avg Buy: 833","1. XL: 13,799 lot (1.15B) [Retail] | Avg Sell: 830
2. TP: 3,544 lot (294.51M) [Bandar] | Avg Sell: 831
3. YP: 1,432 lot (119.00M) [Mix] | Avg Sell: 831
4. XC: 842 lot (70.05M) [Retail] | Avg Sell: 832
5. PD: 733 lot (60.84M) [Mix] | Avg Sell: 830",-294,"Buyer: Retail 63%, Seller: Retail 72% | Avg Buy Price: 832 | Avg Sell Price: 831",832.2,,,830.8
BMRI,"1. AK: 385,815 lot (201.74B) [Bandar] | Avg Buy: 5,229
2. BK: 143,573 lot (74.97B) [Bandar] | Avg Buy: 5,222
3. YU: 62,290 lot (32.59B) [Bandar] | Avg Buy: 5,232
4. RX: 34,414 lot (17.97B) [Bandar] | Avg Buy: 5,222
5. KZ: 24,051 lot (12.57B) [Mix] | Avg Buy: 5,228","1. ZP: 96,129 lot (50.24B) [Bandar] | Avg Sell: 5,226
2. XL: 90,105 lot (47.17B) [Retail] | Avg Sell: 5,235
3. CC: 80,699 lot (42.13B) [Mix] | Avg Sell: 5,221
4. PD: 50,744 lot (26.51B) [Mix] | Avg Sell: 5,225
5. XC: 43,414 lot (22.71B) [Retail] | Avg Sell: 5,231",289052,"Buyer: Bandar 96%, Seller: Retail 37% | Avg Buy Price: 5,227 | Avg Sell Price: 5,228",5226.6,,,5227.6
BNII,"1. XL: 1,531 lot (33.53M) [Retail] | Avg Buy: 219
2. CC: 944 lot (20.58M) [Mix] | Avg Buy: 218","1. TP: 1,128 lot (24.59M) [Bandar] | Avg Sell: 218
2. YP: 518 lot (11.34M) [Mix] | Avg Sell: 219
3. DR: 475 lot (10.45M) [Retail] | Avg Sell: 220",354,"Buyer: Retail 62%, Seller: Bandar 53% | Avg Buy Price: 218 | Avg Sell Price: 219",218.5,,,219.0
DSFI,"1. XC: 12,317 lot (140.41M) [Retail] | Avg Buy: 114
2. EP: 10,307 lot (117.50M) [Mix] | Avg Buy: 114
3. AK: 8,661 lot (98.74M) [Bandar] | Avg Buy: 114
4. CC: 8,791 lot (98.46M) [Mix] | Avg Buy: 112
5. KK: 2,230 lot (25.42M) [Bandar] | Avg Buy: 114","1. XL: 17,603 lot (197.15M) [Retail] | Avg Sell: 112
2. YP: 9,593 lot (108.40M) [Mix] | Avg Sell: 113
3. DH: 9,000 lot (102.60M) [Bandar] | Avg Sell: 114
4. YB: 4,636 lot (52.39M) [Retail] | Avg Sell: 113
5. CP: 2,464 lot (28.09M) [Mix] | Avg Sell: 114",-990,"Buyer: Mix 45%, Seller: Retail 51% | Avg Buy Price: 114 | Avg Sell Price: 113",113.6,,,113.2
ENRG,"1. XL: 131,000 lot (22.09B) [Retail] | Avg Buy: 1,686
2. LG: 82,689 lot (13.88B) [Bandar] | Avg Buy: 1,678
3. KI: 44,436 lot (7.54B) [Bandar] | Avg Buy: 1,697
4. AZ: 40,397 lot (6.84B) [Retail] | Avg Buy: 1,692
5. YP: 36,787 lot (6.21B) [Mix] | Avg Buy: 1,687","1. DR: 206,479 lot (34.79B) [Retail] | Avg Sell: 1,685
2. NI: 101,119 lot (17.02B) [Bandar] | Avg Sell: 1,683
3. CC: 88,086 lot (14.89B) [Mix] | Avg Sell: 1,690
4. YU: 87,144 lot (14.70B) [Bandar] | Avg Sell: 1,687
5. CD: 84,978 lot (14.33B) [Bandar] | Avg Sell: 1,686",-232497,"Buyer: Retail 51%, Seller: Bandar 48% | Avg Buy Price: 1,688 | Avg Sell Price: 1,686",1688.0,,,1686.2
GGRM,"1. BQ: 1,487 lot (2.40B) [Bandar] | Avg Buy: 16,140
2. YP: 1,241 lot (2.00B) [Mix] | Avg Buy: 16,122
3. CC: 560 lot (900.65M) [Mix] | Avg Buy: 16,083
4. DP: 525 lot (855.75M) [Bandar] | Avg Buy: 16,300
5. XL: 484 lot (779.43M) [Retail] | Avg Buy: 16,104","1. ZP: 2,302 lot (3.70B) [Bandar] | Avg Sell: 16,083
2. AK: 1,727 lot (2.78B) [Bandar] | Avg Sell: 16,092
3. EP: 808 lot (1.30B) [Mix] | Avg Sell: 16,103
4. PD: 631 lot (1.02B) [Mix] | Avg Sell: 16,167
5. DR: 154 lot (248.93M) [Retail] | Avg Sell: 16,164",-1325,"Buyer: Bandar 47%, Seller: Bandar 72% | Avg Buy Price: 16,150 | Avg Sell Price: 16,122",16149.8,,,16121.8
INDS,"1. GR: 2,286 lot (475.49M) [Bandar] | Avg Buy: 2,080
2. CC: 1,897 lot (394.58M) [Mix] | Avg Buy: 2,080
3. XC: 1,703 lot (354.22M) [Retail] | Avg Buy: 2,080
4. YP: 576 lot (119.81M) [Mix] | Avg Buy: 2,080
5. OD: 556 lot (115.65M) [Bandar] | Avg Buy: 2,080","1. MG: 5,076 lot (1.06B) [Mix] | Avg Sell: 2,080
2. PD: 1,074 lot (223.39M) [Mix] | Avg Sell: 2,080
3. BS: 1,000 lot (208.00M) [Mix] | Avg Sell: 2,080
4. XL: 737 lot (153.30M) [Retail] | Avg Sell: 2,080
5. HD: 200 lot (41.60M) [Bandar] | Avg Sell: 2,080",-1069,"Buyer: Bandar 40%, Seller: Mix 88% | Avg Buy Price: 2,080 | Avg Sell Price: 2,080",2080.0,,,2080.0
