stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
ANTM,"1. BB: 115,721 lot (52.79B) [Mix] | Avg Buy: 4,562
2. ZP: 84,053 lot (38.53B) [Bandar] | Avg Buy: 4,584
3. AK: 45,593 lot (20.83B) [Bandar] | Avg Buy: 4,568
4. LG: 19,739 lot (8.96B) [Bandar] | Avg Buy: 4,540
5. BK: 19,493 lot (8.89B) [Bandar] | Avg Buy: 4,562","1. XL: 52,371 lot (23.91B) [Retail] | Avg Sell: 4,565
2. SS: 50,105 lot (22.61B) [Bandar] | Avg Sell: 4,513
3. CC: 43,204 lot (19.79B) [Mix] | Avg Sell: 4,580
4. HD: 28,245 lot (12.93B) [Bandar] | Avg Sell: 4,579
5. GR: 22,899 lot (10.50B) [Bandar] | Avg Sell: 4,585",87775,"Buyer: Bandar 59%, Seller: Bandar 51% | Avg Buy Price: 4,563 | Avg Sell Price: 4,564",4563.2,,,4564.4
BDMN,"1. YP: 5,594 lot (1.53B) [Mix] | Avg Buy: 2,727
2. ZP: 2,551 lot (700.50M) [Bandar] | Avg Buy: 2,746
3. AK: 2,235 lot (612.39M) [Bandar] | Avg Buy: 2,740
4. SQ: 1,753 lot (482.25M) [Bandar] | Avg Buy: 2,751
5. EP: 1,739 lot (474.23M) [Mix] | Avg Buy: 2,727","1. TP: 6,239 lot (1.70B) [Bandar] | Avg Sell: 2,724
2. YJ: 4,993 lot (1.37B) [Retail] | Avg Sell: 2,753
3. LG: 2,564 lot (699.97M) [Bandar] | Avg Sell: 2,730
4. XL: 1,701 lot (465.73M) [Retail] | Avg Sell: 2,738
5. MG: 1,548 lot (421.98M) [Mix] | Avg Sell: 2,726",-3173,"Buyer: Mix 53%, Seller: Bandar 52% | Avg Buy Price: 2,738 | Avg Sell Price: 2,734",2738.2,,,2734.2
BINA,"1. RS: 100 lot (46.80M) [Bandar] | Avg Buy: 4,680","1. CP: 73 lot (34.05M) [Mix] | Avg Sell: 4,665",27,"Buyer: Bandar 100%, Seller: Mix 100% | Avg Buy Price: 4,680 | Avg Sell Price: 4,665",4680.0,,,4665.0
GGRM,"1. LG: 3,375 lot (5.67B) [Bandar] | Avg Buy: 16,796
2. BB: 1,203 lot (2.01B) [Mix] | Avg Buy: 16,747
3. AK: 1,176 lot (1.97B) [Bandar] | Avg Buy: 16,730
4. XC: 371 lot (619.16M) [Retail] | Avg Buy: 16,689
5. CP: 350 lot (586.53M) [Mix] | Avg Buy: 16,758","1. GR: 1,573 lot (2.63B) [Bandar] | Avg Sell: 16,718
2. PD: 1,515 lot (2.54B) [Mix] | Avg Sell: 16,754
3. ZP: 910 lot (1.52B) [Bandar] | Avg Sell: 16,739
4. CC: 875 lot (1.46B) [Mix] | Avg Sell: 16,713
5. YU: 658 lot (1.10B) [Bandar] | Avg Sell: 16,746",944,"Buyer: Bandar 70%, Seller: Bandar 57% | Avg Buy Price: 16,744 | Avg Sell Price: 16,734",16744.0,,,16734.0
INKP,"1. NI: 68,397 lot (76.70B) [Bandar] | Avg Buy: 11,214
2. PD: 17,648 lot (19.79B) [Mix] | Avg Buy: 11,213
3. BK: 9,523 lot (10.62B) [Bandar] | Avg Buy: 11,156
4. HP: 5,214 lot (5.75B) [Bandar] | Avg Buy: 11,030
5. AZ: 4,566 lot (5.04B) [Retail] | Avg Buy: 11,035","1. DP: 30,417 lot (34.09B) [Bandar] | Avg Sell: 11,206
2. YP: 26,254 lot (29.28B) [Mix] | Avg Sell: 11,154
3. OD: 12,656 lot (14.16B) [Bandar] | Avg Sell: 11,185
4. ZP: 9,522 lot (10.68B) [Bandar] | Avg Sell: 11,216
5. AK: 5,593 lot (6.26B) [Bandar] | Avg Sell: 11,190",20906,"Buyer: Bandar 79%, Seller: Bandar 69% | Avg Buy Price: 11,130 | Avg Sell Price: 11,190",11129.6,,,11190.2
ITMA,"1. AK: 1,197 lot (291.71M) [Bandar] | Avg Buy: 2,437
2. ZR: 444 lot (106.56M) [Bandar] | Avg Buy: 2,400
3. PC: 225 lot (53.82M) [Bandar] | Avg Buy: 2,392
4. SH: 131 lot (31.60M) [Bandar] | Avg Buy: 2,412
5. BR: 131 lot (31.28M) [Bandar] | Avg Buy: 2,388","1. CC: 1,489 lot (363.02M) [Mix] | Avg Sell: 2,438
2. ID: 300 lot (72.03M) [Bandar] | Avg Sell: 2,401
3. XL: 237 lot (57.38M) [Retail] | Avg Sell: 2,421
4. KK: 96 lot (23.48M) [Bandar] | Avg Sell: 2,446
5. MI: 41 lot (9.82M) [Bandar] | Avg Sell: 2,395",-35,"Buyer: Bandar 100%, Seller: Mix 69% | Avg Buy Price: 2,406 | Avg Sell Price: 2,420",2405.8,,,2420.2
SDPC,"1. XA: 1,840 lot (36.06M) [Bandar] | Avg Buy: 196","1. MG: 619 lot (12.01M) [Mix] | Avg Sell: 194
2. DX: 350 lot (6.79M) [Bandar] | Avg Sell: 194",871,"Buyer: Bandar 100%, Seller: Mix 64% | Avg Buy Price: 196 | Avg Sell Price: 194",196.0,,,194.0
SOCI,"1. SQ: 39,284 lot (2.68B) [Bandar] | Avg Buy: 683
2. PD: 28,295 lot (1.93B) [Mix] | Avg Buy: 681
3. CP: 21,960 lot (1.51B) [Mix] | Avg Buy: 689
4. XL: 14,654 lot (999.40M) [Retail] | Avg Buy: 682
5. XC: 11,379 lot (773.77M) [Retail] | Avg Buy: 680","1. AK: 56,270 lot (3.88B) [Bandar] | Avg Sell: 689
2. BK: 29,800 lot (2.03B) [Bandar] | Avg Sell: 681
3. CC: 26,770 lot (1.84B) [Mix] | Avg Sell: 687
4. XA: 25,653 lot (1.75B) [Bandar] | Avg Sell: 682
5. AZ: 11,785 lot (791.95M) [Retail] | Avg Sell: 672",-34706,"Buyer: Mix 43%, Seller: Bandar 74% | Avg Buy Price: 683 | Avg Sell Price: 682",683.0,,,682.2
ULTJ,"1. CC: 13,611 lot (2.24B) [Mix] | Avg Buy: 1,649
2. ZP: 10,750 lot (1.77B) [Bandar] | Avg Buy: 1,650
3. AZ: 2,311 lot (379.47M) [Retail] | Avg Buy: 1,642
4. KK: 1,805 lot (304.14M) [Bandar] | Avg Buy: 1,685
5. LG: 1,368 lot (229.69M) [Bandar] | Avg Buy: 1,679","1. NI: 5,832 lot (964.03M) [Bandar] | Avg Sell: 1,653
2. AI: 4,070 lot (676.03M) [Bandar] | Avg Sell: 1,661
3. YP: 4,052 lot (668.99M) [Mix] | Avg Sell: 1,651
4. EP: 3,170 lot (518.61M) [Mix] | Avg Sell: 1,636
5. PD: 3,125 lot (515.31M) [Mix] | Avg Sell: 1,649",9596,"Buyer: Bandar 47%, Seller: Mix 51% | Avg Buy Price: 1,661 | Avg Sell Price: 1,650",1661.0,,,1650.0
WEHA,"1. MG: 9,689 lot (138.55M) [Mix] | Avg Buy: 143
2. BQ: 7,929 lot (114.97M) [Bandar] | Avg Buy: 145
3. CP: 6,283 lot (91.10M) [Mix] | Avg Buy: 145
4. KI: 4,459 lot (63.32M) [Bandar] | Avg Buy: 142
5. AF: 3,000 lot (43.20M) [Retail] | Avg Buy: 144","1. XL: 9,177 lot (132.15M) [Retail] | Avg Sell: 144
2. PD: 7,710 lot (111.02M) [Mix] | Avg Sell: 144
3. SQ: 5,795 lot (84.03M) [Bandar] | Avg Sell: 145
4. TP: 4,500 lot (66.15M) [Bandar] | Avg Sell: 147
5. YP: 3,797 lot (55.06M) [Mix] | Avg Sell: 145",381,"Buyer: Mix 51%, Seller: Mix 37% | Avg Buy Price: 144 | Avg Sell Price: 145",143.8,,,145.0
