stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
BBNI,"1. ZP: 50,077 lot (22.54B) [Bandar] | Avg Buy: 4,502
2. OD: 19,855 lot (8.98B) [Bandar] | Avg Buy: 4,522
3. XL: 18,700 lot (8.40B) [Retail] | Avg Buy: 4,491
4. CC: 9,967 lot (4.48B) [Mix] | Avg Buy: 4,494
5. SQ: 9,591 lot (4.33B) [Bandar] | Avg Buy: 4,516","1. LG: 53,696 lot (24.10B) [Bandar] | Avg Sell: 4,489
2. AK: 49,221 lot (22.14B) [Bandar] | Avg Sell: 4,498
3. BB: 25,430 lot (11.42B) [Mix] | Avg Sell: 4,492
4. YU: 13,573 lot (6.09B) [Bandar] | Avg Sell: 4,489
5. TP: 7,726 lot (3.48B) [Bandar] | Avg Sell: 4,501",-41456,"Buyer: Bandar 74%, Seller: Bandar 83% | Avg Buy Price: 4,505 | Avg Sell Price: 4,494",4505.0,,,4493.8
BGTG,"1. ZP: 82,098 lot (1.19B) [Bandar] | Avg Buy: 145
2. XL: 37,825 lot (552.25M) [Retail] | Avg Buy: 146
3. NI: 18,599 lot (267.83M) [Bandar] | Avg Buy: 144
4. KK: 11,529 lot (167.17M) [Bandar] | Avg Buy: 145
5. MG: 6,123 lot (91.23M) [Mix] | Avg Buy: 149","1. AZ: 38,534 lot (566.45M) [Retail] | Avg Sell: 147
2. AK: 31,062 lot (453.51M) [Bandar] | Avg Sell: 146
3. CC: 25,674 lot (372.27M) [Mix] | Avg Sell: 145
4. DH: 19,473 lot (284.31M) [Bandar] | Avg Sell: 146
5. PD: 15,940 lot (232.72M) [Mix] | Avg Sell: 146",25491,"Buyer: Bandar 72%, Seller: Bandar 39% | Avg Buy Price: 146 | Avg Sell Price: 146",145.8,,,146.0
ESTI,"1. CC: 10,658 lot (206.77M) [Mix] | Avg Buy: 194
2. YP: 7,809 lot (150.71M) [Mix] | Avg Buy: 193
3. OD: 3,401 lot (65.30M) [Bandar] | Avg Buy: 192
4. XC: 2,764 lot (53.62M) [Retail] | Avg Buy: 194
5. XA: 2,462 lot (46.78M) [Bandar] | Avg Buy: 190","1. XL: 17,606 lot (339.80M) [Retail] | Avg Sell: 193
2. AI: 4,300 lot (84.28M) [Bandar] | Avg Sell: 196
3. HP: 1,755 lot (34.92M) [Bandar] | Avg Sell: 199
4. DH: 1,802 lot (34.06M) [Bandar] | Avg Sell: 189
5. PD: 1,164 lot (22.70M) [Mix] | Avg Sell: 195",467,"Buyer: Mix 68%, Seller: Retail 66% | Avg Buy Price: 193 | Avg Sell Price: 194",192.6,,,194.4
HMSP,"1. RX: 115,683 lot (10.16B) [Bandar] | Avg Buy: 878
2. BB: 54,825 lot (4.81B) [Mix] | Avg Buy: 877
3. YP: 22,028 lot (1.95B) [Mix] | Avg Buy: 883
4. IF: 18,024 lot (1.57B) [Mix] | Avg Buy: 870
5. BK: 9,856 lot (858.46M) [Bandar] | Avg Buy: 871","1. CC: 127,369 lot (11.13B) [Mix] | Avg Sell: 874
2. MG: 51,206 lot (4.51B) [Mix] | Avg Sell: 880
3. AK: 18,022 lot (1.58B) [Bandar] | Avg Sell: 876
4. SQ: 14,252 lot (1.25B) [Bandar] | Avg Sell: 877
5. XA: 8,509 lot (747.94M) [Bandar] | Avg Sell: 879",1058,"Buyer: Bandar 57%, Seller: Mix 81% | Avg Buy Price: 876 | Avg Sell Price: 877",875.8,,,877.2
INDY,"1. KZ: 22,094 lot (7.49B) [Mix] | Avg Buy: 3,389
2. AI: 20,321 lot (6.86B) [Bandar] | Avg Buy: 3,374
3. XL: 13,407 lot (4.55B) [Retail] | Avg Buy: 3,396
4. RF: 10,010 lot (3.39B) [Bandar] | Avg Buy: 3,388
5. PD: 9,040 lot (3.06B) [Mix] | Avg Buy: 3,383","1. ZP: 42,465 lot (14.40B) [Bandar] | Avg Sell: 3,391
2. CC: 21,136 lot (7.13B) [Mix] | Avg Sell: 3,374
3. DX: 10,637 lot (3.61B) [Bandar] | Avg Sell: 3,390
4. XC: 9,476 lot (3.22B) [Retail] | Avg Sell: 3,393
5. KK: 7,653 lot (2.58B) [Bandar] | Avg Sell: 3,366",-16495,"Buyer: Mix 42%, Seller: Bandar 66% | Avg Buy Price: 3,386 | Avg Sell Price: 3,383",3386.0,,,3382.8
INDS,"1. XL: 25,072 lot (2.96B) [Retail] | Avg Buy: 1,180
2. XC: 5,184 lot (611.71M) [Retail] | Avg Buy: 1,180
3. YB: 4,442 lot (524.16M) [Retail] | Avg Buy: 1,180
4. OD: 2,144 lot (252.99M) [Bandar] | Avg Buy: 1,180
5. XA: 1,957 lot (230.93M) [Bandar] | Avg Buy: 1,180","1. YP: 21,991 lot (2.59B) [Mix] | Avg Sell: 1,180
2. KI: 14,970 lot (1.77B) [Bandar] | Avg Sell: 1,180
3. NI: 4,276 lot (504.57M) [Bandar] | Avg Sell: 1,180
4. ZP: 2,186 lot (257.95M) [Bandar] | Avg Sell: 1,180
5. HD: 1,000 lot (118.00M) [Bandar] | Avg Sell: 1,180",-5624,"Buyer: Retail 89%, Seller: Bandar 50% | Avg Buy Price: 1,180 | Avg Sell Price: 1,180",1180.0,,,1180.0
ISSP,"1. MG: 5,000 lot (231.00M) [Mix] | Avg Buy: 462
2. YU: 3,800 lot (177.84M) [Bandar] | Avg Buy: 468
3. CP: 3,005 lot (139.73M) [Mix] | Avg Buy: 465
4. ZP: 233 lot (10.79M) [Bandar] | Avg Buy: 463
5. AI: 56 lot (2.55M) [Bandar] | Avg Buy: 456","1. CC: 5,338 lot (249.28M) [Mix] | Avg Sell: 467
2. LG: 5,014 lot (231.65M) [Bandar] | Avg Sell: 462
3. XL: 606 lot (28.12M) [Retail] | Avg Sell: 464
4. KK: 562 lot (25.85M) [Bandar] | Avg Sell: 460
5. XC: 518 lot (24.04M) [Retail] | Avg Sell: 464",56,"Buyer: Mix 66%, Seller: Bandar 46% | Avg Buy Price: 463 | Avg Sell Price: 463",462.8,,,463.4
JSMR,"1. KZ: 5,395 lot (2.02B) [Mix] | Avg Buy: 3,745
2. BB: 2,322 lot (860.30M) [Mix] | Avg Buy: 3,705
3. YP: 2,294 lot (848.55M) [Mix] | Avg Buy: 3,699
4. PD: 1,710 lot (631.50M) [Mix] | Avg Buy: 3,693
5. XL: 907 lot (336.68M) [Retail] | Avg Buy: 3,712","1. CC: 8,572 lot (3.18B) [Mix] | Avg Sell: 3,709
2. BQ: 2,516 lot (926.39M) [Bandar] | Avg Sell: 3,682
3. AK: 1,722 lot (636.80M) [Bandar] | Avg Sell: 3,698
4. ZP: 912 lot (340.27M) [Bandar] | Avg Sell: 3,731
5. BK: 513 lot (187.81M) [Bandar] | Avg Sell: 3,661",-1607,"Buyer: Mix 93%, Seller: Mix 60% | Avg Buy Price: 3,711 | Avg Sell Price: 3,696",3710.8,,,3696.2
LPPF,"1. XL: 3,043 lot (573.00M) [Retail] | Avg Buy: 1,883
2. PD: 1,895 lot (356.64M) [Mix] | Avg Buy: 1,882
3. NI: 1,623 lot (305.45M) [Bandar] | Avg Buy: 1,882
4. OD: 1,180 lot (222.55M) [Bandar] | Avg Buy: 1,886
5. YP: 1,086 lot (204.60M) [Mix] | Avg Buy: 1,884","1. BB: 3,911 lot (736.05M) [Mix] | Avg Sell: 1,882
2. AK: 3,880 lot (730.99M) [Bandar] | Avg Sell: 1,884
3. CC: 1,067 lot (201.24M) [Mix] | Avg Sell: 1,886
4. GR: 1,026 lot (192.99M) [Bandar] | Avg Sell: 1,881
5. TP: 248 lot (46.75M) [Bandar] | Avg Sell: 1,885",-1305,"Buyer: Retail 34%, Seller: Bandar 51% | Avg Buy Price: 1,883 | Avg Sell Price: 1,884",1883.4,,,1883.6
PTBA,"1. ZP: 41,844 lot (10.68B) [Bandar] | Avg Buy: 2,552
2. DR: 15,220 lot (3.88B) [Retail] | Avg Buy: 2,549
3. BK: 6,634 lot (1.69B) [Bandar] | Avg Buy: 2,555
4. MG: 5,066 lot (1.28B) [Mix] | Avg Buy: 2,530
5. EP: 3,051 lot (775.56M) [Mix] | Avg Buy: 2,542","1. KZ: 20,353 lot (5.18B) [Mix] | Avg Sell: 2,545
2. CC: 18,926 lot (4.81B) [Mix] | Avg Sell: 2,543
3. XL: 8,693 lot (2.21B) [Retail] | Avg Sell: 2,543
4. KK: 4,870 lot (1.24B) [Bandar] | Avg Sell: 2,543
5. YP: 4,129 lot (1.05B) [Mix] | Avg Sell: 2,550",14844,"Buyer: Bandar 68%, Seller: Mix 76% | Avg Buy Price: 2,546 | Avg Sell Price: 2,545",2545.6,,,2544.8
