stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
BBNI,"1. ZP: 80,876 lot (36.44B) [Bandar] | Avg Buy: 4,506
2. MG: 74,489 lot (33.58B) [Mix] | Avg Buy: 4,508
3. NI: 32,159 lot (14.52B) [Bandar] | Avg Buy: 4,515
4. XL: 20,354 lot (9.14B) [Retail] | Avg Buy: 4,492
5. GR: 13,863 lot (6.25B) [Bandar] | Avg Buy: 4,510","1. RX: 68,326 lot (30.83B) [Bandar] | Avg Buy: 4,497 | Avg Sell: 4,511
2. AK: 68,192 lot (30.70B) [Bandar] | Avg Sell: 4,502
3. LG: 54,598 lot (24.51B) [Bandar] | Avg Sell: 4,489
4. BK: 44,613 lot (20.13B) [Bandar] | Avg Buy: 4,502 | Avg Sell: 4,511
5. BB: 10,137 lot (4.52B) [Mix] | Avg Buy: 4,516 | Avg Sell: 4,492",-24125,"Buyer: Bandar 57%, Seller: Bandar 96% | Avg Buy Price: 4,506 | Avg Sell Price: 4,501",4506.2,,4505.0,4501.0
BMRI,"1. ZP: 630,304 lot (315.78B) [Bandar] | Avg Buy: 5,010
2. BK: 177,861 lot (90.72B) [Bandar] | Avg Buy: 5,066 | Avg Sell: 4,980
3. RX: 122,928 lot (62.01B) [Bandar] | Avg Buy: 5,044
4. YU: 99,577 lot (51.32B) [Bandar] | Avg Buy: 5,075 | Avg Sell: 5,004
5. DP: 20,603 lot (10.26B) [Bandar] | Avg Buy: 4,982","1. LG: 125,277 lot (62.78B) [Bandar] | Avg Sell: 5,011
2. YP: 122,304 lot (62.07B) [Mix] | Avg Buy: 4,982 | Avg Sell: 5,059
3. AK: 101,719 lot (50.67B) [Bandar] | Avg Buy: 5,061 | Avg Sell: 4,986
4. DX: 88,094 lot (44.00B) [Bandar] | Avg Sell: 4,995
5. CC: 82,844 lot (41.76B) [Mix] | Avg Sell: 5,041",531035,"Buyer: Bandar 100%, Seller: Bandar 61% | Avg Buy Price: 5,035 | Avg Sell Price: 5,018",5035.4,4992.0,5021.5,5018.4
ESTI,"1. YP: 7,809 lot (150.71M) [Mix] | Avg Buy: 193
2. CC: 4,486 lot (87.03M) [Mix] | Avg Buy: 194 | Avg Sell: 194
3. OD: 4,411 lot (84.99M) [Bandar] | Avg Buy: 193
4. KK: 2,911 lot (56.03M) [Bandar] | Avg Buy: 192
5. XC: 2,764 lot (53.62M) [Retail] | Avg Buy: 194","1. XL: 12,567 lot (242.04M) [Retail] | Avg Buy: 194 | Avg Sell: 193
2. AI: 4,300 lot (84.28M) [Bandar] | Avg Sell: 196
3. DH: 1,802 lot (34.06M) [Bandar] | Avg Sell: 189
4. PD: 1,164 lot (22.70M) [Mix] | Avg Sell: 195
5. HP: 960 lot (19.66M) [Bandar] | Avg Buy: 192 | Avg Sell: 199",1588,"Buyer: Mix 55%, Seller: Retail 60% | Avg Buy Price: 193 | Avg Sell Price: 194",193.2,194.0,193.0,194.4
HMSP,"1. SQ: 152,947 lot (13.13B) [Bandar] | Avg Buy: 860 | Avg Sell: 877
2. RX: 115,683 lot (10.16B) [Bandar] | Avg Buy: 878
3. ZP: 78,157 lot (6.70B) [Bandar] | Avg Buy: 858 | Avg Sell: 871
4. BB: 54,825 lot (4.81B) [Mix] | Avg Buy: 877
5. BK: 41,373 lot (3.55B) [Bandar] | Avg Buy: 859","1. DR: 135,632 lot (11.66B) [Retail] | Avg Buy: 868 | Avg Sell: 860
2. CC: 111,224 lot (9.76B) [Mix] | Avg Buy: 852 | Avg Sell: 874
3. MG: 108,276 lot (9.35B) [Mix] | Avg Sell: 864
4. PD: 51,539 lot (4.41B) [Mix] | Avg Buy: 869 | Avg Sell: 857
5. CP: 47,989 lot (4.09B) [Mix] | Avg Sell: 852",-11675,"Buyer: Bandar 88%, Seller: Mix 70% | Avg Buy Price: 866 | Avg Sell Price: 861",866.4,874.0,863.0,861.4
INDS,"1. XL: 62,712 lot (7.83B) [Retail] | Avg Buy: 1,249
2. XC: 8,611 lot (1.06B) [Retail] | Avg Buy: 1,226
3. CC: 8,208 lot (1.04B) [Mix] | Avg Buy: 1,270
4. XA: 7,527 lot (952.24M) [Bandar] | Avg Buy: 1,265
5. CP: 4,908 lot (614.66M) [Mix] | Avg Buy: 1,252","1. YP: 50,667 lot (6.31B) [Mix] | Avg Sell: 1,245
2. KI: 37,466 lot (4.68B) [Bandar] | Avg Sell: 1,249
3. NI: 10,398 lot (1.30B) [Bandar] | Avg Sell: 1,248
4. ZP: 4,273 lot (528.21M) [Bandar] | Avg Sell: 1,236
5. HD: 1,976 lot (244.39M) [Bandar] | Avg Sell: 1,237",-12814,"Buyer: Retail 78%, Seller: Bandar 52% | Avg Buy Price: 1,252 | Avg Sell Price: 1,243",1252.4,,,1243.0
INDY,"1. AK: 66,746 lot (24.50B) [Bandar] | Avg Buy: 3,671
2. YU: 25,018 lot (9.34B) [Bandar] | Avg Buy: 3,732 | Avg Sell: 3,371
3. AI: 25,554 lot (8.77B) [Bandar] | Avg Buy: 3,433
4. KZ: 22,094 lot (7.49B) [Mix] | Avg Buy: 3,389
5. PD: 16,785 lot (5.88B) [Mix] | Avg Buy: 3,502","1. ZP: 72,984 lot (25.36B) [Bandar] | Avg Sell: 3,475
2. YP: 12,053 lot (4.56B) [Mix] | Avg Buy: 3,373 | Avg Sell: 3,702
3. DX: 11,931 lot (4.09B) [Bandar] | Avg Sell: 3,427
4. CC: 12,869 lot (4.08B) [Mix] | Avg Buy: 3,690 | Avg Sell: 3,374
5. IF: 11,009 lot (3.97B) [Mix] | Avg Sell: 3,604",35351,"Buyer: Bandar 75%, Seller: Bandar 70% | Avg Buy Price: 3,545 | Avg Sell Price: 3,516",3545.4,3371.0,3531.5,3516.4
ITMA,"1. FS: 54,195 lot (12.14B) [Bandar] | Avg Buy: 2,240
2. CC: 10,410 lot (2.32B) [Mix] | Avg Buy: 2,233
3. II: 8,304 lot (1.89B) [Mix] | Avg Buy: 2,280
4. BR: 2,131 lot (492.05M) [Bandar] | Avg Buy: 2,309
5. BK: 1,016 lot (219.93M) [Bandar] | Avg Buy: 2,165","1. XA: 37,886 lot (8.54B) [Bandar] | Avg Sell: 2,255
2. HD: 34,395 lot (7.67B) [Bandar] | Avg Sell: 2,230
3. XL: 1,467 lot (316.01M) [Retail] | Avg Sell: 2,154
4. MU: 1,118 lot (241.75M) [Bandar] | Avg Sell: 2,162
5. NI: 595 lot (125.05M) [Bandar] | Avg Sell: 2,102",595,"Buyer: Bandar 75%, Seller: Bandar 98% | Avg Buy Price: 2,245 | Avg Sell Price: 2,181",2245.4,,,2180.6
JSMR,"1. KZ: 5,395 lot (2.02B) [Mix] | Avg Buy: 3,745
2. BB: 4,858 lot (1.81B) [Mix] | Avg Buy: 3,722
3. CD: 3,422 lot (1.28B) [Bandar] | Avg Buy: 3,734
4. PD: 3,213 lot (1.19B) [Mix] | Avg Buy: 3,713
5. SQ: 1,848 lot (692.74M) [Bandar] | Avg Buy: 3,738 | Avg Sell: 3,698","1. CC: 9,146 lot (3.39B) [Mix] | Avg Sell: 3,711
2. BQ: 2,516 lot (926.39M) [Bandar] | Avg Sell: 3,682
3. TP: 2,354 lot (877.75M) [Bandar] | Avg Sell: 3,729
4. LG: 2,151 lot (804.81M) [Bandar] | Avg Buy: 3,727 | Avg Sell: 3,740
5. XA: 1,996 lot (745.51M) [Bandar] | Avg Sell: 3,735",573,"Buyer: Mix 72%, Seller: Mix 50% | Avg Buy Price: 3,730 | Avg Sell Price: 3,719",3730.4,3698.0,3727.0,3719.4
JTPE,"1. PI: 2,728 lot (160.62M) [Retail] | Avg Buy: 589
2. LS: 2,549 lot (150.93M) [Retail] | Avg Buy: 592
3. AZ: 1,811 lot (107.75M) [Retail] | Avg Buy: 595
4. ZP: 1,083 lot (64.70M) [Bandar] | Avg Buy: 597
5. CC: 987 lot (58.62M) [Mix] | Avg Buy: 594","1. DR: 3,184 lot (187.86M) [Retail] | Avg Sell: 590
2. IN: 2,078 lot (123.80M) [Bandar] | Avg Sell: 596
3. XC: 1,519 lot (89.62M) [Retail] | Avg Sell: 590
4. AK: 949 lot (55.71M) [Bandar] | Avg Sell: 587
5. BK: 819 lot (49.07M) [Bandar] | Avg Sell: 599",609,"Buyer: Retail 77%, Seller: Retail 55% | Avg Buy Price: 593 | Avg Sell Price: 592",593.4,,,592.4
MDKA,"1. PD: 80,867 lot (25.33B) [Mix] | Avg Buy: 3,107 | Avg Sell: 2,987
2. KZ: 75,805 lot (23.46B) [Mix] | Avg Buy: 3,094
3. RX: 37,423 lot (11.18B) [Bandar] | Avg Buy: 2,988
4. HP: 29,806 lot (9.24B) [Bandar] | Avg Buy: 3,098
5. BK: 28,838 lot (8.46B) [Bandar] | Avg Buy: 3,015 | Avg Sell: 3,096","1. CC: 86,930 lot (26.77B) [Mix] | Avg Sell: 3,079
2. XA: 67,119 lot (20.60B) [Bandar] | Avg Sell: 3,070
3. OD: 40,518 lot (12.21B) [Bandar] | Avg Buy: 3,091 | Avg Sell: 3,027
4. GR: 21,422 lot (6.50B) [Bandar] | Avg Sell: 3,036
5. YP: 19,383 lot (5.89B) [Mix] | Avg Sell: 3,038",17367,"Buyer: Mix 62%, Seller: Bandar 55% | Avg Buy Price: 3,060 | Avg Sell Price: 3,050",3060.4,3041.5,3091.0,3050.0
