stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
BBNI,"1. MG: 105,957 lot (47.65B) [Mix] | Avg Buy: 4,497
2. AZ: 60,480 lot (27.09B) [Retail] | Avg Buy: 4,480
3. ZP: 53,538 lot (24.08B) [Bandar] | Avg Buy: 4,498
4. YP: 39,495 lot (17.66B) [Mix] | Avg Buy: 4,472 | Avg Sell: 4,511
5. NI: 39,028 lot (17.57B) [Bandar] | Avg Buy: 4,503","1. BK: 154,920 lot (69.56B) [Bandar] | Avg Sell: 4,490
2. LG: 80,790 lot (36.16B) [Bandar] | Avg Sell: 4,476
3. RX: 73,808 lot (33.29B) [Bandar] | Avg Sell: 4,510
4. OD: 25,988 lot (11.74B) [Bandar] | Avg Buy: 4,479 | Avg Sell: 4,512
5. CC: 26,057 lot (11.67B) [Mix] | Avg Buy: 4,504 | Avg Sell: 4,477",-63065,"Buyer: Mix 49%, Seller: Bandar 93% | Avg Buy Price: 4,490 | Avg Sell Price: 4,493",4490.0,4511.0,4491.5,4493.0
BMRI,"1. YU: 354,802 lot (179.25B) [Bandar] | Avg Buy: 5,052
2. BK: 325,071 lot (164.39B) [Bandar] | Avg Buy: 5,057
3. AK: 172,328 lot (86.49B) [Bandar] | Avg Buy: 5,019
4. GR: 99,737 lot (49.78B) [Bandar] | Avg Buy: 5,005 | Avg Sell: 5,062
5. RX: 95,569 lot (48.33B) [Bandar] | Avg Buy: 5,055 | Avg Sell: 5,019","1. ZP: 466,970 lot (233.22B) [Bandar] | Avg Buy: 5,053 | Avg Sell: 5,012
2. PD: 152,595 lot (76.80B) [Mix] | Avg Sell: 5,033
3. CC: 114,541 lot (57.73B) [Mix] | Avg Sell: 5,040
4. HP: 56,663 lot (28.59B) [Bandar] | Avg Buy: 5,001 | Avg Sell: 5,043
5. NI: 42,678 lot (21.62B) [Bandar] | Avg Buy: 5,021 | Avg Sell: 5,056",214060,"Buyer: Bandar 100%, Seller: Bandar 68% | Avg Buy Price: 5,038 | Avg Sell Price: 5,037",5037.6,5040.5,5025.0,5036.8
BNII,"1. DP: 28,840 lot (634.48M) [Bandar] | Avg Buy: 220
2. ZP: 4,010 lot (87.42M) [Bandar] | Avg Buy: 218
3. YU: 2,000 lot (44.00M) [Bandar] | Avg Buy: 220
4. DH: 1,798 lot (38.84M) [Bandar] | Avg Buy: 216
5. TP: 1,000 lot (22.00M) [Bandar] | Avg Buy: 220","1. XL: 9,864 lot (215.54M) [Retail] | Avg Sell: 219
2. LG: 4,994 lot (109.87M) [Bandar] | Avg Sell: 220
3. CC: 4,813 lot (106.27M) [Mix] | Avg Sell: 221
4. GR: 3,420 lot (75.24M) [Bandar] | Avg Sell: 220
5. YP: 3,373 lot (74.21M) [Mix] | Avg Sell: 220",11184,"Buyer: Bandar 100%, Seller: Retail 37% | Avg Buy Price: 219 | Avg Sell Price: 220",218.8,,,220.0
CLPI,"1. XL: 819 lot (126.00M) [Retail] | Avg Buy: 1,538
2. YB: 283 lot (43.61M) [Retail] | Avg Buy: 1,541
3. CC: 226 lot (34.56M) [Mix] | Avg Buy: 1,530 | Avg Sell: 1,532
4. SQ: 118 lot (18.11M) [Bandar] | Avg Buy: 1,535
5. KK: 59 lot (8.03M) [Bandar] | Avg Buy: 1,507 | Avg Sell: 1,550","1. AZ: 1,513 lot (229.82M) [Retail] | Avg Sell: 1,519
2. OD: 83 lot (12.90M) [Bandar] | Avg Sell: 1,554",-91,"Buyer: Retail 73%, Seller: Retail 95% | Avg Buy Price: 1,530 | Avg Sell Price: 1,536",1530.2,1541.0,,1536.5
ESTI,"1. OD: 4,913 lot (94.24M) [Bandar] | Avg Buy: 192
2. PD: 3,317 lot (64.02M) [Mix] | Avg Buy: 193
3. CC: 2,482 lot (46.42M) [Mix] | Avg Buy: 192 | Avg Sell: 194
4. NI: 2,033 lot (38.83M) [Bandar] | Avg Buy: 191
5. AK: 1,474 lot (28.20M) [Bandar] | Avg Buy: 191","1. IF: 4,178 lot (79.38M) [Mix] | Avg Sell: 190
2. XL: 4,056 lot (76.87M) [Retail] | Avg Buy: 194 | Avg Sell: 192
3. YP: 2,767 lot (53.13M) [Mix] | Avg Sell: 192
4. XA: 1,770 lot (33.98M) [Bandar] | Avg Sell: 192
5. GR: 1,537 lot (29.36M) [Bandar] | Avg Sell: 191",-89,"Buyer: Bandar 59%, Seller: Mix 49% | Avg Buy Price: 192 | Avg Sell Price: 191",191.8,194.0,194.0,191.4
HMSP,"1. SQ: 151,755 lot (13.08B) [Bandar] | Avg Buy: 860 | Avg Sell: 840
2. BK: 113,071 lot (9.58B) [Bandar] | Avg Buy: 847
3. ZP: 81,965 lot (7.03B) [Bandar] | Avg Buy: 857
4. CC: 45,092 lot (3.82B) [Mix] | Avg Buy: 846
5. NI: 44,414 lot (3.74B) [Bandar] | Avg Buy: 842","1. PD: 181,719 lot (15.41B) [Mix] | Avg Sell: 848
2. DR: 135,818 lot (11.68B) [Retail] | Avg Buy: 845 | Avg Sell: 860
3. CP: 50,740 lot (4.32B) [Mix] | Avg Sell: 852
4. MG: 46,789 lot (3.97B) [Mix] | Avg Buy: 850 | Avg Sell: 849
5. XL: 41,341 lot (3.52B) [Retail] | Avg Sell: 851",-20110,"Buyer: Bandar 90%, Seller: Mix 61% | Avg Buy Price: 850 | Avg Sell Price: 852",850.4,840.0,847.5,852.0
INDS,"1. XL: 62,909 lot (8.46B) [Retail] | Avg Buy: 1,345
2. CC: 10,773 lot (1.45B) [Mix] | Avg Buy: 1,346
3. XC: 8,665 lot (1.19B) [Retail] | Avg Buy: 1,371
4. PD: 5,346 lot (765.69M) [Mix] | Avg Buy: 1,420 | Avg Sell: 1,295
5. HD: 4,359 lot (631.18M) [Bandar] | Avg Buy: 1,420 | Avg Sell: 1,295","1. KI: 56,245 lot (7.71B) [Bandar] | Avg Sell: 1,370
2. KK: 15,963 lot (2.27B) [Bandar] | Avg Buy: 1,295 | Avg Sell: 1,420
3. YP: 16,289 lot (1.95B) [Mix] | Avg Buy: 1,420 | Avg Sell: 1,295
4. NI: 9,629 lot (1.29B) [Bandar] | Avg Sell: 1,341
5. ZP: 3,717 lot (501.73M) [Bandar] | Avg Sell: 1,350",-9791,"Buyer: Retail 78%, Seller: Bandar 84% | Avg Buy Price: 1,380 | Avg Sell Price: 1,355",1380.4,1295.0,1357.5,1355.2
INDY,"1. PD: 40,700 lot (14.86B) [Mix] | Avg Buy: 3,652
2. YU: 26,502 lot (9.88B) [Bandar] | Avg Buy: 3,729
3. LG: 17,742 lot (6.52B) [Bandar] | Avg Buy: 3,677
4. RF: 16,999 lot (6.16B) [Bandar] | Avg Buy: 3,621 | Avg Sell: 3,746
5. XL: 13,241 lot (4.80B) [Retail] | Avg Buy: 3,651 | Avg Sell: 3,678","1. BK: 68,265 lot (24.98B) [Bandar] | Avg Sell: 3,659
2. SQ: 13,569 lot (4.98B) [Bandar] | Avg Sell: 3,668
3. AZ: 11,659 lot (4.25B) [Retail] | Avg Sell: 3,644
4. BQ: 10,534 lot (3.85B) [Bandar] | Avg Sell: 3,652
5. AK: 9,674 lot (3.30B) [Bandar] | Avg Buy: 3,702 | Avg Sell: 3,662",1483,"Buyer: Bandar 53%, Seller: Bandar 90% | Avg Buy Price: 3,666 | Avg Sell Price: 3,657",3666.0,3712.0,3702.0,3657.0
ISSP,"1. OD: 47,580 lot (2.21B) [Bandar] | Avg Buy: 464
2. CC: 11,654 lot (542.93M) [Mix] | Avg Buy: 466 | Avg Sell: 470
3. BK: 2,960 lot (137.64M) [Bandar] | Avg Buy: 465
4. AK: 849 lot (39.85M) [Bandar] | Avg Buy: 469
5. XA: 691 lot (32.34M) [Bandar] | Avg Buy: 468","1. XL: 36,031 lot (1.67B) [Retail] | Avg Sell: 463
2. LG: 11,151 lot (517.41M) [Bandar] | Avg Sell: 464
3. TP: 6,079 lot (283.28M) [Bandar] | Avg Sell: 466
4. PD: 2,381 lot (110.93M) [Mix] | Avg Sell: 466
5. YP: 2,303 lot (108.47M) [Mix] | Avg Sell: 471",5789,"Buyer: Bandar 82%, Seller: Retail 62% | Avg Buy Price: 466 | Avg Sell Price: 466",466.4,470.0,,466.0
JSMR,"1. KZ: 10,000 lot (3.74B) [Mix] | Avg Buy: 3,737
2. NI: 9,984 lot (3.73B) [Bandar] | Avg Buy: 3,735 | Avg Sell: 3,741
3. ZP: 5,791 lot (2.16B) [Bandar] | Avg Buy: 3,738
4. BB: 3,713 lot (1.39B) [Mix] | Avg Buy: 3,739
5. CD: 3,419 lot (1.28B) [Bandar] | Avg Buy: 3,734 | Avg Sell: 3,720","1. AK: 6,512 lot (2.43B) [Bandar] | Avg Buy: 3,738 | Avg Sell: 3,735
2. PD: 6,116 lot (2.28B) [Mix] | Avg Buy: 3,735 | Avg Sell: 3,731
3. TP: 2,947 lot (1.10B) [Bandar] | Avg Sell: 3,732
4. LG: 2,807 lot (1.05B) [Bandar] | Avg Sell: 3,740
5. YU: 2,364 lot (884.37M) [Bandar] | Avg Sell: 3,741",12161,"Buyer: Bandar 58%, Seller: Bandar 71% | Avg Buy Price: 3,737 | Avg Sell Price: 3,736",3736.6,3730.5,3736.5,3735.8
