stock,top5_buyers,top5_sellers,net_volume,daily_summary,avg_buy_price_buyers,avg_sell_price_buyers,avg_buy_price_sellers,avg_sell_price_sellers
CFIN,"1. CC: 13,592 lot (453.97M) [Mix] | Avg Buy: 334
2. EL: 2,000 lot (66.60M) [Bandar] | Avg Buy: 333
3. YP: 1,659 lot (55.41M) [Mix] | Avg Buy: 334
4. MG: 1,355 lot (45.12M) [Mix] | Avg Buy: 333
5. AZ: 1,163 lot (38.73M) [Retail] | Avg Buy: 333","1. ZP: 12,842 lot (428.92M) [Bandar] | Avg Sell: 334
2. CP: 11,588 lot (388.39M) [Mix] | Avg Sell: 335
3. DH: 3,452 lot (113.92M) [Bandar] | Avg Sell: 330
4. OD: 3,070 lot (102.54M) [Bandar] | Avg Sell: 334
5. XC: 2,939 lot (98.72M) [Retail] | Avg Sell: 336",-14122,"Buyer: Mix 84%, Seller: Bandar 57% | Avg Buy Price: 333 | Avg Sell Price: 334",333.4,,,333.8
CLPI,"1. YP: 429 lot (68.43M) [Mix] | Avg Buy: 1,595","1. CC: 255 lot (40.53M) [Mix] | Avg Sell: 1,589
2. NI: 185 lot (29.47M) [Bandar] | Avg Sell: 1,593
3. PG: 39 lot (6.24M) [Mix] | Avg Sell: 1,600",-50,"Buyer: Mix 100%, Seller: Mix 61% | Avg Buy Price: 1,595 | Avg Sell Price: 1,594",1595.0,,,1594.0
ECII,"1. YU: 10,000 lot (246.00M) [Bandar] | Avg Buy: 246
2. AK: 2,748 lot (66.78M) [Bandar] | Avg Buy: 243","1. XL: 7,564 lot (177.07M) [Retail] | Avg Sell: 234
2. PD: 2,499 lot (63.05M) [Mix] | Avg Buy: 233 | Avg Sell: 245
3. CC: 1,352 lot (34.88M) [Mix] | Avg Sell: 258
4. BQ: 788 lot (18.05M) [Bandar] | Avg Sell: 229",545,"Buyer: Bandar 100%, Seller: Retail 62% | Avg Buy Price: 244 | Avg Sell Price: 242",244.5,,233.0,241.5
ITMA,"1. AK: 1,197 lot (291.71M) [Bandar] | Avg Buy: 2,437
2. ZR: 474 lot (113.61M) [Bandar] | Avg Buy: 2,397
3. YP: 283 lot (67.33M) [Mix] | Avg Buy: 2,379
4. PC: 225 lot (53.82M) [Bandar] | Avg Buy: 2,392
5. BK: 138 lot (33.35M) [Bandar] | Avg Buy: 2,417","1. CC: 1,038 lot (254.55M) [Mix] | Avg Buy: 2,405 | Avg Sell: 2,438
2. ZP: 493 lot (119.40M) [Bandar] | Avg Sell: 2,422
3. CP: 493 lot (118.32M) [Mix] | Avg Sell: 2,400
4. ID: 300 lot (72.03M) [Bandar] | Avg Sell: 2,401
5. KK: 139 lot (33.97M) [Bandar] | Avg Sell: 2,444",-146,"Buyer: Bandar 88%, Seller: Mix 62% | Avg Buy Price: 2,404 | Avg Sell Price: 2,421",2404.4,,2405.0,2421.0
MDKA,"1. PD: 144,415 lot (55.04B) [Mix] | Avg Buy: 3,811
2. CC: 62,617 lot (22.37B) [Mix] | Avg Buy: 3,715 | Avg Sell: 3,850
3. YP: 57,564 lot (21.70B) [Mix] | Avg Buy: 3,770
4. XL: 34,627 lot (13.06B) [Retail] | Avg Buy: 3,772
5. LG: 28,885 lot (11.33B) [Bandar] | Avg Buy: 3,913 | Avg Sell: 3,753","1. BK: 158,779 lot (59.46B) [Bandar] | Avg Sell: 3,745
2. NI: 78,806 lot (29.58B) [Bandar] | Avg Sell: 3,754
3. BB: 62,361 lot (22.66B) [Mix] | Avg Buy: 3,853 | Avg Sell: 3,642
4. AK: 43,753 lot (16.75B) [Bandar] | Avg Sell: 3,828
5. ZP: 41,401 lot (15.71B) [Bandar] | Avg Sell: 3,794",-56992,"Buyer: Mix 81%, Seller: Bandar 84% | Avg Buy Price: 3,796 | Avg Sell Price: 3,753",3796.2,3801.5,3853.0,3752.6
NOBU,"1. SS: 36,690 lot (2.12B) [Bandar] | Avg Buy: 577
2. YP: 18,563 lot (1.07B) [Mix] | Avg Buy: 574
3. PD: 8,970 lot (510.30M) [Mix] | Avg Buy: 569
4. YU: 5,392 lot (308.73M) [Bandar] | Avg Buy: 573
5. AI: 4,750 lot (279.30M) [Bandar] | Avg Buy: 588","1. DH: 18,518 lot (1.04B) [Bandar] | Avg Sell: 560
2. XL: 15,646 lot (863.95M) [Retail] | Avg Buy: 586 | Avg Sell: 558
3. YB: 10,194 lot (597.78M) [Retail] | Avg Buy: 563 | Avg Sell: 586
4. AK: 9,503 lot (545.68M) [Bandar] | Avg Sell: 574
5. KI: 4,574 lot (259.80M) [Bandar] | Avg Sell: 568",15930,"Buyer: Bandar 63%, Seller: Bandar 56% | Avg Buy Price: 576 | Avg Sell Price: 569",576.2,,574.5,569.2
PGAS,"1. MG: 100,578 lot (24.50B) [Mix] | Avg Buy: 2,436
2. XL: 51,084 lot (12.52B) [Retail] | Avg Buy: 2,450
3. RX: 41,464 lot (10.11B) [Bandar] | Avg Buy: 2,439
4. YP: 33,651 lot (8.25B) [Mix] | Avg Buy: 2,451
5. SQ: 31,053 lot (7.57B) [Bandar] | Avg Buy: 2,438","1. AK: 126,779 lot (30.99B) [Bandar] | Avg Sell: 2,445
2. AI: 58,171 lot (14.09B) [Bandar] | Avg Buy: 2,402 | Avg Sell: 2,423
3. BB: 56,378 lot (13.52B) [Mix] | Avg Buy: 2,449 | Avg Sell: 2,418
4. GR: 34,521 lot (8.49B) [Bandar] | Avg Buy: 2,426 | Avg Sell: 2,457
5. YU: 29,859 lot (7.18B) [Bandar] | Avg Buy: 2,444 | Avg Sell: 2,408",-47878,"Buyer: Mix 52%, Seller: Bandar 82% | Avg Buy Price: 2,443 | Avg Sell Price: 2,430",2442.8,,2430.25,2430.2
SILO,"1. CC: 6,714 lot (1.84B) [Mix] | Avg Buy: 2,733
2. RX: 4,234 lot (1.15B) [Bandar] | Avg Buy: 2,708
3. KZ: 2,700 lot (742.23M) [Mix] | Avg Buy: 2,749
4. AK: 2,584 lot (689.94M) [Bandar] | Avg Buy: 2,674 | Avg Sell: 2,755
5. YU: 2,305 lot (631.50M) [Bandar] | Avg Buy: 2,740","1. ZP: 12,973 lot (3.53B) [Bandar] | Avg Sell: 2,722
2. BK: 1,352 lot (367.17M) [Bandar] | Avg Sell: 2,716
3. BB: 965 lot (260.07M) [Mix] | Avg Sell: 2,695
4. RF: 800 lot (220.00M) [Bandar] | Avg Sell: 2,750
5. YP: 718 lot (192.64M) [Mix] | Avg Sell: 2,683",1729,"Buyer: Mix 51%, Seller: Bandar 90% | Avg Buy Price: 2,721 | Avg Sell Price: 2,713",2720.8,2755.0,,2713.2
SMAR,"1. NI: 1,235 lot (726.67M) [Bandar] | Avg Buy: 5,884
2. CC: 617 lot (360.27M) [Mix] | Avg Buy: 5,839
3. TP: 452 lot (247.61M) [Bandar] | Avg Buy: 5,478
4. XA: 100 lot (59.50M) [Bandar] | Avg Buy: 5,950
5. BK: 98 lot (56.17M) [Bandar] | Avg Buy: 5,732","1. XL: 729 lot (410.79M) [Retail] | Avg Sell: 5,635
2. XC: 604 lot (336.76M) [Retail] | Avg Sell: 5,576
3. DH: 223 lot (130.14M) [Bandar] | Avg Sell: 5,836
4. CP: 210 lot (116.72M) [Mix] | Avg Sell: 5,558
5. GR: 172 lot (101.39M) [Bandar] | Avg Sell: 5,895",564,"Buyer: Bandar 75%, Seller: Retail 69% | Avg Buy Price: 5,777 | Avg Sell Price: 5,700",5776.6,,,5700.0
SRTG,"1. YU: 26,623 lot (4.90B) [Bandar] | Avg Buy: 1,839
2. AK: 21,915 lot (4.05B) [Bandar] | Avg Buy: 1,850 | Avg Sell: 1,860
3. TP: 10,233 lot (1.90B) [Bandar] | Avg Buy: 1,854
4. PD: 10,276 lot (1.89B) [Mix] | Avg Buy: 1,839 | Avg Sell: 1,841
5. SQ: 5,960 lot (1.11B) [Bandar] | Avg Buy: 1,859","1. ZP: 27,661 lot (5.07B) [Bandar] | Avg Sell: 1,834
2. DR: 14,775 lot (2.72B) [Retail] | Avg Sell: 1,839
3. XC: 7,424 lot (1.37B) [Retail] | Avg Sell: 1,845
4. KI: 7,177 lot (1.31B) [Bandar] | Avg Buy: 1,851 | Avg Sell: 1,819
5. CC: 6,880 lot (1.28B) [Mix] | Avg Sell: 1,858",11090,"Buyer: Bandar 86%, Seller: Bandar 55% | Avg Buy Price: 1,848 | Avg Sell Price: 1,839",1848.2,1850.5,1851.0,1839.0
