stock,top5_buyers,top5_sellers,net_volume,daily_summary
PRIM,"• PD | 34.5k | 255.56mio | Avg: 74 | Mix
• AT | 16.1k | 125.42mio | Avg: 78 | Bandar
• CC | 15.4k | 115.55mio | Avg: 75 | Mix
• XC | 14.7k | 108.64mio | Avg: 74 | Retail
• LS | 7.9k | 58.46mio | Avg: 74 | Retail","• XL | 33.1k | 244.90mio | Avg: 74 | Retail
• AI | 16.8k | 123.98mio | Avg: 74 | Bandar
• YP | 14.8k | 109.62mio | Avg: 74 | Mix
• YB | 11.2k | 79.36mio | Avg: 71 | Retail
• CP | 10.7k | 76.87mio | Avg: 72 | Mix",2087,"Buyer: Mix 56%, Seller: Retail 51%"
TCPI,"• TP | 2.7k | 2.81bio | Avg: 10.320 | Bandar
• AK | 1.2k | 1.20bio | Avg: 10.326 | Bandar
• YU | 295 | 310.52mio | Avg: 10.526 | Bandar
• SQ | 99 | 100.60mio | Avg: 10.162 | Bandar
• BR | 57 | 59.19mio | Avg: 10.384 | Bandar","• TS | 1.8k | 1.88bio | Avg: 10.255 | Bandar
• CC | 1.1k | 1.14bio | Avg: 10.477 | Mix
• BK | 446 | 465.62mio | Avg: 10.440 | Bandar
• ZP | 345 | 358.01mio | Avg: 10.377 | Bandar
• BQ | 169 | 168.22mio | Avg: 9.954 | Bandar",454,"Buyer: Bandar 100%, Seller: Bandar 72%"
DIGI,"• YP | 4.2k | 14.31mio | Avg: 34 | Mix
• XC | 2.0k | 6.86mio | Avg: 34 | Retail",• XL | 9.4k | 31.84mio | Avg: 34 | Retail,-3139,"Buyer: Mix 68%, Seller: Retail 100%"
POLA,"• XA | 18.0k | 124.23mio | Avg: 69 | Bandar
• OD | 6.0k | 45.41mio | Avg: 76 | Bandar
• MG | 4.7k | 32.97mio | Avg: 70 | Mix
• CP | 2.0k | 15.20mio | Avg: 76 | Mix
• YB | 750 | 5.70mio | Avg: 76 | Retail","• XL | 17.9k | 125.36mio | Avg: 70 | Retail
• YP | 10.1k | 74.38mio | Avg: 74 | Mix
• IU | 3.5k | 24.00mio | Avg: 69 | Bandar",1,"Buyer: Bandar 76%, Seller: Retail 57%"
JAYA,"• AZ | 7.9k | 80.65mio | Avg: 102 | Retail
• IU | 7.1k | 73.38mio | Avg: 104 | Bandar
• YP | 4.0k | 41.77mio | Avg: 105 | Mix
• ZP | 4.0k | 41.46mio | Avg: 104 | Bandar
• EP | 1.3k | 13.51mio | Avg: 104 | Mix","• XL | 15.8k | 166.37mio | Avg: 105 | Retail
• XC | 3.3k | 34.29mio | Avg: 104 | Retail
• NI | 2.4k | 25.60mio | Avg: 105 | Bandar
• TP | 1.4k | 15.13mio | Avg: 107 | Bandar
• XA | 983 | 10.62mio | Avg: 108 | Bandar",250,"Buyer: Bandar 46%, Seller: Retail 80%"
JAST,"• AI | 83.7k | 853.42mio | Avg: 102 | Bandar
• YP | 29.8k | 303.69mio | Avg: 102 | Mix
• DR | 23.7k | 237.38mio | Avg: 100 | Retail
• XC | 11.8k | 123.44mio | Avg: 105 | Retail
• YJ | 7.7k | 76.24mio | Avg: 99 | Retail","• XL | 125.0k | 1.26bio | Avg: 101 | Retail
• PD | 10.3k | 104.17mio | Avg: 101 | Mix
• NI | 8.5k | 87.29mio | Avg: 103 | Bandar
• CC | 6.9k | 70.10mio | Avg: 102 | Mix
• AZ | 5.9k | 58.68mio | Avg: 99 | Retail",96,"Buyer: Bandar 53%, Seller: Retail 84%"
PAMG,"• PD | 43.0k | 258.22mio | Avg: 60 | Mix
• DX | 16.1k | 101.58mio | Avg: 63 | Bandar
• EP | 16.0k | 100.96mio | Avg: 63 | Mix
• KK | 10.5k | 67.12mio | Avg: 64 | Bandar
• SQ | 6.1k | 38.35mio | Avg: 63 | Bandar","• XL | 58.9k | 364.97mio | Avg: 62 | Retail
• YB | 14.9k | 89.32mio | Avg: 60 | Retail
• YP | 12.5k | 79.03mio | Avg: 63 | Mix
• XA | 10.0k | 62.29mio | Avg: 62 | Bandar
• HP | 2.8k | 17.60mio | Avg: 63 | Bandar",-7379,"Buyer: Mix 64%, Seller: Retail 74%"
INOV,"• YU | 10.5k | 130.93mio | Avg: 125 | Bandar
• AK | 7.1k | 95.88mio | Avg: 135 | Bandar
• BK | 5.1k | 65.35mio | Avg: 129 | Bandar
• TP | 2.9k | 38.08mio | Avg: 132 | Bandar
• YB | 15 | 202.50k | Avg: 135 | Retail","• XL | 12.1k | 154.25mio | Avg: 128 | Retail
• PD | 2.8k | 36.28mio | Avg: 130 | Mix
• XC | 2.0k | 25.00mio | Avg: 128 | Retail
• OD | 1.6k | 22.23mio | Avg: 138 | Bandar
• XA | 774 | 9.91mio | Avg: 128 | Bandar",6362,"Buyer: Bandar 100%, Seller: Retail 73%"
SMKL,"• XC | 4.2k | 73.46mio | Avg: 173 | Retail
• PG | 500 | 8.55mio | Avg: 171 | Mix","• OD | 2.0k | 34.80mio | Avg: 174 | Bandar
• CC | 480 | 8.45mio | Avg: 176 | Mix",2266,"Buyer: Retail 89%, Seller: Bandar 81%"
HDIT,"• CC | 29.6k | 186.27mio | Avg: 63 | Mix
• PD | 28.0k | 173.31mio | Avg: 62 | Mix
• AK | 12.5k | 78.54mio | Avg: 63 | Bandar
• MG | 11.8k | 74.64mio | Avg: 63 | Mix
• BQ | 10.6k | 66.98mio | Avg: 63 | Bandar","• XL | 48.7k | 306.65mio | Avg: 63 | Retail
• YB | 40.5k | 250.93mio | Avg: 62 | Retail
• XC | 15.9k | 98.53mio | Avg: 62 | Retail
• AT | 4.0k | 26.39mio | Avg: 66 | Bandar
• AZ | 3.2k | 20.48mio | Avg: 64 | Retail",-19774,"Buyer: Mix 75%, Seller: Retail 96%"
KEEN,"• AK | 7.1k | 692.68mio | Avg: 981 | Bandar
• CC | 6.8k | 661.34mio | Avg: 975 | Mix
• LG | 4.0k | 401.97mio | Avg: 1.012 | Bandar
• XA | 2.8k | 287.56mio | Avg: 1.040 | Bandar
• TP | 2.2k | 230.70mio | Avg: 1.029 | Bandar","• XL | 14.3k | 1.40bio | Avg: 981 | Retail
• ZP | 5.2k | 504.36mio | Avg: 969 | Bandar
• AZ | 3.7k | 363.26mio | Avg: 981 | Retail
• YP | 1.8k | 178.12mio | Avg: 976 | Mix
• YB | 1.2k | 123.26mio | Avg: 1.017 | Retail",-3417,"Buyer: Bandar 70%, Seller: Retail 73%"
WOWS,"• GR | 40.2k | 309.69mio | Avg: 77 | Bandar
• CC | 30.3k | 233.66mio | Avg: 77 | Mix
• SQ | 19.4k | 151.64mio | Avg: 78 | Bandar
• XC | 17.7k | 140.05mio | Avg: 79 | Retail
• DH | 15.5k | 130.47mio | Avg: 84 | Bandar","• YB | 90.4k | 678.21mio | Avg: 75 | Retail
• PD | 17.1k | 130.21mio | Avg: 76 | Mix
• XL | 14.5k | 113.00mio | Avg: 78 | Retail
• AZ | 10.6k | 80.26mio | Avg: 76 | Retail
• AI | 9.0k | 72.00mio | Avg: 80 | Bandar",-18343,"Buyer: Bandar 61%, Seller: Retail 82%"
REAL,"• BR | 360.1k | 2.63bio | Avg: 73 | Bandar
• YP | 111.7k | 781.82mio | Avg: 70 | Mix
• AK | 112.8k | 733.01mio | Avg: 65 | Bandar
• XC | 59.9k | 407.45mio | Avg: 68 | Retail
• AZ | 15.8k | 110.89mio | Avg: 70 | Retail","• CC | 133.6k | 935.14mio | Avg: 70 | Mix
• KK | 125.3k | 877.41mio | Avg: 70 | Bandar
• BK | 115.9k | 834.36mio | Avg: 72 | Bandar
• ZP | 87.0k | 591.67mio | Avg: 68 | Bandar
• YB | 66.0k | 422.22mio | Avg: 64 | Retail",132532,"Buyer: Bandar 72%, Seller: Bandar 62%"
PMJS,"• KK | 3.7k | 40.39mio | Avg: 110 | Bandar
• AN | 811 | 8.76mio | Avg: 108 | Bandar",• YP | 3.5k | 38.84mio | Avg: 110 | Mix,952,"Buyer: Bandar 100%, Seller: Mix 100%"
CSRA,"• ZP | 5.9k | 535.07mio | Avg: 912 | Bandar
• YP | 2.5k | 233.03mio | Avg: 916 | Mix
• CC | 1.9k | 175.23mio | Avg: 916 | Mix
• AZ | 574 | 52.98mio | Avg: 923 | Retail
• PD | 467 | 42.45mio | Avg: 909 | Mix","• XL | 3.2k | 290.44mio | Avg: 920 | Retail
• DH | 2.4k | 219.36mio | Avg: 914 | Bandar
• TP | 1.5k | 140.55mio | Avg: 918 | Bandar
• XC | 1.2k | 106.82mio | Avg: 906 | Retail
• AR | 1.0k | 90.00mio | Avg: 900 | Bandar",2098,"Buyer: Bandar 52%, Seller: Bandar 53%"
INDO,"• XL | 86.4k | 3.23bio | Avg: 374 | Retail
• XA | 40.1k | 1.50bio | Avg: 374 | Bandar
• CP | 35.0k | 1.31bio | Avg: 374 | Mix
• AG | 28.0k | 1.05bio | Avg: 374 | Bandar
• YP | 27.5k | 1.03bio | Avg: 374 | Mix","• EP | 114.5k | 4.28bio | Avg: 374 | Mix
• MG | 85.4k | 3.19bio | Avg: 374 | Mix
• IU | 55.6k | 2.08bio | Avg: 374 | Bandar
• PC | 46.1k | 1.73bio | Avg: 374 | Bandar
• AZ | 44.1k | 1.65bio | Avg: 374 | Retail",-128615,"Buyer: Retail 40%, Seller: Mix 58%"
DMND,"• XL | 1.1k | 77.80mio | Avg: 736 | Retail
• CC | 285 | 20.78mio | Avg: 729 | Mix
• XC | 146 | 10.19mio | Avg: 698 | Retail
• ES | 100 | 6.80mio | Avg: 680 | Mix","• YP | 645 | 45.86mio | Avg: 711 | Mix
• SQ | 617 | 43.19mio | Avg: 700 | Bandar
• TP | 255 | 19.64mio | Avg: 770 | Bandar",71,"Buyer: Retail 76%, Seller: Bandar 57%"
CASH,"• PD | 36.0k | 518.40mio | Avg: 144 | Mix
• KK | 3.1k | 48.87mio | Avg: 157 | Bandar
• SQ | 2.1k | 29.56mio | Avg: 144 | Bandar
• BB | 1.1k | 15.19mio | Avg: 141 | Mix","• XL | 16.0k | 236.71mio | Avg: 148 | Retail
• CC | 11.3k | 164.45mio | Avg: 146 | Mix
• XC | 6.7k | 97.03mio | Avg: 144 | Retail
• YP | 5.3k | 77.57mio | Avg: 147 | Mix
• YB | 2.4k | 33.22mio | Avg: 140 | Retail",597,"Buyer: Mix 88%, Seller: Retail 60%"
PLAN,"• AG | 32.4k | 311.18mio | Avg: 96 | Bandar
• AI | 13.5k | 129.67mio | Avg: 96 | Bandar
• XL | 9.8k | 93.76mio | Avg: 96 | Retail
• AZ | 6.0k | 57.40mio | Avg: 96 | Retail
• XC | 5.3k | 51.04mio | Avg: 96 | Retail","• HD | 67.3k | 646.01mio | Avg: 96 | Bandar
• MG | 8.1k | 78.11mio | Avg: 96 | Mix
• DR | 2.3k | 22.19mio | Avg: 96 | Retail
• YU | 116 | 1.16mio | Avg: 100 | Bandar
• SF | 100 | 960.00k | Avg: 96 | Bandar",-10971,"Buyer: Bandar 69%, Seller: Bandar 87%"
ATAP,"• DH | 6.1k | 498.78mio | Avg: 815 | Bandar
• AG | 5.0k | 407.50mio | Avg: 815 | Bandar
• YB | 3.6k | 297.48mio | Avg: 815 | Retail
• YP | 3.5k | 287.53mio | Avg: 815 | Mix
• MG | 3.5k | 281.66mio | Avg: 815 | Mix","• HD | 7.4k | 605.87mio | Avg: 815 | Bandar
• CP | 4.4k | 356.81mio | Avg: 815 | Mix
• XL | 3.9k | 315.08mio | Avg: 815 | Retail
• OD | 3.1k | 255.99mio | Avg: 815 | Bandar
• XC | 2.9k | 239.28mio | Avg: 815 | Retail",-1,"Buyer: Bandar 51%, Seller: Bandar 49%"
HOPE,"• XL | 73.2k | 2.01bio | Avg: 275 | Retail
• XA | 35.1k | 852.57mio | Avg: 243 | Bandar
• CC | 21.8k | 558.67mio | Avg: 256 | Mix
• CP | 20.8k | 510.53mio | Avg: 245 | Mix
• XC | 17.0k | 486.60mio | Avg: 286 | Retail","• YB | 35.5k | 863.69mio | Avg: 243 | Retail
• TP | 28.9k | 710.84mio | Avg: 246 | Bandar
• GR | 23.7k | 581.43mio | Avg: 245 | Bandar
• AT | 18.8k | 545.52mio | Avg: 290 | Bandar
• KK | 18.4k | 448.50mio | Avg: 244 | Bandar",42588,"Buyer: Retail 54%, Seller: Bandar 72%"
MGLV,"• SA | 2.8k | 624.21mio | Avg: 2.260 | Bandar
• AI | 500 | 117.40mio | Avg: 2.348 | Bandar
• XC | 492 | 111.63mio | Avg: 2.269 | Retail
• XL | 403 | 95.87mio | Avg: 2.379 | Retail
• MG | 337 | 76.80mio | Avg: 2.279 | Mix","• LG | 3.2k | 729.20mio | Avg: 2.266 | Bandar
• HD | 1.2k | 286.98mio | Avg: 2.320 | Bandar
• KK | 258 | 63.42mio | Avg: 2.458 | Bandar
• FZ | 50 | 12.75mio | Avg: 2.550 | Bandar
• AK | 51 | 12.57mio | Avg: 2.465 | Bandar",-320,"Buyer: Bandar 73%, Seller: Bandar 100%"
UVCR,"• CP | 76.3k | 1.17bio | Avg: 153 | Mix
• AK | 23.9k | 367.57mio | Avg: 154 | Bandar
• DH | 20.0k | 285.96mio | Avg: 143 | Bandar
• BK | 8.7k | 134.34mio | Avg: 155 | Bandar
• DR | 8.6k | 125.31mio | Avg: 145 | Retail","• XL | 48.8k | 746.99mio | Avg: 153 | Retail
• YP | 47.9k | 699.72mio | Avg: 146 | Mix
• TP | 10.8k | 180.26mio | Avg: 167 | Bandar
• BQ | 9.8k | 154.62mio | Avg: 158 | Bandar
• OD | 10.1k | 144.74mio | Avg: 143 | Bandar",10028,"Buyer: Mix 56%, Seller: Retail 38%"
CMNT,"• KI | 17.6k | 1.38bio | Avg: 780 | Bandar
• ZP | 3.5k | 274.46mio | Avg: 793 | Bandar
• AZ | 2.1k | 165.47mio | Avg: 794 | Retail
• YJ | 1.1k | 90.85mio | Avg: 790 | Retail
• GA | 1.0k | 80.00mio | Avg: 800 | Bandar","• AK | 5.7k | 457.91mio | Avg: 799 | Bandar
• YP | 5.0k | 389.83mio | Avg: 782 | Mix
• HD | 3.3k | 260.70mio | Avg: 790 | Bandar
• IF | 2.6k | 207.40mio | Avg: 798 | Mix
• CC | 2.3k | 188.07mio | Avg: 817 | Mix",6413,"Buyer: Bandar 87%, Seller: Mix 52%"
KUAS,"• YP | 135.3k | 1.37bio | Avg: 101 | Mix
• CC | 21.7k | 225.71mio | Avg: 104 | Mix
• AK | 15.7k | 158.76mio | Avg: 101 | Bandar
• GR | 2.5k | 24.93mio | Avg: 99 | Bandar
• AD | 15 | 153.00k | Avg: 102 | Retail","• SS | 60.0k | 612.00mio | Avg: 102 | Bandar
• NI | 23.2k | 233.96mio | Avg: 101 | Bandar
• XL | 13.9k | 141.83mio | Avg: 102 | Retail
• PD | 13.2k | 137.61mio | Avg: 104 | Mix
• XC | 11.6k | 119.66mio | Avg: 103 | Retail",53298,"Buyer: Mix 90%, Seller: Bandar 68%"
TAYS,"• CC | 15.4k | 116.71mio | Avg: 76 | Mix
• PD | 9.4k | 71.42mio | Avg: 76 | Mix
• YP | 9.4k | 70.78mio | Avg: 75 | Mix
• KK | 9.4k | 68.03mio | Avg: 72 | Bandar
• EP | 3.8k | 27.70mio | Avg: 73 | Mix","• CP | 26.3k | 200.12mio | Avg: 76 | Mix
• XL | 15.1k | 113.40mio | Avg: 75 | Retail
• YB | 14.8k | 106.41mio | Avg: 72 | Retail
• HP | 2.8k | 20.66mio | Avg: 73 | Bandar
• AZ | 1.3k | 9.75mio | Avg: 76 | Retail",-12910,"Buyer: Mix 80%, Seller: Retail 52%"
RMKE,"• XL | 2.8k | 1.64bio | Avg: 5.925 | Retail
• CC | 1.6k | 919.56mio | Avg: 5.925 | Mix
• YP | 1.4k | 827.13mio | Avg: 5.925 | Mix
• AI | 1.3k | 770.25mio | Avg: 5.925 | Bandar
• XC | 1.2k | 735.29mio | Avg: 5.925 | Retail","• TP | 6.0k | 3.55bio | Avg: 5.925 | Bandar
• IU | 5.6k | 3.30bio | Avg: 5.925 | Bandar
• SS | 1.2k | 739.44mio | Avg: 5.925 | Bandar
• OD | 870 | 515.48mio | Avg: 5.925 | Bandar
• CP | 417 | 247.07mio | Avg: 5.925 | Mix",-5836,"Buyer: Retail 49%, Seller: Bandar 97%"
NASI,"• ZP | 104.2k | 1.27bio | Avg: 122 | Bandar
• XA | 92.7k | 1.16bio | Avg: 125 | Bandar
• AN | 90.0k | 1.12bio | Avg: 124 | Bandar
• AZ | 16.0k | 204.17mio | Avg: 128 | Retail
• YP | 11.8k | 152.35mio | Avg: 129 | Mix","• BQ | 146.0k | 1.83bio | Avg: 125 | Bandar
• XL | 69.1k | 863.70mio | Avg: 125 | Retail
• YB | 53.0k | 673.38mio | Avg: 127 | Retail
• CC | 18.2k | 227.69mio | Avg: 125 | Mix
• IU | 14.5k | 178.25mio | Avg: 123 | Bandar",13774,"Buyer: Bandar 91%, Seller: Bandar 53%"
BSML,"• FS | 87.3k | 2.30bio | Avg: 263 | Bandar
• ZP | 62.3k | 1.64bio | Avg: 263 | Bandar
• HD | 42.0k | 1.09bio | Avg: 260 | Bandar
• AZ | 6.7k | 180.15mio | Avg: 269 | Retail
• IN | 300 | 7.47mio | Avg: 249 | Bandar","• BR | 40.0k | 1.05bio | Avg: 262 | Bandar
• PD | 31.3k | 810.98mio | Avg: 259 | Mix
• CP | 26.7k | 713.88mio | Avg: 267 | Mix
• AK | 18.7k | 493.55mio | Avg: 264 | Bandar
• YB | 16.0k | 410.70mio | Avg: 256 | Retail",65820,"Buyer: Bandar 97%, Seller: Bandar 44%"
CHEM,"• EP | 33.4k | 290.79mio | Avg: 87 | Mix
• BK | 4.0k | 35.60mio | Avg: 90 | Bandar
• DR | 3.4k | 30.89mio | Avg: 91 | Retail
• XC | 3.2k | 28.40mio | Avg: 90 | Retail
• MG | 2.5k | 22.50mio | Avg: 90 | Mix","• YB | 19.8k | 168.46mio | Avg: 85 | Retail
• XL | 15.6k | 138.49mio | Avg: 89 | Retail
• YP | 6.9k | 61.34mio | Avg: 89 | Mix
• PD | 5.4k | 47.53mio | Avg: 88 | Mix
• DX | 1.6k | 14.29mio | Avg: 89 | Bandar",-2848,"Buyer: Mix 77%, Seller: Retail 72%"
RAFI,"• BQ | 8.0k | 32.80mio | Avg: 41 | Bandar
• XL | 3.4k | 13.98mio | Avg: 41 | Retail
• PD | 611 | 2.51mio | Avg: 41 | Mix","• OD | 7.1k | 28.97mio | Avg: 41 | Bandar
• IU | 6.9k | 28.18mio | Avg: 41 | Bandar
• CC | 511 | 2.10mio | Avg: 41 | Mix",-2431,"Buyer: Bandar 67%, Seller: Bandar 96%"
ELPI,"• YP | 5.7k | 582.80mio | Avg: 1.018 | Mix
• KK | 4.8k | 487.45mio | Avg: 1.017 | Bandar
• CP | 3.1k | 328.76mio | Avg: 1.045 | Mix
• ZP | 2.7k | 270.64mio | Avg: 995 | Bandar
• AK | 1.9k | 207.49mio | Avg: 1.069 | Bandar","• GR | 5.2k | 527.56mio | Avg: 1.024 | Bandar
• YB | 4.3k | 437.99mio | Avg: 1.020 | Retail
• XL | 2.7k | 274.75mio | Avg: 1.021 | Retail
• NI | 1.9k | 206.51mio | Avg: 1.070 | Bandar
• CC | 1.1k | 120.29mio | Avg: 1.046 | Mix",3108,"Buyer: Bandar 52%, Seller: Bandar 47%"
EURO,"• SQ | 4.0k | 269.27mio | Avg: 673 | Bandar
• ID | 2.1k | 123.38mio | Avg: 582 | Bandar
• BR | 1.7k | 110.55mio | Avg: 660 | Bandar
• PD | 1.6k | 99.13mio | Avg: 627 | Mix
• XL | 1.3k | 84.52mio | Avg: 627 | Retail","• OD | 8.3k | 479.23mio | Avg: 576 | Bandar
• MU | 1.5k | 101.23mio | Avg: 674 | Bandar
• AT | 1.0k | 66.46mio | Avg: 639 | Bandar
• PG | 1.0k | 60.00mio | Avg: 600 | Mix
• YB | 872 | 51.01mio | Avg: 585 | Retail",-2009,"Buyer: Bandar 73%, Seller: Bandar 85%"
TOOL,"• MG | 39.2k | 235.19mio | Avg: 60 | Mix
• YP | 27.8k | 169.49mio | Avg: 61 | Mix
• EP | 8.6k | 54.21mio | Avg: 63 | Mix
• DR | 2.5k | 15.48mio | Avg: 62 | Retail
• LG | 1.4k | 8.57mio | Avg: 61 | Bandar","• CP | 28.2k | 172.07mio | Avg: 61 | Mix
• XL | 12.0k | 73.18mio | Avg: 61 | Retail
• PD | 10.4k | 65.64mio | Avg: 63 | Mix
• YB | 10.1k | 60.55mio | Avg: 60 | Retail
• SQ | 7.3k | 43.57mio | Avg: 60 | Bandar",11514,"Buyer: Mix 95%, Seller: Mix 57%"
OMED,"• GR | 13.5k | 262.04mio | Avg: 194 | Bandar
• XL | 7.7k | 156.05mio | Avg: 203 | Retail
• IF | 6.3k | 125.87mio | Avg: 199 | Mix
• YB | 2.8k | 57.92mio | Avg: 207 | Retail
• YJ | 2.5k | 50.50mio | Avg: 202 | Retail","• KK | 15.7k | 311.34mio | Avg: 198 | Bandar
• CC | 15.3k | 309.98mio | Avg: 203 | Mix
• XC | 6.5k | 129.02mio | Avg: 198 | Retail
• EP | 2.3k | 45.00mio | Avg: 192 | Mix
• NI | 1.7k | 33.71mio | Avg: 202 | Bandar",-8706,"Buyer: Bandar 41%, Seller: Mix 42%"
KDTN,"• ZP | 5.1k | 583.72mio | Avg: 1.152 | Bandar
• BQ | 3.6k | 395.81mio | Avg: 1.088 | Bandar
• CC | 1.8k | 208.99mio | Avg: 1.142 | Mix
• AK | 1.7k | 207.05mio | Avg: 1.192 | Bandar
• AT | 1.3k | 160.40mio | Avg: 1.272 | Bandar","• XL | 4.9k | 559.93mio | Avg: 1.150 | Retail
• PD | 2.8k | 308.12mio | Avg: 1.088 | Mix
• LG | 1.5k | 181.53mio | Avg: 1.203 | Bandar
• GR | 1.2k | 157.34mio | Avg: 1.274 | Bandar
• IF | 1.2k | 155.68mio | Avg: 1.275 | Mix",1867,"Buyer: Bandar 86%, Seller: Retail 42%"
ELIT,"• XL | 207.5k | 6.08bio | Avg: 293 | Retail
• BR | 16.4k | 395.87mio | Avg: 241 | Bandar
• PD | 6.6k | 217.37mio | Avg: 328 | Mix
• DR | 2.6k | 75.95mio | Avg: 296 | Retail
• BQ | 2.1k | 67.97mio | Avg: 320 | Bandar","• CC | 84.6k | 2.57bio | Avg: 304 | Mix
• AK | 31.4k | 937.81mio | Avg: 299 | Bandar
• YP | 22.7k | 675.23mio | Avg: 297 | Mix
• LG | 19.9k | 475.68mio | Avg: 239 | Bandar
• DH | 13.0k | 390.02mio | Avg: 299 | Bandar",63599,"Buyer: Retail 89%, Seller: Mix 63%"
TRON,"• CC | 37.7k | 701.55mio | Avg: 186 | Mix
• BK | 14.9k | 277.87mio | Avg: 186 | Bandar
• AO | 9.1k | 175.98mio | Avg: 194 | Bandar
• AK | 8.9k | 168.02mio | Avg: 188 | Bandar
• KK | 7.8k | 139.82mio | Avg: 180 | Bandar","• XA | 14.3k | 256.42mio | Avg: 179 | Bandar
• CP | 13.4k | 244.54mio | Avg: 183 | Mix
• EP | 9.7k | 173.59mio | Avg: 179 | Mix
• IF | 7.2k | 133.75mio | Avg: 185 | Mix
• AZ | 5.5k | 106.70mio | Avg: 195 | Retail",28345,"Buyer: Bandar 52%, Seller: Mix 60%"
NSSS,"• XL | 5.8k | 964.80mio | Avg: 1.675 | Retail
• ZP | 2.0k | 335.00mio | Avg: 1.675 | Bandar
• AK | 1.5k | 245.56mio | Avg: 1.675 | Bandar
• CC | 1.3k | 225.79mio | Avg: 1.675 | Mix
• CP | 975 | 163.31mio | Avg: 1.675 | Mix","• DP | 3.6k | 605.01mio | Avg: 1.675 | Bandar
• IF | 2.9k | 492.79mio | Avg: 1.675 | Mix
• YP | 2.8k | 469.00mio | Avg: 1.675 | Mix
• XC | 1.4k | 237.01mio | Avg: 1.675 | Retail
• LG | 1.3k | 210.21mio | Avg: 1.675 | Bandar",-475,"Buyer: Retail 50%, Seller: Mix 48%"
CYBR,"• CC | 5.6k | 910.86mio | Avg: 1.613 | Mix
• YP | 2.3k | 388.94mio | Avg: 1.660 | Mix
• IF | 2.0k | 320.00mio | Avg: 1.600 | Mix
• SH | 1.2k | 202.68mio | Avg: 1.689 | Bandar
• AK | 415 | 67.64mio | Avg: 1.630 | Bandar","• PD | 4.0k | 646.33mio | Avg: 1.611 | Mix
• XA | 2.4k | 376.83mio | Avg: 1.586 | Bandar
• BK | 1.7k | 288.81mio | Avg: 1.685 | Bandar
• YU | 1.5k | 251.35mio | Avg: 1.658 | Bandar
• SQ | 880 | 142.12mio | Avg: 1.615 | Bandar",1107,"Buyer: Mix 86%, Seller: Bandar 62%"
AYAM,"• XL | 53.6k | 2.24bio | Avg: 418 | Retail
• XA | 34.7k | 1.43bio | Avg: 413 | Bandar
• PD | 24.6k | 970.38mio | Avg: 394 | Mix
• ZP | 12.8k | 512.60mio | Avg: 399 | Bandar
• TP | 10.3k | 434.45mio | Avg: 422 | Bandar","• GA | 30.0k | 1.20bio | Avg: 400 | Bandar
• YB | 26.7k | 1.01bio | Avg: 377 | Retail
• PC | 17.6k | 747.51mio | Avg: 424 | Bandar
• CP | 15.3k | 633.30mio | Avg: 414 | Mix
• YP | 10.3k | 406.73mio | Avg: 395 | Mix",36198,"Buyer: Bandar 42%, Seller: Bandar 48%"
ASLI,"• AO | 24.7k | 1.27bio | Avg: 515 | Bandar
• AK | 24.1k | 1.13bio | Avg: 467 | Bandar
• MG | 18.3k | 933.29mio | Avg: 511 | Mix
• BK | 8.9k | 398.81mio | Avg: 447 | Bandar
• DR | 4.9k | 221.70mio | Avg: 453 | Retail","• XL | 22.6k | 1.08bio | Avg: 479 | Retail
• CC | 9.9k | 519.91mio | Avg: 523 | Mix
• ZP | 10.5k | 515.97mio | Avg: 490 | Bandar
• NI | 10.4k | 479.88mio | Avg: 462 | Bandar
• LG | 6.5k | 354.25mio | Avg: 541 | Bandar",20842,"Buyer: Bandar 71%, Seller: Bandar 46%"
SMGA,"• LG | 94.0k | 967.80mio | Avg: 103 | Bandar
• CC | 85.0k | 900.65mio | Avg: 106 | Mix
• BK | 37.4k | 389.12mio | Avg: 104 | Bandar
• YP | 34.0k | 357.48mio | Avg: 105 | Mix
• AK | 30.6k | 318.04mio | Avg: 104 | Bandar","• CP | 77.9k | 809.94mio | Avg: 104 | Mix
• PD | 53.1k | 546.48mio | Avg: 103 | Mix
• YU | 44.4k | 475.60mio | Avg: 107 | Bandar
• XL | 35.4k | 367.90mio | Avg: 104 | Retail
• PO | 24.8k | 262.85mio | Avg: 106 | Bandar",45414,"Buyer: Bandar 58%, Seller: Mix 56%"
MHKI,"• AK | 62.0k | 1.31bio | Avg: 211 | Bandar
• KK | 18.6k | 398.49mio | Avg: 214 | Bandar
• TP | 9.2k | 187.13mio | Avg: 204 | Bandar
• YB | 8.7k | 174.02mio | Avg: 200 | Retail
• GR | 7.6k | 157.62mio | Avg: 208 | Bandar","• YP | 19.7k | 416.88mio | Avg: 212 | Mix
• CC | 18.9k | 406.69mio | Avg: 215 | Mix
• XL | 19.0k | 404.66mio | Avg: 213 | Retail
• PD | 17.0k | 364.58mio | Avg: 215 | Mix
• AZ | 9.5k | 197.11mio | Avg: 207 | Retail",22062,"Buyer: Bandar 92%, Seller: Mix 66%"
