stock,top5_buyers,top5_sellers,net_volume,daily_summary
LPCK,"• XL | 6.6k | 486.71mio | Avg: 738 | Retail
• CP | 2.3k | 159.78mio | Avg: 684 | Mix
• NI | 2.1k | 156.07mio | Avg: 730 | Bandar
• AZ | 1.8k | 119.19mio | Avg: 678 | Retail
• AK | 1.3k | 98.51mio | Avg: 748 | Bandar","• PD | 8.1k | 571.95mio | Avg: 709 | Mix
• CC | 3.8k | 263.62mio | Avg: 700 | Mix
• ZP | 1.8k | 128.30mio | Avg: 703 | Bandar
• YU | 1.1k | 83.74mio | Avg: 732 | Bandar
• RO | 498 | 38.59mio | Avg: 775 | Bandar",-1156,"Buyer: Retail 59%, Seller: Mix 77%"
LPPF,"• CC | 98.2k | 17.95bio | Avg: 1.828 | Mix
• AK | 6.7k | 1.18bio | Avg: 1.763 | Bandar
• GR | 3.0k | 536.26mio | Avg: 1.781 | Bandar
• YU | 2.6k | 474.91mio | Avg: 1.828 | Bandar
• HP | 1.2k | 226.58mio | Avg: 1.885 | Bandar","• XL | 35.5k | 6.45bio | Avg: 1.816 | Retail
• XC | 14.7k | 2.70bio | Avg: 1.837 | Retail
• ZP | 12.2k | 2.21bio | Avg: 1.811 | Bandar
• YP | 10.5k | 1.89bio | Avg: 1.802 | Mix
• SQ | 9.6k | 1.73bio | Avg: 1.793 | Bandar",29151,"Buyer: Mix 88%, Seller: Retail 61%"
MBAP,"• CC | 366 | 57.39mio | Avg: 1.568 | Mix
• DH | 251 | 40.16mio | Avg: 1.600 | Bandar
• OD | 124 | 19.53mio | Avg: 1.575 | Bandar
• YB | 29 | 4.57mio | Avg: 1.577 | Retail
• TF | 8 | 1.31mio | Avg: 1.639 | Retail","• XL | 474 | 73.99mio | Avg: 1.561 | Retail
• PD | 257 | 41.17mio | Avg: 1.602 | Mix
• DX | 211 | 33.76mio | Avg: 1.600 | Bandar
• PC | 2 | 319.00k | Avg: 1.595 | Bandar",-166,"Buyer: Bandar 48%, Seller: Retail 50%"
MEDC,"• AZ | 104.0k | 15.00bio | Avg: 1.442 | Retail
• KK | 96.9k | 14.27bio | Avg: 1.473 | Bandar
• BB | 84.0k | 12.17bio | Avg: 1.450 | Mix
• LG | 78.5k | 11.74bio | Avg: 1.495 | Bandar
• IF | 42.1k | 6.03bio | Avg: 1.432 | Mix","• AK | 261.8k | 38.12bio | Avg: 1.456 | Bandar
• ZP | 55.4k | 8.04bio | Avg: 1.450 | Bandar
• XA | 37.9k | 5.10bio | Avg: 1.343 | Bandar
• CP | 35.1k | 5.08bio | Avg: 1.448 | Mix
• CC | 34.6k | 5.04bio | Avg: 1.457 | Mix",-19348,"Buyer: Bandar 43%, Seller: Bandar 84%"
MEGA,"• CC | 61 | 19.53mio | Avg: 3.201 | Mix
• XC | 24 | 7.69mio | Avg: 3.204 | Retail","• NI | 93 | 29.80mio | Avg: 3.204 | Bandar
• AG | 40 | 12.80mio | Avg: 3.200 | Bandar
• RF | 1 | 315.00k | Avg: 3.150 | Bandar",-49,"Buyer: Mix 72%, Seller: Bandar 100%"
MSKY,"• NI | 21.0k | 164.03mio | Avg: 78 | Bandar
• RG | 13.0k | 97.50mio | Avg: 75 | Bandar
• SQ | 6.3k | 50.08mio | Avg: 79 | Bandar
• AK | 5.7k | 43.46mio | Avg: 76 | Bandar
• YP | 5.7k | 42.48mio | Avg: 75 | Mix","• XL | 46.5k | 348.40mio | Avg: 75 | Retail
• GR | 14.5k | 111.64mio | Avg: 77 | Bandar
• YB | 12.5k | 93.73mio | Avg: 75 | Retail
• OD | 4.0k | 30.16mio | Avg: 75 | Bandar
• BQ | 1.9k | 14.37mio | Avg: 77 | Bandar",-27585,"Buyer: Bandar 89%, Seller: Retail 74%"
NISP,"• AO | 15.0k | 2.03bio | Avg: 1.356 | Bandar
• TP | 12.4k | 1.68bio | Avg: 1.360 | Bandar
• ZP | 9.5k | 1.32bio | Avg: 1.390 | Bandar
• AK | 3.6k | 501.32mio | Avg: 1.378 | Bandar
• DX | 3.2k | 456.90mio | Avg: 1.415 | Bandar","• YP | 17.1k | 2.37bio | Avg: 1.385 | Mix
• BK | 8.6k | 1.19bio | Avg: 1.385 | Bandar
• SQ | 6.2k | 824.64mio | Avg: 1.340 | Bandar
• XL | 5.3k | 732.50mio | Avg: 1.373 | Retail
• GR | 4.3k | 581.23mio | Avg: 1.366 | Bandar",2227,"Buyer: Bandar 100%, Seller: Bandar 46%"
PALM,"• AZ | 15.9k | 610.16mio | Avg: 383 | Retail
• GR | 3.6k | 129.66mio | Avg: 356 | Bandar
• YP | 3.3k | 123.13mio | Avg: 371 | Mix
• MU | 2.4k | 90.71mio | Avg: 375 | Bandar
• AK | 2.0k | 78.25mio | Avg: 393 | Bandar","• PD | 18.7k | 673.85mio | Avg: 360 | Mix
• KI | 7.9k | 301.38mio | Avg: 380 | Bandar
• XL | 5.0k | 191.45mio | Avg: 381 | Retail
• CP | 2.5k | 96.12mio | Avg: 389 | Mix
• NI | 2.1k | 79.33mio | Avg: 384 | Bandar",-8909,"Buyer: Retail 58%, Seller: Mix 59%"
PANS,"• DH | 937 | 136.61mio | Avg: 1.458 | Bandar
• XL | 367 | 54.39mio | Avg: 1.482 | Retail
• TP | 296 | 43.96mio | Avg: 1.485 | Bandar","• CC | 478 | 69.69mio | Avg: 1.458 | Mix
• YB | 328 | 48.35mio | Avg: 1.474 | Retail
• XC | 315 | 46.62mio | Avg: 1.480 | Retail
• XA | 82 | 12.40mio | Avg: 1.512 | Bandar",397,"Buyer: Bandar 77%, Seller: Retail 53%"
PKPK,"• ZP | 15.6k | 3.64bio | Avg: 2.330 | Bandar
• XL | 2.5k | 524.64mio | Avg: 2.107 | Retail
• BQ | 2.0k | 361.38mio | Avg: 1.806 | Bandar
• PG | 1.5k | 265.50mio | Avg: 1.770 | Mix
• AI | 900 | 180.63mio | Avg: 2.007 | Bandar","• KK | 6.3k | 1.15bio | Avg: 1.818 | Bandar
• CC | 4.8k | 1.10bio | Avg: 2.284 | Mix
• EP | 3.3k | 703.40mio | Avg: 2.138 | Mix
• CP | 3.3k | 672.24mio | Avg: 2.052 | Mix
• LG | 2.4k | 518.17mio | Avg: 2.128 | Bandar",2368,"Buyer: Bandar 82%, Seller: Mix 56%"
